[DIVADM].[DESC_CIRC].[DESC_CIRC].[MEMBER_UNIQUE_NAME],[DIVADM].[DESC_CIRC].[DESC_CIRC].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[DESC_CIRC].&[10 DE AGOSTO],10 DE AGOSTO,4897
[DIVADM].[DESC_CIRC].&[28 DE MAYO (SAN JOSE DE YACUAMBI)],28 DE MAYO (SAN JOSE DE YACUAMBI),2569
[DIVADM].[DESC_CIRC].&[6 DE JULIO DE CUELLAJE (CAB EN CUELLAJE)-PLAZA GUTIERREZ (CALVARIO)-APUELA],6 DE JULIO DE CUELLAJE (CAB EN CUELLAJE)-PLAZA GUTIERREZ (CALVARIO)-APUELA,1451
[DIVADM].[DESC_CIRC].&[ABAÑIN-GUANAZAN],ABAÑIN-GUANAZAN,476
[DIVADM].[DESC_CIRC].&[ABDON CALDERON (LA UNION)-SANTA ISABEL (CHAGUARURCO)-ZHAGLLI (SHAGLLI )],ABDON CALDERON (LA UNION)-SANTA ISABEL (CHAGUARURCO)-ZHAGLLI (SHAGLLI ),20025
[DIVADM].[DESC_CIRC].&[ABDON CALDERON (SAN FRANCISCO)],ABDON CALDERON (SAN FRANCISCO),7608
[DIVADM].[DESC_CIRC].&[ACHUPALLAS],ACHUPALLAS,1730
[DIVADM].[DESC_CIRC].&[AHUANO],AHUANO,2118
[DIVADM].[DESC_CIRC].&[ALAMOR],ALAMOR,9489
[DIVADM].[DESC_CIRC].&[ALANGASI],ALANGASI,43888
[DIVADM].[DESC_CIRC].&[ALAUSI],ALAUSI,12142
[DIVADM].[DESC_CIRC].&[ALFREDO BAQUERIZO MORENO (JUJAN)],ALFREDO BAQUERIZO MORENO (JUJAN),27031
[DIVADM].[DESC_CIRC].&[ALLURIQUIN],ALLURIQUIN,12754
[DIVADM].[DESC_CIRC].&[ALOAG],ALOAG,28499
[DIVADM].[DESC_CIRC].&[ALSHI(CAB EN 9 DE OCTUBRE)-ZUÑA (ZUÑAC)],ALSHI(CAB EN 9 DE OCTUBRE)-ZUÑA (ZUÑAC),491
[DIVADM].[DESC_CIRC].&[AMAGUAÑA],AMAGUAÑA,45644
[DIVADM].[DESC_CIRC].&[AMALUZA-PALAMAS],AMALUZA-PALAMAS,882
[DIVADM].[DESC_CIRC].&[AMARILLOS-SANTA RUFINA-BUENAVISTA],AMARILLOS-SANTA RUFINA-BUENAVISTA,956
[DIVADM].[DESC_CIRC].&[AMAZONAS (ROSARIO DE CUYES)-NUEVA TARQUI- EL IDEAL],AMAZONAS (ROSARIO DE CUYES)-NUEVA TARQUI- EL IDEAL,1405
[DIVADM].[DESC_CIRC].&[AMBATILLO-SAN BARTOLOME DE PINLLOG],AMBATILLO-SAN BARTOLOME DE PINLLOG,14326
[DIVADM].[DESC_CIRC].&[AMBATO],AMBATO,598475
[DIVADM].[DESC_CIRC].&[AMBUQUI],AMBUQUI,12433
[DIVADM].[DESC_CIRC].&[ANCONCITO],ANCONCITO,11694
[DIVADM].[DESC_CIRC].&[ANGAMARCA],ANGAMARCA,456
[DIVADM].[DESC_CIRC].&[ANGEL PEDRO GILER (LA ESTANCILLA)-BACHILLERO],ANGEL PEDRO GILER (LA ESTANCILLA)-BACHILLERO,3484
[DIVADM].[DESC_CIRC].&[ANGOCHAGUA-LA ESPERANZA],ANGOCHAGUA-LA ESPERANZA,10241
[DIVADM].[DESC_CIRC].&[ANTONIO SOTOMAYOR (CAB. PLAYAS DE VINCE],ANTONIO SOTOMAYOR (CAB. PLAYAS DE VINCE,4452
[DIVADM].[DESC_CIRC].&[ARAJUNO],ARAJUNO,4475
[DIVADM].[DESC_CIRC].&[ARAPICOS-SANGAY (CAB EN NAYAMANACA)],ARAPICOS-SANGAY (CAB EN NAYAMANACA),2737
[DIVADM].[DESC_CIRC].&[ARCAPAMBA-MALVAS-MULUNCAY GRANDE-HUERTAS],ARCAPAMBA-MALVAS-MULUNCAY GRANDE-HUERTAS,3948
[DIVADM].[DESC_CIRC].&[ARCHIDONA-SAN PABLO DE USHPAYACU],ARCHIDONA-SAN PABLO DE USHPAYACU,12470
[DIVADM].[DESC_CIRC].&[ARENILLAS],ARENILLAS,29427
[DIVADM].[DESC_CIRC].&[ARQ. SIXTO DURAN BALLEN],ARQ. SIXTO DURAN BALLEN,440
[DIVADM].[DESC_CIRC].&[ATACAMES],ATACAMES,34922
[DIVADM].[DESC_CIRC].&[ATAHUALPA],ATAHUALPA,541
[DIVADM].[DESC_CIRC].&[ATAHUALPA (HABASPAMBA)-CHAVEZPAMBA-PERUCHO],ATAHUALPA (HABASPAMBA)-CHAVEZPAMBA-PERUCHO,1573
[DIVADM].[DESC_CIRC].&[ATUNTAQUI],ATUNTAQUI,41257
[DIVADM].[DESC_CIRC].&[AYACUCHO],AYACUCHO,1991
[DIVADM].[DESC_CIRC].&[AZOGUES],AZOGUES,78448
[DIVADM].[DESC_CIRC].&[BABA],BABA,15328
[DIVADM].[DESC_CIRC].&[BABAHOYO],BABAHOYO,240839
[DIVADM].[DESC_CIRC].&[BAHIA DE CARAQUEZ],BAHIA DE CARAQUEZ,23230
[DIVADM].[DESC_CIRC].&[BALAO],BALAO,18079
[DIVADM].[DESC_CIRC].&[BALSAPAMBA-BILOVAN-REGULO DE MORA],BALSAPAMBA-BILOVAN-REGULO DE MORA,8482
[DIVADM].[DESC_CIRC].&[BALSAS-BELLAMARIA],BALSAS-BELLAMARIA,8955
[DIVADM].[DESC_CIRC].&[BALZAR],BALZAR,58942
[DIVADM].[DESC_CIRC].&[BAÑOS],BAÑOS,19993
[DIVADM].[DESC_CIRC].&[BARRAGANETE],BARRAGANETE,456
[DIVADM].[DESC_CIRC].&[BELISARIO QUEVEDO],BELISARIO QUEVEDO,154080
[DIVADM].[DESC_CIRC].&[BELISARIO QUEVEDO (GUANAILIN)],BELISARIO QUEVEDO (GUANAILIN),5071
[DIVADM].[DESC_CIRC].&[BELLAMARIA],BELLAMARIA,1667
[DIVADM].[DESC_CIRC].&[BELLAVISTA],BELLAVISTA,4958
[DIVADM].[DESC_CIRC].&[BERMEJOS-CHIGUINDA-EL ROSARIO],BERMEJOS-CHIGUINDA-EL ROSARIO,458
[DIVADM].[DESC_CIRC].&[BOLASPAMBA],BOLASPAMBA,99
[DIVADM].[DESC_CIRC].&[BOLIVAR-DAULE],BOLIVAR-DAULE,1132
[DIVADM].[DESC_CIRC].&[BOMBOIZA],BOMBOIZA,4341
[DIVADM].[DESC_CIRC].&[BOYACA],BOYACA,583
[DIVADM].[DESC_CIRC].&[CALACALI],CALACALI,14347
[DIVADM].[DESC_CIRC].&[CALCETA],CALCETA,22240
[DIVADM].[DESC_CIRC].&[CALDERON (CARAPUNGO)],CALDERON (CARAPUNGO),335428
[DIVADM].[DESC_CIRC].&[CALUMA],CALUMA,25736
[DIVADM].[DESC_CIRC].&[CAMILO PONCE ENRIQUEZ],CAMILO PONCE ENRIQUEZ,22066
[DIVADM].[DESC_CIRC].&[CAMPOZANO (LA PALMA DE PAJAN)],CAMPOZANO (LA PALMA DE PAJAN),1218
[DIVADM].[DESC_CIRC].&[CANELOS-VERACRUZ (CAB. EN INDILLAMA)-POMONA-SIMON BOLIVAR (CAB EN MUSHULLAMA],CANELOS-VERACRUZ (CAB. EN INDILLAMA)-POMONA-SIMON BOLIVAR (CAB EN MUSHULLAMA,10643
[DIVADM].[DESC_CIRC].&[CANGAHUA],CANGAHUA,4973
[DIVADM].[DESC_CIRC].&[CANGONAMA-YAMANA-SANANTONIO],CANGONAMA-YAMANA-SANANTONIO,1186
[DIVADM].[DESC_CIRC].&[CANOA],CANOA,3589
[DIVADM].[DESC_CIRC].&[CANUTO],CANUTO,4034
[DIVADM].[DESC_CIRC].&[CAÑAQUEMADA-LA PEAÑA-BUENAVISTA],CAÑAQUEMADA-LA PEAÑA-BUENAVISTA,17284
[DIVADM].[DESC_CIRC].&[CAÑAR],CAÑAR,18128
[DIVADM].[DESC_CIRC].&[CAPIRO (CAB. EN LA CAPILLA DE CAPIRO)],CAPIRO (CAB. EN LA CAPILLA DE CAPIRO),772
[DIVADM].[DESC_CIRC].&[CAPZOL-COMPUD-LLAGOS],CAPZOL-COMPUD-LLAGOS,1772
[DIVADM].[DESC_CIRC].&[CARACOL],CARACOL,5820
[DIVADM].[DESC_CIRC].&[CARCABON-CHACRAS],CARCABON-CHACRAS,4743
[DIVADM].[DESC_CIRC].&[CARCELEN],CARCELEN,95651
[DIVADM].[DESC_CIRC].&[CARIAMANGA],CARIAMANGA,20181
[DIVADM].[DESC_CIRC].&[CARLOS JULIO AROSEMENA TOLA],CARLOS JULIO AROSEMENA TOLA,2416
[DIVADM].[DESC_CIRC].&[CAROLINA],CAROLINA,2953
[DIVADM].[DESC_CIRC].&[CARONDELET-CALDERON-TULULBI  (CAB EN RICAURTE)-SANTA RITA],CARONDELET-CALDERON-TULULBI  (CAB EN RICAURTE)-SANTA RITA,2429
[DIVADM].[DESC_CIRC].&[CASACAY],CASACAY,3726
[DIVADM].[DESC_CIRC].&[CASCOL],CASCOL,3747
[DIVADM].[DESC_CIRC].&[CATACOCHA],CATACOCHA,9223
[DIVADM].[DESC_CIRC].&[CATAMAYO (LA TOMA)],CATAMAYO (LA TOMA),45855
[DIVADM].[DESC_CIRC].&[CATARAMA],CATARAMA,9387
[DIVADM].[DESC_CIRC].&[CAYAMBE],CAYAMBE,69516
[DIVADM].[DESC_CIRC].&[CAZADEROS (CAB EN MANGAURCO)],CAZADEROS (CAB EN MANGAURCO),155
[DIVADM].[DESC_CIRC].&[CEBADAS],CEBADAS,2864
[DIVADM].[DESC_CIRC].&[CELICA],CELICA,9647
[DIVADM].[DESC_CIRC].&[CENTRO HISTORICO],CENTRO HISTORICO,246441
[DIVADM].[DESC_CIRC].&[CEVALLOS],CEVALLOS,12040
[DIVADM].[DESC_CIRC].&[CHAGUARPAMBA-EL ROSARIO],CHAGUARPAMBA-EL ROSARIO,2944
[DIVADM].[DESC_CIRC].&[CHAMBO],CHAMBO,9743
[DIVADM].[DESC_CIRC].&[CHANDUY],CHANDUY,8109
[DIVADM].[DESC_CIRC].&[CHANTACO-TAQUIL (MIGUEL RIOFRIO)-CHIQUIRIBAMABA],CHANTACO-TAQUIL (MIGUEL RIOFRIO)-CHIQUIRIBAMABA,4559
[DIVADM].[DESC_CIRC].&[CHANTILIN-SAQUISILI],CHANTILIN-SAQUISILI,21218
[DIVADM].[DESC_CIRC].&[CHAQUINAL-12 DE DICIEMBRE (CAB EN ACHIOTES)],CHAQUINAL-12 DE DICIEMBRE (CAB EN ACHIOTES),809
[DIVADM].[DESC_CIRC].&[CHARAPOTO],CHARAPOTO,13586
[DIVADM].[DESC_CIRC].&[CHAUCHA],CHAUCHA,239
[DIVADM].[DESC_CIRC].&[CHECA (CHILPA)],CHECA (CHILPA),6504
[DIVADM].[DESC_CIRC].&[CHECA (JIDCAY)-CHIQUINTAD],CHECA (JIDCAY)-CHIQUINTAD,7269
[DIVADM].[DESC_CIRC].&[CHIBUNGA],CHIBUNGA,954
[DIVADM].[DESC_CIRC].&[CHILIBULO],CHILIBULO,90093
[DIVADM].[DESC_CIRC].&[CHILLA],CHILLA,1515
[DIVADM].[DESC_CIRC].&[CHILLANES],CHILLANES,9025
[DIVADM].[DESC_CIRC].&[CHILLOGALLO],CHILLOGALLO,97505
[DIVADM].[DESC_CIRC].&[CHIMBACALLE],CHIMBACALLE,101751
[DIVADM].[DESC_CIRC].&[CHINCA-MAJUA-SAN MATEO],CHINCA-MAJUA-SAN MATEO,14774
[DIVADM].[DESC_CIRC].&[CHIQUICHA (CAB EN CHIQUICHA GRANDE)-GARCIA MORENO (CHUMAQUI)],CHIQUICHA (CAB EN CHIQUICHA GRANDE)-GARCIA MORENO (CHUMAQUI),4711
[DIVADM].[DESC_CIRC].&[CHIRIJOS-ALHAJUELA (BAJO GRANDE)],CHIRIJOS-ALHAJUELA (BAJO GRANDE),2531
[DIVADM].[DESC_CIRC].&[CHITO],CHITO,497
[DIVADM].[DESC_CIRC].&[CHOBO],CHOBO,7682
[DIVADM].[DESC_CIRC].&[CHONE],CHONE,68382
[DIVADM].[DESC_CIRC].&[CHONTADURO-CHUMUNDE-RIOVERDE],CHONTADURO-CHUMUNDE-RIOVERDE,9580
[DIVADM].[DESC_CIRC].&[CHONTAPUNTA],CHONTAPUNTA,1262
[DIVADM].[DESC_CIRC].&[CHUGA-PIMAMPIRO-MARIANO ACOSTA-SAN  FCO. DE SIGSIPAMBA],CHUGA-PIMAMPIRO-MARIANO ACOSTA-SAN  FCO. DE SIGSIPAMBA,16934
[DIVADM].[DESC_CIRC].&[CHUGCHILLAN],CHUGCHILLAN,1283
[DIVADM].[DESC_CIRC].&[CIANO-EL ARENAL-VICENTINO-MERCADILLO],CIANO-EL ARENAL-VICENTINO-MERCADILLO,1556
[DIVADM].[DESC_CIRC].&[COCHAPAMBA],COCHAPAMBA,71417
[DIVADM].[DESC_CIRC].&[COCHAPAMBA-CANCHAGUA],COCHAPAMBA-CANCHAGUA,987
[DIVADM].[DESC_CIRC].&[COJIMIES],COJIMIES,6603
[DIVADM].[DESC_CIRC].&[COJITAMBO-JAVIER LOYOLA (CHUQUIPATA)],COJITAMBO-JAVIER LOYOLA (CHUQUIPATA),12861
[DIVADM].[DESC_CIRC].&[COLIMES],COLIMES,9998
[DIVADM].[DESC_CIRC].&[COLONCHE],COLONCHE,12942
[DIVADM].[DESC_CIRC].&[COLUMBE],COLUMBE,2201
[DIVADM].[DESC_CIRC].&[COMITE DEL PUEBLO],COMITE DEL PUEBLO,104583
[DIVADM].[DESC_CIRC].&[CONCEPCION],CONCEPCION,91292
[DIVADM].[DESC_CIRC].&[CONCEPCION-JIJON Y CAAMAÑO (CAB. EN RIO BLANCO)],CONCEPCION-JIJON Y CAAMAÑO (CAB. EN RIO BLANCO),2520
[DIVADM].[DESC_CIRC].&[CONCEPCION-SAN JAVIER DE CACHAVI-URBINA-ALTO TAMBO (CAB EN GUADUAL)-5 DE JUNIO (CAB EN UIMBI)],CONCEPCION-SAN JAVIER DE CACHAVI-URBINA-ALTO TAMBO (CAB EN GUADUAL)-5 DE JUNIO (CAB EN UIMBI),2264
[DIVADM].[DESC_CIRC].&[CONOCOTO],CONOCOTO,156933
[DIVADM].[DESC_CIRC].&[CONONACO],CONONACO,297
[DIVADM].[DESC_CIRC].&[CONSTATINO FERNANDEZ (CAB EN CULLIT)-AUGUSTO N. MARTINEZ (MUNDUGLEO)-ATAHUALPA (CHISALATA)],CONSTATINO FERNANDEZ (CAB EN CULLIT)-AUGUSTO N. MARTINEZ (MUNDUGLEO)-ATAHUALPA (CHISALATA),24049
[DIVADM].[DESC_CIRC].&[CONVENTO],CONVENTO,1597
[DIVADM].[DESC_CIRC].&[CORDONCILLO-PACCHA-AYAPAMBA-SAN JOSE-MILAGRO],CORDONCILLO-PACCHA-AYAPAMBA-SAN JOSE-MILAGRO,4889
[DIVADM].[DESC_CIRC].&[COSANGA-SAN FRANCISCO DE BORJA (VIRGILIO DAVILA)-BAEZA-SUMACO],COSANGA-SAN FRANCISCO DE BORJA (VIRGILIO DAVILA)-BAEZA-SUMACO,6790
[DIVADM].[DESC_CIRC].&[COTACACHI],COTACACHI,22092
[DIVADM].[DESC_CIRC].&[COTALO-GUAMBALO (HUAMBALO)-BOLIVAR],COTALO-GUAMBALO (HUAMBALO)-BOLIVAR,5024
[DIVADM].[DESC_CIRC].&[COTOCOLLAO],COTOCOLLAO,81162
[DIVADM].[DESC_CIRC].&[COTUNDO],COTUNDO,8582
[DIVADM].[DESC_CIRC].&[CRISTOBAL COLON-FERNANDEZ SALVADOR-PIARTAL-CHITAN DE NAVARRETE],CRISTOBAL COLON-FERNANDEZ SALVADOR-PIARTAL-CHITAN DE NAVARRETE,3116
[DIVADM].[DESC_CIRC].&[CRNEL. LORENZO DE GARAICOA (PEDREGAL)],CRNEL. LORENZO DE GARAICOA (PEDREGAL),4804
[DIVADM].[DESC_CIRC].&[CRNEL. MARCELINO MARIDUEÑA (SAN CARLOS)],CRNEL. MARCELINO MARIDUEÑA (SAN CARLOS),11269
[DIVADM].[DESC_CIRC].&[CRUCITA],CRUCITA,14763
[DIVADM].[DESC_CIRC].&[CUBE],CUBE,2317
[DIVADM].[DESC_CIRC].&[CUBIJIES-QUIMIAG],CUBIJIES-QUIMIAG,3884
[DIVADM].[DESC_CIRC].&[CUCHAENTZA],CUCHAENTZA,1579
[DIVADM].[DESC_CIRC].&[CUENCA_BELLAVISTA],CUENCA_BELLAVISTA,42195
[DIVADM].[DESC_CIRC].&[CUENCA_CAÑARIBAMBA],CUENCA_CAÑARIBAMBA,23138
[DIVADM].[DESC_CIRC].&[CUENCA_EL BATAN],CUENCA_EL BATAN,68813
[DIVADM].[DESC_CIRC].&[CUENCA_EL SAGRARIO],CUENCA_EL SAGRARIO,61572
[DIVADM].[DESC_CIRC].&[CUENCA_EL VECINO],CUENCA_EL VECINO,92982
[DIVADM].[DESC_CIRC].&[CUENCA_GIL RAMIREZ DAVALOS],CUENCA_GIL RAMIREZ DAVALOS,36332
[DIVADM].[DESC_CIRC].&[CUENCA_HERMANO MIGUEL],CUENCA_HERMANO MIGUEL,39971
[DIVADM].[DESC_CIRC].&[CUENCA_HUAYNA CAPAC],CUENCA_HUAYNA CAPAC,66156
[DIVADM].[DESC_CIRC].&[CUENCA_MACHANGARA],CUENCA_MACHANGARA,42667
[DIVADM].[DESC_CIRC].&[CUENCA_MONAY],CUENCA_MONAY,43091
[DIVADM].[DESC_CIRC].&[CUENCA_SAN BLAS],CUENCA_SAN BLAS,35340
[DIVADM].[DESC_CIRC].&[CUENCA_SAN SEBASTIAN],CUENCA_SAN SEBASTIAN,81237
[DIVADM].[DESC_CIRC].&[CUENCA_SUCRE],CUENCA_SUCRE,84635
[DIVADM].[DESC_CIRC].&[CUENCA_TOTOROCOHA],CUENCA_TOTOROCOHA,57085
[DIVADM].[DESC_CIRC].&[CUENCA_YANUNCAY],CUENCA_YANUNCAY,107712
[DIVADM].[DESC_CIRC].&[CUMANDA],CUMANDA,14362
[DIVADM].[DESC_CIRC].&[CUMBARATZA-TIMBARA-SAN CARLOS DE LAS MINAS],CUMBARATZA-TIMBARA-SAN CARLOS DE LAS MINAS,7610
[DIVADM].[DESC_CIRC].&[CUMBAYA],CUMBAYA,69271
[DIVADM].[DESC_CIRC].&[CUMBE-VICTORIA DEL PORTETE (IRQUIS)],CUMBE-VICTORIA DEL PORTETE (IRQUIS),10580
[DIVADM].[DESC_CIRC].&[CUNCHIBAMBA-UNAMUNCHO],CUNCHIBAMBA-UNAMUNCHO,9310
[DIVADM].[DESC_CIRC].&[CURARAY],CURARAY,570
[DIVADM].[DESC_CIRC].&[CUSUBAMBA],CUSUBAMBA,1836
[DIVADM].[DESC_CIRC].&[CUTUGLAHUA],CUTUGLAHUA,30566
[DIVADM].[DESC_CIRC].&[CUYABENO],CUYABENO,396
[DIVADM].[DESC_CIRC].&[CUYUJA-PAPALLACTA],CUYUJA-PAPALLACTA,3548
[DIVADM].[DESC_CIRC].&[DANIEL CORDOVA TORAL (EL ORIENTE)-REMIGIO CRESPO TORAL (GULAG)-LUIS CORDERO VEGA-MARIANO MORENO],DANIEL CORDOVA TORAL (EL ORIENTE)-REMIGIO CRESPO TORAL (GULAG)-LUIS CORDERO VEGA-MARIANO MORENO,4892
[DIVADM].[DESC_CIRC].&[DAULE],DAULE,156728
[DIVADM].[DESC_CIRC].&[DAYUMA-TARACOA (CAB. EN NUEVA ESPERANZA: YUCA)-EL DORADO],DAYUMA-TARACOA (CAB. EN NUEVA ESPERANZA: YUCA)-EL DORADO,22701
[DIVADM].[DESC_CIRC].&[DELEG-SOLANO],DELEG-SOLANO,6777
[DIVADM].[DESC_CIRC].&[DURENO-PACAYACU],DURENO-PACAYACU,7783
[DIVADM].[DESC_CIRC].&[ECHEANDIA],ECHEANDIA,25600
[DIVADM].[DESC_CIRC].&[EL AIRO-27 DE ABRIL (CAB EN LA NARANJA)-EL INGENIO],EL AIRO-27 DE ABRIL (CAB EN LA NARANJA)-EL INGENIO,1597
[DIVADM].[DESC_CIRC].&[EL ANEGADO (CAB EN ELOY ALFARO)-JULCUY],EL ANEGADO (CAB EN ELOY ALFARO)-JULCUY,2344
[DIVADM].[DESC_CIRC].&[EL CARMEN],EL CARMEN,54017
[DIVADM].[DESC_CIRC].&[EL CARMEN DE PIJILI],EL CARMEN DE PIJILI,460
[DIVADM].[DESC_CIRC].&[EL CHACO],EL CHACO,4427
[DIVADM].[DESC_CIRC].&[EL CHAUPI-ALOASI],EL CHAUPI-ALOASI,23915
[DIVADM].[DESC_CIRC].&[EL CHORRO-LA CHONTA-PUCUPAMBA],EL CHORRO-LA CHONTA-PUCUPAMBA,323
[DIVADM].[DESC_CIRC].&[EL CONDADO],EL CONDADO,108675
[DIVADM].[DESC_CIRC].&[EL CORAZON],EL CORAZON,3815
[DIVADM].[DESC_CIRC].&[EL EDEN-ALEJANDRO LABAKA],EL EDEN-ALEJANDRO LABAKA,173
