[DIVADM].[DPA_CANTON].[DPA_CANTON].[MEMBER_UNIQUE_NAME],[DIVADM].[DPA_CANTON].[DPA_CANTON].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[DPA_CANTON].&[0101],0101,1081610
[DIVADM].[DPA_CANTON].&[0102],0102,13623
[DIVADM].[DPA_CANTON].&[0103],0103,45219
[DIVADM].[DPA_CANTON].&[0104],0104,9388
[DIVADM].[DPA_CANTON].&[0105],0105,25955
[DIVADM].[DPA_CANTON].&[0106],0106,4719
[DIVADM].[DPA_CANTON].&[0107],0107,1417
[DIVADM].[DPA_CANTON].&[0108],0108,20025
[DIVADM].[DPA_CANTON].&[0109],0109,16200
[DIVADM].[DPA_CANTON].&[0110],0110,3269
[DIVADM].[DPA_CANTON].&[0111],0111,7682
[DIVADM].[DPA_CANTON].&[0112],0112,1520
[DIVADM].[DPA_CANTON].&[0113],0113,1634
[DIVADM].[DPA_CANTON].&[0114],0114,1903
[DIVADM].[DPA_CANTON].&[0115],0115,22526
[DIVADM].[DPA_CANTON].&[0201],0201,132543
[DIVADM].[DPA_CANTON].&[0202],0202,14302
[DIVADM].[DPA_CANTON].&[0203],0203,15166
[DIVADM].[DPA_CANTON].&[0204],0204,25600
[DIVADM].[DPA_CANTON].&[0205],0205,30917
[DIVADM].[DPA_CANTON].&[0206],0206,25736
[DIVADM].[DPA_CANTON].&[0207],0207,12413
[DIVADM].[DPA_CANTON].&[0301],0301,101925
[DIVADM].[DPA_CANTON].&[0302],0302,17957
[DIVADM].[DPA_CANTON].&[0303],0303,30807
[DIVADM].[DPA_CANTON].&[0304],0304,77734
[DIVADM].[DPA_CANTON].&[0305],0305,7397
[DIVADM].[DPA_CANTON].&[0306],0306,6777
[DIVADM].[DPA_CANTON].&[0307],0307,3212
[DIVADM].[DPA_CANTON].&[0401],0401,202912
[DIVADM].[DPA_CANTON].&[0402],0402,12863
[DIVADM].[DPA_CANTON].&[0403],0403,14055
[DIVADM].[DPA_CANTON].&[0404],0404,10644
[DIVADM].[DPA_CANTON].&[0405],0405,35790
[DIVADM].[DPA_CANTON].&[0501],0501,281896
[DIVADM].[DPA_CANTON].&[0504],0504,46730
[DIVADM].[DPA_CANTON].&[0505],0505,64134
[DIVADM].[DPA_CANTON].&[0507],0507,9188
[DIVADM].[DPA_CANTON].&[05D02],05D02,53881
[DIVADM].[DPA_CANTON].&[05D03],05D03,10438
[DIVADM].[DPA_CANTON].&[05D06],05D06,22205
[DIVADM].[DPA_CANTON].&[0601],0601,502126
[DIVADM].[DPA_CANTON].&[0602],0602,21615
[DIVADM].[DPA_CANTON].&[0603],0603,15001
[DIVADM].[DPA_CANTON].&[0604],0604,9743
[DIVADM].[DPA_CANTON].&[0605],0605,10365
[DIVADM].[DPA_CANTON].&[0606],0606,16482
[DIVADM].[DPA_CANTON].&[0607],0607,39765
[DIVADM].[DPA_CANTON].&[0608],0608,11062
[DIVADM].[DPA_CANTON].&[0609],0609,6142
[DIVADM].[DPA_CANTON].&[0610],0610,14362
[DIVADM].[DPA_CANTON].&[0701],0701,512353
[DIVADM].[DPA_CANTON].&[0702],0702,36107
[DIVADM].[DPA_CANTON].&[0703],0703,4996
[DIVADM].[DPA_CANTON].&[0704],0704,8955
[DIVADM].[DPA_CANTON].&[0705],0705,1515
[DIVADM].[DPA_CANTON].&[0706],0706,68179
[DIVADM].[DPA_CANTON].&[0707],0707,81439
[DIVADM].[DPA_CANTON].&[0708],0708,6562
[DIVADM].[DPA_CANTON].&[0709],0709,123190
[DIVADM].[DPA_CANTON].&[0710],0710,26164
[DIVADM].[DPA_CANTON].&[0711],0711,19095
[DIVADM].[DPA_CANTON].&[0712],0712,116623
[DIVADM].[DPA_CANTON].&[0713],0713,19746
[DIVADM].[DPA_CANTON].&[0714],0714,2172
[DIVADM].[DPA_CANTON].&[0801],0801,320049
[DIVADM].[DPA_CANTON].&[0802],0802,21796
[DIVADM].[DPA_CANTON].&[0803],0803,22376
[DIVADM].[DPA_CANTON].&[0804],0804,88536
[DIVADM].[DPA_CANTON].&[0805],0805,37129
[DIVADM].[DPA_CANTON].&[0806],0806,70753
[DIVADM].[DPA_CANTON].&[0807],0807,17162
[DIVADM].[DPA_CANTON].&[0808],0808,74810
[DIVADM].[DPA_CANTON].&[0901],0901,4009284
[DIVADM].[DPA_CANTON].&[0902],0902,27031
[DIVADM].[DPA_CANTON].&[0903],0903,18079
[DIVADM].[DPA_CANTON].&[0904],0904,58942
[DIVADM].[DPA_CANTON].&[0905],0905,10794
[DIVADM].[DPA_CANTON].&[0906],0906,187172
[DIVADM].[DPA_CANTON].&[0907],0907,377248
[DIVADM].[DPA_CANTON].&[0908],0908,70850
[DIVADM].[DPA_CANTON].&[0909],0909,54989
[DIVADM].[DPA_CANTON].&[0910],0910,237034
[DIVADM].[DPA_CANTON].&[0911],0911,96592
[DIVADM].[DPA_CANTON].&[0912],0912,46749
[DIVADM].[DPA_CANTON].&[0913],0913,11737
[DIVADM].[DPA_CANTON].&[0914],0914,48576
[DIVADM].[DPA_CANTON].&[0916],0916,116813
[DIVADM].[DPA_CANTON].&[0918],0918,21309
[DIVADM].[DPA_CANTON].&[0919],0919,25555
[DIVADM].[DPA_CANTON].&[0920],0920,77823
[DIVADM].[DPA_CANTON].&[0921],0921,70833
[DIVADM].[DPA_CANTON].&[0922],0922,17893
[DIVADM].[DPA_CANTON].&[0923],0923,11269
[DIVADM].[DPA_CANTON].&[0924],0924,18275
[DIVADM].[DPA_CANTON].&[0925],0925,29779
[DIVADM].[DPA_CANTON].&[0927],0927,12667
[DIVADM].[DPA_CANTON].&[0928],0928,10928
[DIVADM].[DPA_CANTON].&[1001],1001,541948
[DIVADM].[DPA_CANTON].&[1002],1002,64257
[DIVADM].[DPA_CANTON].&[1003],1003,33122
[DIVADM].[DPA_CANTON].&[1004],1004,133878
[DIVADM].[DPA_CANTON].&[1005],1005,16934
[DIVADM].[DPA_CANTON].&[1006],1006,17164
[DIVADM].[DPA_CANTON].&[1101],1101,451906
[DIVADM].[DPA_CANTON].&[1102],1102,22614
[DIVADM].[DPA_CANTON].&[1103],1103,53233
[DIVADM].[DPA_CANTON].&[1104],1104,12389
[DIVADM].[DPA_CANTON].&[1105],1105,3900
[DIVADM].[DPA_CANTON].&[1106],1106,7841
[DIVADM].[DPA_CANTON].&[1107],1107,7727
[DIVADM].[DPA_CANTON].&[1108],1108,19038
[DIVADM].[DPA_CANTON].&[1109],1109,12580
[DIVADM].[DPA_CANTON].&[1110],1110,11457
[DIVADM].[DPA_CANTON].&[1111],1111,15206
[DIVADM].[DPA_CANTON].&[1112],1112,1804
[DIVADM].[DPA_CANTON].&[1113],1113,8395
[DIVADM].[DPA_CANTON].&[1114],1114,5298
[DIVADM].[DPA_CANTON].&[1115],1115,4761
[DIVADM].[DPA_CANTON].&[1116],1116,2312
[DIVADM].[DPA_CANTON].&[1201],1201,293553
[DIVADM].[DPA_CANTON].&[1202],1202,24530
[DIVADM].[DPA_CANTON].&[1203],1203,36233
[DIVADM].[DPA_CANTON].&[1204],1204,47356
[DIVADM].[DPA_CANTON].&[1205],1205,305238
[DIVADM].[DPA_CANTON].&[1206],1206,28024
[DIVADM].[DPA_CANTON].&[1207],1207,99476
[DIVADM].[DPA_CANTON].&[1208],1208,62635
[DIVADM].[DPA_CANTON].&[1209],1209,9007
[DIVADM].[DPA_CANTON].&[1210],1210,97476
[DIVADM].[DPA_CANTON].&[1211],1211,38943
[DIVADM].[DPA_CANTON].&[1212],1212,30454
[DIVADM].[DPA_CANTON].&[1213],1213,14313
[DIVADM].[DPA_CANTON].&[1301],1301,345745
[DIVADM].[DPA_CANTON].&[1302],1302,23883
[DIVADM].[DPA_CANTON].&[1303],1303,81584
[DIVADM].[DPA_CANTON].&[1304],1304,56718
[DIVADM].[DPA_CANTON].&[1305],1305,9321
[DIVADM].[DPA_CANTON].&[1306],1306,46429
[DIVADM].[DPA_CANTON].&[1307],1307,8498
[DIVADM].[DPA_CANTON].&[1308],1308,299937
[DIVADM].[DPA_CANTON].&[1309],1309,60641
[DIVADM].[DPA_CANTON].&[1310],1310,13361
[DIVADM].[DPA_CANTON].&[1311],1311,7112
[DIVADM].[DPA_CANTON].&[1312],1312,23846
[DIVADM].[DPA_CANTON].&[1313],1313,14523
[DIVADM].[DPA_CANTON].&[1314],1314,40645
[DIVADM].[DPA_CANTON].&[1315],1315,23247
[DIVADM].[DPA_CANTON].&[1316],1316,6477
[DIVADM].[DPA_CANTON].&[1317],1317,49694
[DIVADM].[DPA_CANTON].&[1318],1318,3112
[DIVADM].[DPA_CANTON].&[1319],1319,11728
[DIVADM].[DPA_CANTON].&[1320],1320,6591
[DIVADM].[DPA_CANTON].&[1321],1321,21233
[DIVADM].[DPA_CANTON].&[1322],1322,17806
[DIVADM].[DPA_CANTON].&[1401],1401,144191
[DIVADM].[DPA_CANTON].&[1402],1402,24720
[DIVADM].[DPA_CANTON].&[1403],1403,10432
[DIVADM].[DPA_CANTON].&[1404],1404,15488
[DIVADM].[DPA_CANTON].&[1405],1405,11766
[DIVADM].[DPA_CANTON].&[1406],1406,35125
[DIVADM].[DPA_CANTON].&[1407],1407,15850
[DIVADM].[DPA_CANTON].&[1408],1408,2211
[DIVADM].[DPA_CANTON].&[1409],1409,7765
[DIVADM].[DPA_CANTON].&[1410],1410,6034
[DIVADM].[DPA_CANTON].&[1411],1411,4527
[DIVADM].[DPA_CANTON].&[1412],1412,4315
[DIVADM].[DPA_CANTON].&[1501],1501,84916
[DIVADM].[DPA_CANTON].&[1503],1503,21052
[DIVADM].[DPA_CANTON].&[1504],1504,7959
[DIVADM].[DPA_CANTON].&[1507],1507,10338
[DIVADM].[DPA_CANTON].&[1509],1509,2416
[DIVADM].[DPA_CANTON].&[1601],1601,147144
[DIVADM].[DPA_CANTON].&[1602],1602,22599
[DIVADM].[DPA_CANTON].&[1603],1603,3636
[DIVADM].[DPA_CANTON].&[1604],1604,5045
[DIVADM].[DPA_CANTON].&[1701],1701,5015101
[DIVADM].[DPA_CANTON].&[1702],1702,87497
[DIVADM].[DPA_CANTON].&[1703],1703,203385
[DIVADM].[DPA_CANTON].&[1704],1704,35855
[DIVADM].[DPA_CANTON].&[1705],1705,258723
[DIVADM].[DPA_CANTON].&[1707],1707,14397
[DIVADM].[DPA_CANTON].&[1708],1708,9786
[DIVADM].[DPA_CANTON].&[1709],1709,12211
[DIVADM].[DPA_CANTON].&[1801],1801,773731
[DIVADM].[DPA_CANTON].&[1802],1802,50090
[DIVADM].[DPA_CANTON].&[1803],1803,12040
[DIVADM].[DPA_CANTON].&[1804],1804,8137
[DIVADM].[DPA_CANTON].&[1805],1805,12342
[DIVADM].[DPA_CANTON].&[1806],1806,13107
[DIVADM].[DPA_CANTON].&[1807],1807,57003
[DIVADM].[DPA_CANTON].&[1808],1808,37655
[DIVADM].[DPA_CANTON].&[1809],1809,12660
[DIVADM].[DPA_CANTON].&[1901],1901,35583
[DIVADM].[DPA_CANTON].&[1902],1902,8136
[DIVADM].[DPA_CANTON].&[1903],1903,4426
[DIVADM].[DPA_CANTON].&[1904],1904,3179
[DIVADM].[DPA_CANTON].&[1905],1905,24881
[DIVADM].[DPA_CANTON].&[1906],1906,15781
[DIVADM].[DPA_CANTON].&[1907],1907,7252
[DIVADM].[DPA_CANTON].&[1908],1908,6731
[DIVADM].[DPA_CANTON].&[1909],1909,5504
[DIVADM].[DPA_CANTON].&[2001],2001,31251
[DIVADM].[DPA_CANTON].&[2002],2002,7611
[DIVADM].[DPA_CANTON].&[2003],2003,33821
[DIVADM].[DPA_CANTON].&[2101],2101,215684
[DIVADM].[DPA_CANTON].&[2102],2102,15083
[DIVADM].[DPA_CANTON].&[2103],2103,12983
[DIVADM].[DPA_CANTON].&[2104],2104,56089
[DIVADM].[DPA_CANTON].&[2105],2105,992
[DIVADM].[DPA_CANTON].&[2106],2106,13219
[DIVADM].[DPA_CANTON].&[2107],2107,7642
[DIVADM].[DPA_CANTON].&[2201],2201,173621
[DIVADM].[DPA_CANTON].&[2202],2202,835
[DIVADM].[DPA_CANTON].&[2203],2203,37394
[DIVADM].[DPA_CANTON].&[2204],2204,16612
[DIVADM].[DPA_CANTON].&[2301],2301,733935
[DIVADM].[DPA_CANTON].&[2401],2401,133875
[DIVADM].[DPA_CANTON].&[2402],2402,118086
[DIVADM].[DPA_CANTON].&[2403],2403,101778
[DIVADM].[DPA_CANTON].&[9001],9001,2533
[DIVADM].[DPA_CANTON].&[9003],9003,2369
[DIVADM].[DPA_CANTON].&[9004],9004,2751
[DIVADM].[DPA_CANTON].&,,4347
