[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 6],FLOR DE BASTION 6,3018
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 7],FLOR DE BASTION 7,8389
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 8],FLOR DE BASTION 8,13104
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 9],FLOR DE BASTION 9,3911
[DIVADM].[NAM_SUBCIR].&[FLORESTA 1],FLORESTA 1,11935
[DIVADM].[NAM_SUBCIR].&[FLORESTA 2],FLORESTA 2,37257
[DIVADM].[NAM_SUBCIR].&[FLORESTA 3],FLORESTA 3,17739
[DIVADM].[NAM_SUBCIR].&[FLORIDA 1],FLORIDA 1,21436
[DIVADM].[NAM_SUBCIR].&[FLORIDA 2],FLORIDA 2,37199
[DIVADM].[NAM_SUBCIR].&[FLORIDA 3],FLORIDA 3,14608
[DIVADM].[NAM_SUBCIR].&[FORTIN 1],FORTIN 1,15256
[DIVADM].[NAM_SUBCIR].&[FORTIN 2],FORTIN 2,22511
[DIVADM].[NAM_SUBCIR].&[FORTIN 3],FORTIN 3,8723
[DIVADM].[NAM_SUBCIR].&[FORTIN 4],FORTIN 4,11098
[DIVADM].[NAM_SUBCIR].&[FRONTERA 1],FRONTERA 1,621
[DIVADM].[NAM_SUBCIR].&[FRONTERA 2],FRONTERA 2,289
[DIVADM].[NAM_SUBCIR].&[FRONTERA 3],FRONTERA 3,31960
[DIVADM].[NAM_SUBCIR].&[FUMISA 1],FUMISA 1,6907
[DIVADM].[NAM_SUBCIR].&[GALERAS 1],GALERAS 1,1683
[DIVADM].[NAM_SUBCIR].&[GALERAS 2],GALERAS 2,578
[DIVADM].[NAM_SUBCIR].&[GALO PLAZA 1],GALO PLAZA 1,36225
[DIVADM].[NAM_SUBCIR].&[GALO PLAZA 2],GALO PLAZA 2,11448
[DIVADM].[NAM_SUBCIR].&[GALO PLAZA 3],GALO PLAZA 3,26315
[DIVADM].[NAM_SUBCIR].&[GARAY 1],GARAY 1,47150
[DIVADM].[NAM_SUBCIR].&[GARAY 2],GARAY 2,35330
[DIVADM].[NAM_SUBCIR].&[GARAY 3],GARAY 3,38594
[DIVADM].[NAM_SUBCIR].&[GARAY 4],GARAY 4,32094
[DIVADM].[NAM_SUBCIR].&[GARCIA MORENO 1],GARCIA MORENO 1,7012
[DIVADM].[NAM_SUBCIR].&[GARCIA MORENO 2],GARCIA MORENO 2,617
[DIVADM].[NAM_SUBCIR].&[GARZAREAL 1],GARZAREAL 1,665
[DIVADM].[NAM_SUBCIR].&[GENERAL FARFAN 1],GENERAL FARFAN 1,7760
[DIVADM].[NAM_SUBCIR].&[GENERAL PROANO 1],GENERAL PROANO 1,6275
[DIVADM].[NAM_SUBCIR].&[GENERAL VILLAMIL 1],GENERAL VILLAMIL 1,2853
[DIVADM].[NAM_SUBCIR].&[GENERAL VILLAMIL 2],GENERAL VILLAMIL 2,22639
[DIVADM].[NAM_SUBCIR].&[GIL RAMIREZ DAVALOS 1],GIL RAMIREZ DAVALOS 1,36332
[DIVADM].[NAM_SUBCIR].&[GIRON 1],GIRON 1,11364
[DIVADM].[NAM_SUBCIR].&[GIRON 2],GIRON 2,2259
[DIVADM].[NAM_SUBCIR].&[GONZALEZ 1],GONZALEZ 1,6440
[DIVADM].[NAM_SUBCIR].&[GONZANAMA 1],GONZANAMA 1,3256
[DIVADM].[NAM_SUBCIR].&[GRAL SERRANO 1],GRAL SERRANO 1,25511
[DIVADM].[NAM_SUBCIR].&[GUABILLO 1],GUABILLO 1,4743
[DIVADM].[NAM_SUBCIR].&[GUACHANAMA 1],GUACHANAMA 1,661
[DIVADM].[NAM_SUBCIR].&[GUACHAPALA 1],GUACHAPALA 1,1903
[DIVADM].[NAM_SUBCIR].&[GUACHARACA 1],GUACHARACA 1,3313
[DIVADM].[NAM_SUBCIR].&[GUACHARACA 2],GUACHARACA 2,4544
[DIVADM].[NAM_SUBCIR].&[GUADALUPE 1],GUADALUPE 1,1934
[DIVADM].[NAM_SUBCIR].&[GUALACEO 1],GUALACEO 1,25908
[DIVADM].[NAM_SUBCIR].&[GUALACEO 2],GUALACEO 2,8038
[DIVADM].[NAM_SUBCIR].&[GUALACEO SUR 1],GUALACEO SUR 1,1255
[DIVADM].[NAM_SUBCIR].&[GUALAQUIZA 1],GUALAQUIZA 1,8654
[DIVADM].[NAM_SUBCIR].&[GUALAQUIZA 2],GUALAQUIZA 2,9730
[DIVADM].[NAM_SUBCIR].&[GUALE 1],GUALE 1,1227
[DIVADM].[NAM_SUBCIR].&[GUALEA 1],GUALEA 1,1190
[DIVADM].[NAM_SUBCIR].&[GUALLETURO 1],GUALLETURO 1,2220
[DIVADM].[NAM_SUBCIR].&[GUAMANI 1],GUAMANI 1,47527
[DIVADM].[NAM_SUBCIR].&[GUAMANI 2],GUAMANI 2,27824
[DIVADM].[NAM_SUBCIR].&[GUAMANI 3],GUAMANI 3,29932
[DIVADM].[NAM_SUBCIR].&[GUAMANI 4],GUAMANI 4,20310
[DIVADM].[NAM_SUBCIR].&[GUAMANI 5],GUAMANI 5,4576
[DIVADM].[NAM_SUBCIR].&[GUAMOTE 1],GUAMOTE 1,8824
[DIVADM].[NAM_SUBCIR].&[GUANAZAN 1],GUANAZAN 1,476
[DIVADM].[NAM_SUBCIR].&[GUANGAJE 1],GUANGAJE 1,1091
[DIVADM].[NAM_SUBCIR].&[GUANGOPOLO 1],GUANGOPOLO 1,6877
[DIVADM].[NAM_SUBCIR].&[GUANO 1],GUANO 1,24778
[DIVADM].[NAM_SUBCIR].&[GUANO 2],GUANO 2,407
[DIVADM].[NAM_SUBCIR].&[GUANUJO 1],GUANUJO 1,11717
[DIVADM].[NAM_SUBCIR].&[GUAPAN 1],GUAPAN 1,4818
[DIVADM].[NAM_SUBCIR].&[GUARANDA SUR 1],GUARANDA SUR 1,25205
[DIVADM].[NAM_SUBCIR].&[GUARE DE BABA 1],GUARE DE BABA 1,316
[DIVADM].[NAM_SUBCIR].&[GUARE DE BABA 2],GUARE DE BABA 2,2658
[DIVADM].[NAM_SUBCIR].&[GUASAGANDA 1],GUASAGANDA 1,2885
[DIVADM].[NAM_SUBCIR].&[GUASMO 1],GUASMO 1,32726
[DIVADM].[NAM_SUBCIR].&[GUASMO 2],GUASMO 2,32634
[DIVADM].[NAM_SUBCIR].&[GUASMO 3],GUASMO 3,25857
[DIVADM].[NAM_SUBCIR].&[GUASMO 4],GUASMO 4,14426
[DIVADM].[NAM_SUBCIR].&[GUASUNTOS 1],GUASUNTOS 1,881
[DIVADM].[NAM_SUBCIR].&[GUAYABILLAS 1],GUAYABILLAS 1,14291
[DIVADM].[NAM_SUBCIR].&[GUAYABILLAS 2],GUAYABILLAS 2,12163
[DIVADM].[NAM_SUBCIR].&[GUAYACAN 1],GUAYACAN 1,6374
[DIVADM].[NAM_SUBCIR].&[GUAYACANES 1],GUAYACANES 1,4269
[DIVADM].[NAM_SUBCIR].&[GUAYACANES 2],GUAYACANES 2,10976
[DIVADM].[NAM_SUBCIR].&[GUAYACANES 3],GUAYACANES 3,9878
[DIVADM].[NAM_SUBCIR].&[GUAYACANES 4],GUAYACANES 4,7060
[DIVADM].[NAM_SUBCIR].&[GUAYACANES 5],GUAYACANES 5,10857
[DIVADM].[NAM_SUBCIR].&[GUAYACANES 6],GUAYACANES 6,18741
[DIVADM].[NAM_SUBCIR].&[GUAYLLABAMBA 1],GUAYLLABAMBA 1,25725
[DIVADM].[NAM_SUBCIR].&[GUAYLLABAMBA 2],GUAYLLABAMBA 2,763
[DIVADM].[NAM_SUBCIR].&[GUAYQUICHUMA 1],GUAYQUICHUMA 1,710
[DIVADM].[NAM_SUBCIR].&[GUAYTACAMA 1],GUAYTACAMA 1,2943
[DIVADM].[NAM_SUBCIR].&[GUAYTACAMA 2],GUAYTACAMA 2,11624
[DIVADM].[NAM_SUBCIR].&[GUAYZIMI 1],GUAYZIMI 1,3686
[DIVADM].[NAM_SUBCIR].&[GUIZHAGUIÑA 1],GUIZHAGUIÑA 1,1407
[DIVADM].[NAM_SUBCIR].&[HERMANO MIGUEL 1],HERMANO MIGUEL 1,34037
[DIVADM].[NAM_SUBCIR].&[HERMANO MIGUEL 2],HERMANO MIGUEL 2,5934
[DIVADM].[NAM_SUBCIR].&[HONORATO VASQUEZ 1],HONORATO VASQUEZ 1,993
[DIVADM].[NAM_SUBCIR].&[HUACHI EL BELEN 1],HUACHI EL BELEN 1,18429
[DIVADM].[NAM_SUBCIR].&[HUACHI EL BELEN 2],HUACHI EL BELEN 2,24532
[DIVADM].[NAM_SUBCIR].&[HUACHI GRANDE 1],HUACHI GRANDE 1,29484
[DIVADM].[NAM_SUBCIR].&[HUALTACO 1],HUALTACO 1,10743
[DIVADM].[NAM_SUBCIR].&[HUALTACO 2],HUALTACO 2,19983
[DIVADM].[NAM_SUBCIR].&[HUALTACO 3],HUALTACO 3,10290
[DIVADM].[NAM_SUBCIR].&[HUAMBI 1],HUAMBI 1,2793
[DIVADM].[NAM_SUBCIR].&[HUAMBOYA 1],HUAMBOYA 1,15850
[DIVADM].[NAM_SUBCIR].&[HUAYNA CAPAC 1],HUAYNA CAPAC 1,66156
[DIVADM].[NAM_SUBCIR].&[HUIGRA 1],HUIGRA 1,3846
[DIVADM].[NAM_SUBCIR].&[ILINIZAS 1],ILINIZAS 1,22121
[DIVADM].[NAM_SUBCIR].&[ILINIZAS 2],ILINIZAS 2,1794
[DIVADM].[NAM_SUBCIR].&[IMANTAG 1],IMANTAG 1,2597
[DIVADM].[NAM_SUBCIR].&[IMBANA 1],IMBANA 1,184
[DIVADM].[NAM_SUBCIR].&[INDANZA 1],INDANZA 1,901
[DIVADM].[NAM_SUBCIR].&[INES ARANGO 1],INES ARANGO 1,363
[DIVADM].[NAM_SUBCIR].&[INGAPIRCA 1],INGAPIRCA 1,4220
[DIVADM].[NAM_SUBCIR].&[INGAURCO 1],INGAURCO 1,29017
[DIVADM].[NAM_SUBCIR].&[INTAG 1],INTAG 1,705
[DIVADM].[NAM_SUBCIR].&[IÑAQUITO 1],IÑAQUITO 1,24113
[DIVADM].[NAM_SUBCIR].&[IÑAQUITO 2],IÑAQUITO 2,51024
[DIVADM].[NAM_SUBCIR].&[IÑAQUITO 3],IÑAQUITO 3,60611
[DIVADM].[NAM_SUBCIR].&[IÑAQUITO 4],IÑAQUITO 4,36655
[DIVADM].[NAM_SUBCIR].&[IÑAQUITO 5],IÑAQUITO 5,47197
[DIVADM].[NAM_SUBCIR].&[IÑAQUITO 6],IÑAQUITO 6,15173
[DIVADM].[NAM_SUBCIR].&[ISABELA 1],ISABELA 1,7311
[DIVADM].[NAM_SUBCIR].&[ISIDRO AYORA 1],ISIDRO AYORA 1,34834
[DIVADM].[NAM_SUBCIR].&[ISINLIVI 1],ISINLIVI 1,498
[DIVADM].[NAM_SUBCIR].&[ISLA DE BEJUCAL 1],ISLA DE BEJUCAL 1,6228
[DIVADM].[NAM_SUBCIR].&[ITCHIMBIA 1],ITCHIMBIA 1,21446
[DIVADM].[NAM_SUBCIR].&[ITCHIMBIA 2],ITCHIMBIA 2,19148
[DIVADM].[NAM_SUBCIR].&[ITCHIMBIA 3],ITCHIMBIA 3,43060
[DIVADM].[NAM_SUBCIR].&[ITCHIMBIA 4],ITCHIMBIA 4,68262
[DIVADM].[NAM_SUBCIR].&[IV CENTENARIO 1],IV CENTENARIO 1,31913
[DIVADM].[NAM_SUBCIR].&[IZAMBA 1],IZAMBA 1,28007
[DIVADM].[NAM_SUBCIR].&[JADAN 1],JADAN 1,1411
[DIVADM].[NAM_SUBCIR].&[JAIME ROLDOS 1],JAIME ROLDOS 1,8738
[DIVADM].[NAM_SUBCIR].&[JAMA 1],JAMA 1,5581
[DIVADM].[NAM_SUBCIR].&[JAMBELI 1],JAMBELI 1,1518
[DIVADM].[NAM_SUBCIR].&[JAMBELI CENTRO 1],JAMBELI CENTRO 1,9058
[DIVADM].[NAM_SUBCIR].&[JAMBELI CENTRO 2],JAMBELI CENTRO 2,12529
[DIVADM].[NAM_SUBCIR].&[JARAMIJO 1],JARAMIJO 1,13832
[DIVADM].[NAM_SUBCIR].&[JARAMIJO 2],JARAMIJO 2,7401
[DIVADM].[NAM_SUBCIR].&[JARDIN AMBATEÐO 1],JARDIN AMBATEÐO 1,26882
[DIVADM].[NAM_SUBCIR].&[JAUNECHE 1],JAUNECHE 1,1276
[DIVADM].[NAM_SUBCIR].&[JERUSALEN 1],JERUSALEN 1,475
[DIVADM].[NAM_SUBCIR].&[JIMA 1],JIMA 1,1057
[DIVADM].[NAM_SUBCIR].&[JIMBILLA 1],JIMBILLA 1,326
[DIVADM].[NAM_SUBCIR].&[JIMBURA 1],JIMBURA 1,1406
[DIVADM].[NAM_SUBCIR].&[JIPIJAPA 1],JIPIJAPA 1,47628
[DIVADM].[NAM_SUBCIR].&[JIPIJAPA 2],JIPIJAPA 2,38577
[DIVADM].[NAM_SUBCIR].&[JIPIJAPA 3],JIPIJAPA 3,7471
[DIVADM].[NAM_SUBCIR].&[JIPIJAPA 4],JIPIJAPA 4,7030
[DIVADM].[NAM_SUBCIR].&[JOSEGUANGO 1],JOSEGUANGO 1,6237
[DIVADM].[NAM_SUBCIR].&[JOYAGSHI 1],JOYAGSHI 1,1772
[DIVADM].[NAM_SUBCIR].&[JUAN BAUTISTA AGUIRRE 1],JUAN BAUTISTA AGUIRRE 1,19469
[DIVADM].[NAM_SUBCIR].&[JUAN BAUTISTA AGUIRRE 2],JUAN BAUTISTA AGUIRRE 2,72792
[DIVADM].[NAM_SUBCIR].&[JUAN EULOGIO 1],JUAN EULOGIO 1,8565
[DIVADM].[NAM_SUBCIR].&[JUAN EULOGIO 2],JUAN EULOGIO 2,15069
[DIVADM].[NAM_SUBCIR].&[JUAN EULOGIO 3],JUAN EULOGIO 3,29744
[DIVADM].[NAM_SUBCIR].&[JUAN MONTALVO 1],JUAN MONTALVO 1,11960
[DIVADM].[NAM_SUBCIR].&[JUAN MONTALVO 2],JUAN MONTALVO 2,4834
[DIVADM].[NAM_SUBCIR].&[JUAN MONTALVO 3],JUAN MONTALVO 3,6226
[DIVADM].[NAM_SUBCIR].&[JUAN MONTALVO 4],JUAN MONTALVO 4,6300
[DIVADM].[NAM_SUBCIR].&[JUAN MONTALVO 5],JUAN MONTALVO 5,16346
[DIVADM].[NAM_SUBCIR].&[JUAN MONTALVO 6],JUAN MONTALVO 6,15953
[DIVADM].[NAM_SUBCIR].&[JUJAN ESTE 1],JUJAN ESTE 1,5075
[DIVADM].[NAM_SUBCIR].&[JUJAN OESTE 1],JUJAN OESTE 1,7529
[DIVADM].[NAM_SUBCIR].&[JUJAN OESTE 2],JUJAN OESTE 2,14427
[DIVADM].[NAM_SUBCIR].&[JULCUY 1],JULCUY 1,2344
[DIVADM].[NAM_SUBCIR].&[JULIO ANDRADE 1],JULIO ANDRADE 1,14428
[DIVADM].[NAM_SUBCIR].&[JULIO ANDRADE 2],JULIO ANDRADE 2,3227
[DIVADM].[NAM_SUBCIR].&[JULIO MORENO 1],JULIO MORENO 1,8491
[DIVADM].[NAM_SUBCIR].&[JUNCO 1],JUNCO 1,10241
[DIVADM].[NAM_SUBCIR].&[JUNIN NORTE 1],JUNIN NORTE 1,4506
[DIVADM].[NAM_SUBCIR].&[JUNIN SUR 1],JUNIN SUR 1,3992
[DIVADM].[NAM_SUBCIR].&[JUNQUILLAL 1],JUNQUILLAL 1,2838
[DIVADM].[NAM_SUBCIR].&[KENNEDY 1],KENNEDY 1,71620
[DIVADM].[NAM_SUBCIR].&[KENNEDY 2],KENNEDY 2,39664
[DIVADM].[NAM_SUBCIR].&[KENNEDY 3],KENNEDY 3,42663
[DIVADM].[NAM_SUBCIR].&[KENNEDY 4],KENNEDY 4,24622
[DIVADM].[NAM_SUBCIR].&[KENNEDY 5],KENNEDY 5,25508
[DIVADM].[NAM_SUBCIR].&[KM 24 1],KM 24 1,8582
[DIVADM].[NAM_SUBCIR].&[LA AMERICA 1],LA AMERICA 1,651
[DIVADM].[NAM_SUBCIR].&[LA ARGELIA 1],LA ARGELIA 1,19134
[DIVADM].[NAM_SUBCIR].&[LA BALSA 1],LA BALSA 1,323
[DIVADM].[NAM_SUBCIR].&[LA BANDA 1],LA BANDA 1,8669
[DIVADM].[NAM_SUBCIR].&[LA BANDA 2],LA BANDA 2,17083
[DIVADM].[NAM_SUBCIR].&[LA BELLEZA 1],LA BELLEZA 1,1854
[DIVADM].[NAM_SUBCIR].&[LA BONITA 1],LA BONITA 1,881
[DIVADM].[NAM_SUBCIR].&[LA BONITA 2],LA BONITA 2,111
[DIVADM].[NAM_SUBCIR].&[LA BOTA 1],LA BOTA 1,25256
[DIVADM].[NAM_SUBCIR].&[LA BOTA 2],LA BOTA 2,15683
[DIVADM].[NAM_SUBCIR].&[LA BRAMADORA 1],LA BRAMADORA 1,2635
[DIVADM].[NAM_SUBCIR].&[LA CALERA 1],LA CALERA 1,11301
[DIVADM].[NAM_SUBCIR].&[LA CAROLINA 1],LA CAROLINA 1,2953
[DIVADM].[NAM_SUBCIR].&[LA CASCADA 1],LA CASCADA 1,7879
[DIVADM].[NAM_SUBCIR].&[LA CASCADA 2],LA CASCADA 2,2708
[DIVADM].[NAM_SUBCIR].&[LA CHACRA 1],LA CHACRA 1,10206
[DIVADM].[NAM_SUBCIR].&[LA COCHA 1],LA COCHA 1,13413
[DIVADM].[NAM_SUBCIR].&[LA CONCEPCION 1],LA CONCEPCION 1,1991
[DIVADM].[NAM_SUBCIR].&[LA CONCEPCION 2],LA CONCEPCION 2,529
[DIVADM].[NAM_SUBCIR].&[LA CONDAMINE 1],LA CONDAMINE 1,15622
[DIVADM].[NAM_SUBCIR].&[LA CONDAMINE 2],LA CONDAMINE 2,49123
[DIVADM].[NAM_SUBCIR].&[LA CUATRO MIL 1],LA CUATRO MIL 1,17187
[DIVADM].[NAM_SUBCIR].&[LA CUATRO MIL 2],LA CUATRO MIL 2,6705
[DIVADM].[NAM_SUBCIR].&[LA ERCILIA 1],LA ERCILIA 1,5322
[DIVADM].[NAM_SUBCIR].&[LA ESMERALDA 1],LA ESMERALDA 1,6471
[DIVADM].[NAM_SUBCIR].&[LA ESMERALDA 2],LA ESMERALDA 2,2749
[DIVADM].[NAM_SUBCIR].&[LA ESPERANZA 1],LA ESPERANZA 1,12794
[DIVADM].[NAM_SUBCIR].&[LA ESTACION 1],LA ESTACION 1,20350
[DIVADM].[NAM_SUBCIR].&[LA ESTACION 2],LA ESTACION 2,33721
[DIVADM].[NAM_SUBCIR].&[LA FABRIL 1],LA FABRIL 1,3529
[DIVADM].[NAM_SUBCIR].&[LA FABRIL 2],LA FABRIL 2,8231
[DIVADM].[NAM_SUBCIR].&[LA FERROVIARIA 1],LA FERROVIARIA 1,45036
[DIVADM].[NAM_SUBCIR].&[LA FLORIDA 1],LA FLORIDA 1,24333
[DIVADM].[NAM_SUBCIR].&[LA FLORIDA 2],LA FLORIDA 2,39031
[DIVADM].[NAM_SUBCIR].&[LA GUAYAQUIL 1],LA GUAYAQUIL 1,5202
[DIVADM].[NAM_SUBCIR].&[LA HERRADURA 1],LA HERRADURA 1,14236
[DIVADM].[NAM_SUBCIR].&[LA IBERIA 1],LA IBERIA 1,5601
[DIVADM].[NAM_SUBCIR].&[LA INDEPENDENCIA 1],LA INDEPENDENCIA 1,5453
[DIVADM].[NAM_SUBCIR].&[LA LIBERTAD 1],LA LIBERTAD 1,35149
[DIVADM].[NAM_SUBCIR].&[LA LIBERTAD 2],LA LIBERTAD 2,4724
[DIVADM].[NAM_SUBCIR].&[LA LIBERTAD 3],LA LIBERTAD 3,29481
[DIVADM].[NAM_SUBCIR].&[LA LORENA 1],LA LORENA 1,16183
[DIVADM].[NAM_SUBCIR].&[LA MANA NORTE 1],LA MANA NORTE 1,8827
[DIVADM].[NAM_SUBCIR].&[LA MANA NORTE 2],LA MANA NORTE 2,13956
[DIVADM].[NAM_SUBCIR].&[LA MANA SUR 1],LA MANA SUR 1,22970
[DIVADM].[NAM_SUBCIR].&[LA MANA SUR 2],LA MANA SUR 2,5243
[DIVADM].[NAM_SUBCIR].&[LA MARISCAL 1],LA MARISCAL 1,26928
[DIVADM].[NAM_SUBCIR].&[LA MARISCAL 2],LA MARISCAL 2,22685
[DIVADM].[NAM_SUBCIR].&[LA MARISCAL 3],LA MARISCAL 3,22448
[DIVADM].[NAM_SUBCIR].&[LA MARISCAL 4],LA MARISCAL 4,21661
[DIVADM].[NAM_SUBCIR].&[LA MARISCAL 5],LA MARISCAL 5,22262
[DIVADM].[NAM_SUBCIR].&[LA MARISCAL 6],LA MARISCAL 6,11466
[DIVADM].[NAM_SUBCIR].&[LA MARISCAL 7],LA MARISCAL 7,17537
[DIVADM].[NAM_SUBCIR].&[LA MATRIZ  1],LA MATRIZ  1,77615
[DIVADM].[NAM_SUBCIR].&[LA MATRIZ  2],LA MATRIZ  2,54019
[DIVADM].[NAM_SUBCIR].&[LA MERCED 1],LA MERCED 1,26547
[DIVADM].[NAM_SUBCIR].&[LA MERCED 2],LA MERCED 2,3016
[DIVADM].[NAM_SUBCIR].&[LA MONTAÑA 1],LA MONTAÑA 1,4957
[DIVADM].[NAM_SUBCIR].&[LA NUEVA UNION 1],LA NUEVA UNION 1,9280
[DIVADM].[NAM_SUBCIR].&[LA PAMPA 1],LA PAMPA 1,5173
[DIVADM].[NAM_SUBCIR].&[LA PAZ 1],LA PAZ 1,14245
[DIVADM].[NAM_SUBCIR].&[LA PAZ 2],LA PAZ 2,23276
[DIVADM].[NAM_SUBCIR].&[LA PILA 1],LA PILA 1,1669
[DIVADM].[NAM_SUBCIR].&[LA PRADERA 1],LA PRADERA 1,11530
[DIVADM].[NAM_SUBCIR].&[LA PRADERA 2],LA PRADERA 2,7550
[DIVADM].[NAM_SUBCIR].&[LA PRADERA 3],LA PRADERA 3,6765
[DIVADM].[NAM_SUBCIR].&[LA PRIMAVERA 1],LA PRIMAVERA 1,30932
[DIVADM].[NAM_SUBCIR].&[LA PROVIDENCIA 1],LA PROVIDENCIA 1,15544
[DIVADM].[NAM_SUBCIR].&[LA RAMA 1],LA RAMA 1,462
[DIVADM].[NAM_SUBCIR].&[LA RESERVA 1],LA RESERVA 1,2830
[DIVADM].[NAM_SUBCIR].&[LA ROLDOS 1],LA ROLDOS 1,1614
[DIVADM].[NAM_SUBCIR].&[LA ROLDOS 2],LA ROLDOS 2,30218
[DIVADM].[NAM_SUBCIR].&[LA ROLDOS 3],LA ROLDOS 3,15477
[DIVADM].[NAM_SUBCIR].&[LA ROLDOS 4],LA ROLDOS 4,3016
[DIVADM].[NAM_SUBCIR].&[LA SEQUITA 1],LA SEQUITA 1,5244
[DIVADM].[NAM_SUBCIR].&[LA SEXTA 1],LA SEXTA 1,1745
[DIVADM].[NAM_SUBCIR].&[LA T 1],LA T 1,4573
[DIVADM].[NAM_SUBCIR].&[LA TINGUE 1],LA TINGUE 1,220
[DIVADM].[NAM_SUBCIR].&[LA TOLITA 1],LA TOLITA 1,8254
[DIVADM].[NAM_SUBCIR].&[LA TOLITA 2],LA TOLITA 2,7739
[DIVADM].[NAM_SUBCIR].&[LA UNION 1],LA UNION 1,48874
[DIVADM].[NAM_SUBCIR].&[LA UNION 2],LA UNION 2,357
[DIVADM].[NAM_SUBCIR].&[LA UNION DE ATACAMES 1],LA UNION DE ATACAMES 1,1044
[DIVADM].[NAM_SUBCIR].&[LA VALDRAMINA 1],LA VALDRAMINA 1,15440
[DIVADM].[NAM_SUBCIR].&[LA VICTORIA 1],LA VICTORIA 1,21756
[DIVADM].[NAM_SUBCIR].&[LA VICTORIA 2],LA VICTORIA 2,4518
[DIVADM].[NAM_SUBCIR].&[LA YOLITA 1],LA YOLITA 1,39816
[DIVADM].[NAM_SUBCIR].&[LADERAS DE SAN FRANCISCO 1],LADERAS DE SAN FRANCISCO 1,317
[DIVADM].[NAM_SUBCIR].&[LAS CASAS 1],LAS CASAS 1,29278
[DIVADM].[NAM_SUBCIR].&[LAS CASAS 2],LAS CASAS 2,40286
[DIVADM].[NAM_SUBCIR].&[LAS CORONAS 1],LAS CORONAS 1,3071
[DIVADM].[NAM_SUBCIR].&[LAS CUADRAS 1],LAS CUADRAS 1,26832
[DIVADM].[NAM_SUBCIR].&[LAS CUADRAS 2],LAS CUADRAS 2,58828
[DIVADM].[NAM_SUBCIR].&[LAS CUADRAS 3],LAS CUADRAS 3,34904
[DIVADM].[NAM_SUBCIR].&[LAS GOLONDRINAS 1],LAS GOLONDRINAS 1,2533
[DIVADM].[NAM_SUBCIR].&[LAS KATYAS 1],LAS KATYAS 1,10131
[DIVADM].[NAM_SUBCIR].&[LAS KATYAS 2],LAS KATYAS 2,11723
[DIVADM].[NAM_SUBCIR].&[LAS KATYAS 3],LAS KATYAS 3,11122
[DIVADM].[NAM_SUBCIR].&[LAS LOJAS 1],LAS LOJAS 1,11412
[DIVADM].[NAM_SUBCIR].&[LAS LOMAS 1],LAS LOMAS 1,32553
[DIVADM].[NAM_SUBCIR].&[LAS MERCEDES 1],LAS MERCEDES 1,2360
[DIVADM].[NAM_SUBCIR].&[LAS NAVES 1],LAS NAVES 1,12413
[DIVADM].[NAM_SUBCIR].&[LAS NIEVES 1],LAS NIEVES 1,1411
[DIVADM].[NAM_SUBCIR].&[LAS PALMAS 1],LAS PALMAS 1,10127
[DIVADM].[NAM_SUBCIR].&[LAS PALMERAS 1],LAS PALMERAS 1,53028
[DIVADM].[NAM_SUBCIR].&[LAS PALMERAS 2],LAS PALMERAS 2,10178
[DIVADM].[NAM_SUBCIR].&[LAS PAMPAS 1],LAS PAMPAS 1,713
[DIVADM].[NAM_SUBCIR].&[LAS PILAS 1],LAS PILAS 1,4984
[DIVADM].[NAM_SUBCIR].&[LAS PIÑAS 1],LAS PIÑAS 1,11872
[DIVADM].[NAM_SUBCIR].&[LAS PIÑAS 2],LAS PIÑAS 2,18694
[DIVADM].[NAM_SUBCIR].&[LAS PRADERAS 1],LAS PRADERAS 1,35591
[DIVADM].[NAM_SUBCIR].&[LAS RIELES 1],LAS RIELES 1,16683
