[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[LAS RIELES 2],LAS RIELES 2,27826
[DIVADM].[NAM_SUBCIR].&[LAS TERMAS 1],LAS TERMAS 1,3246
[DIVADM].[NAM_SUBCIR].&[LAS TERMAS 2],LAS TERMAS 2,11465
[DIVADM].[NAM_SUBCIR].&[LAS TOLAS 1],LAS TOLAS 1,1451
[DIVADM].[NAM_SUBCIR].&[LAS TOTORAS 1],LAS TOTORAS 1,15567
[DIVADM].[NAM_SUBCIR].&[LAS TOTORAS 2],LAS TOTORAS 2,6806
[DIVADM].[NAM_SUBCIR].&[LASCANO 1],LASCANO 1,579
[DIVADM].[NAM_SUBCIR].&[LASSO 1],LASSO 1,11752
[DIVADM].[NAM_SUBCIR].&[LASSO 2],LASSO 2,4299
[DIVADM].[NAM_SUBCIR].&[LAURO GUERRERO 1],LAURO GUERRERO 1,1156
[DIVADM].[NAM_SUBCIR].&[LELIA 1],LELIA 1,5407
[DIVADM].[NAM_SUBCIR].&[LEONIDAS PROAÐO 1],LEONIDAS PROAÐO 1,5582
[DIVADM].[NAM_SUBCIR].&[LETAMENDI 1],LETAMENDI 1,34053
[DIVADM].[NAM_SUBCIR].&[LETAMENDI 2],LETAMENDI 2,28008
[DIVADM].[NAM_SUBCIR].&[LIBERTAD CENTRO 1],LIBERTAD CENTRO 1,9012
[DIVADM].[NAM_SUBCIR].&[LIBERTAD CENTRO 2],LIBERTAD CENTRO 2,14994
[DIVADM].[NAM_SUBCIR].&[LIBERTAD CENTRO 3],LIBERTAD CENTRO 3,11471
[DIVADM].[NAM_SUBCIR].&[LIBERTAD CENTRO 4],LIBERTAD CENTRO 4,8347
[DIVADM].[NAM_SUBCIR].&[LICTO 1],LICTO 1,2817
[DIVADM].[NAM_SUBCIR].&[LICTO 2],LICTO 2,1391
[DIVADM].[NAM_SUBCIR].&[LIGA CANTONAL 1],LIGA CANTONAL 1,23943
[DIVADM].[NAM_SUBCIR].&[LIGA CANTONAL 2],LIGA CANTONAL 2,15107
[DIVADM].[NAM_SUBCIR].&[LIMON 1],LIMON 1,8095
[DIVADM].[NAM_SUBCIR].&[LIMONAL 1],LIMONAL 1,6811
[DIVADM].[NAM_SUBCIR].&[LIMONAL 2],LIMONAL 2,7648
[DIVADM].[NAM_SUBCIR].&[LIMONCOCHA 1],LIMONCOCHA 1,6244
[DIVADM].[NAM_SUBCIR].&[LIMONES 1],LIMONES 1,2385
[DIVADM].[NAM_SUBCIR].&[LIMONES 2],LIMONES 2,2116
[DIVADM].[NAM_SUBCIR].&[LIMONES 3],LIMONES 3,3381
[DIVADM].[NAM_SUBCIR].&[LIMONES 4],LIMONES 4,45
[DIVADM].[NAM_SUBCIR].&[LINARES 1],LINARES 1,332
[DIVADM].[NAM_SUBCIR].&[LIRIO 1],LIRIO 1,828
[DIVADM].[NAM_SUBCIR].&[LITA 1],LITA 1,4252
[DIVADM].[NAM_SUBCIR].&[LLANO CHICO 1],LLANO CHICO 1,22218
[DIVADM].[NAM_SUBCIR].&[LLOA 1],LLOA 1,6010
[DIVADM].[NAM_SUBCIR].&[LODANA 1],LODANA 1,2658
[DIVADM].[NAM_SUBCIR].&[LOGRONO 1],LOGRONO 1,5798
[DIVADM].[NAM_SUBCIR].&[LOMAS DE SARGENTILLO 1],LOMAS DE SARGENTILLO 1,17302
[DIVADM].[NAM_SUBCIR].&[LOMAS DE SARGENTILLO 2],LOMAS DE SARGENTILLO 2,973
[DIVADM].[NAM_SUBCIR].&[LORENZO DE GARAICOA 1],LORENZO DE GARAICOA 1,4804
[DIVADM].[NAM_SUBCIR].&[LORETO 1],LORETO 1,14186
[DIVADM].[NAM_SUBCIR].&[LORETO 2],LORETO 2,880
[DIVADM].[NAM_SUBCIR].&[LOS BAJOS 1],LOS BAJOS 1,8172
[DIVADM].[NAM_SUBCIR].&[LOS BANCOS 1],LOS BANCOS 1,5957
[DIVADM].[NAM_SUBCIR].&[LOS BANCOS 2],LOS BANCOS 2,4923
[DIVADM].[NAM_SUBCIR].&[LOS BANCOS 3],LOS BANCOS 3,3302
[DIVADM].[NAM_SUBCIR].&[LOS BANCOS 4],LOS BANCOS 4,215
[DIVADM].[NAM_SUBCIR].&[LOS CEIBOS 1],LOS CEIBOS 1,55248
[DIVADM].[NAM_SUBCIR].&[LOS CEIBOS 2],LOS CEIBOS 2,13496
[DIVADM].[NAM_SUBCIR].&[LOS CEIBOS 3],LOS CEIBOS 3,10809
[DIVADM].[NAM_SUBCIR].&[LOS CEREZOS 1],LOS CEREZOS 1,27447
[DIVADM].[NAM_SUBCIR].&[LOS CEREZOS 2],LOS CEREZOS 2,22231
[DIVADM].[NAM_SUBCIR].&[LOS CEREZOS 3],LOS CEREZOS 3,8145
[DIVADM].[NAM_SUBCIR].&[LOS ENCUENTROS 1],LOS ENCUENTROS 1,3970
[DIVADM].[NAM_SUBCIR].&[LOS ESTEROS 1],LOS ESTEROS 1,1863
[DIVADM].[NAM_SUBCIR].&[LOS ESTEROS 2],LOS ESTEROS 2,10226
[DIVADM].[NAM_SUBCIR].&[LOS ESTEROS 3],LOS ESTEROS 3,15123
[DIVADM].[NAM_SUBCIR].&[LOS GUABOS 1],LOS GUABOS 1,2457
[DIVADM].[NAM_SUBCIR].&[LOS GUABOS 2],LOS GUABOS 2,11713
[DIVADM].[NAM_SUBCIR].&[LOS LAGOS 1],LOS LAGOS 1,21017
[DIVADM].[NAM_SUBCIR].&[LOS LAGOS 2],LOS LAGOS 2,37450
[DIVADM].[NAM_SUBCIR].&[LOS LLANOS 1],LOS LLANOS 1,22702
[DIVADM].[NAM_SUBCIR].&[LOS LLANOS 2],LOS LLANOS 2,17033
[DIVADM].[NAM_SUBCIR].&[LOS MOLINOS 1],LOS MOLINOS 1,29052
[DIVADM].[NAM_SUBCIR].&[LUCERO 1],LUCERO 1,889
[DIVADM].[NAM_SUBCIR].&[LUDO 1],LUDO 1,1878
[DIVADM].[NAM_SUBCIR].&[LUIS CORDERO 1],LUIS CORDERO 1,2472
[DIVADM].[NAM_SUBCIR].&[LUMBAQUI 1],LUMBAQUI 1,13985
[DIVADM].[NAM_SUBCIR].&[LUMBAQUI 2],LUMBAQUI 2,1098
[DIVADM].[NAM_SUBCIR].&[LUZ DE AMERICA 1],LUZ DE AMERICA 1,12715
[DIVADM].[NAM_SUBCIR].&[LUZ DE AMERICA 2],LUZ DE AMERICA 2,1280
[DIVADM].[NAM_SUBCIR].&[MACARA 1],MACARA 1,4315
[DIVADM].[NAM_SUBCIR].&[MACARA 2],MACARA 2,13127
[DIVADM].[NAM_SUBCIR].&[MACAS 1],MACAS 1,82432
[DIVADM].[NAM_SUBCIR].&[MACAS 2],MACAS 2,24903
[DIVADM].[NAM_SUBCIR].&[MACHACHI NORTE 1],MACHACHI NORTE 1,14418
[DIVADM].[NAM_SUBCIR].&[MACHACHI NORTE 2],MACHACHI NORTE 2,3509
[DIVADM].[NAM_SUBCIR].&[MACHACHI SUR 1],MACHACHI SUR 1,57596
[DIVADM].[NAM_SUBCIR].&[MACHALA OCCIDENTAL 1],MACHALA OCCIDENTAL 1,16742
[DIVADM].[NAM_SUBCIR].&[MACHANGARA 1],MACHANGARA 1,22170
[DIVADM].[NAM_SUBCIR].&[MACUMA 1],MACUMA 1,1237
[DIVADM].[NAM_SUBCIR].&[MAGDALENA 1],MAGDALENA 1,44153
[DIVADM].[NAM_SUBCIR].&[MAGDALENA 2],MAGDALENA 2,24391
[DIVADM].[NAM_SUBCIR].&[MAGDALENA 3],MAGDALENA 3,32951
[DIVADM].[NAM_SUBCIR].&[MAGDALENA 4],MAGDALENA 4,29683
[DIVADM].[NAM_SUBCIR].&[MALACATOS 1],MALACATOS 1,11057
[DIVADM].[NAM_SUBCIR].&[MALCHINGUI 1],MALCHINGUI 1,4485
[DIVADM].[NAM_SUBCIR].&[MALCHINGUI 2],MALCHINGUI 2,4831
[DIVADM].[NAM_SUBCIR].&[MALDONADO 1],MALDONADO 1,5620
[DIVADM].[NAM_SUBCIR].&[MALDONADO 2],MALDONADO 2,469
[DIVADM].[NAM_SUBCIR].&[MALDONADO 3],MALDONADO 3,3697
[DIVADM].[NAM_SUBCIR].&[MALIMPIA 1],MALIMPIA 1,1991
[DIVADM].[NAM_SUBCIR].&[MALIMPIA 2],MALIMPIA 2,352
[DIVADM].[NAM_SUBCIR].&[MALVINAS NORTE 1],MALVINAS NORTE 1,21997
[DIVADM].[NAM_SUBCIR].&[MALVINAS NORTE 2],MALVINAS NORTE 2,8380
[DIVADM].[NAM_SUBCIR].&[MALVINAS NORTE 3],MALVINAS NORTE 3,16261
[DIVADM].[NAM_SUBCIR].&[MALVINAS SUR 1],MALVINAS SUR 1,31399
[DIVADM].[NAM_SUBCIR].&[MALVINAS SUR 2],MALVINAS SUR 2,14379
[DIVADM].[NAM_SUBCIR].&[MALVINAS SUR 3],MALVINAS SUR 3,12932
[DIVADM].[NAM_SUBCIR].&[MANANTIAL DE GUANGALA 1],MANANTIAL DE GUANGALA 1,4344
[DIVADM].[NAM_SUBCIR].&[MANGA DEL CURA NORTE 1],MANGA DEL CURA NORTE 1,1725
[DIVADM].[NAM_SUBCIR].&[MANGA DEL CURA SUR 1],MANGA DEL CURA SUR 1,644
[DIVADM].[NAM_SUBCIR].&[MANTUANO 1],MANTUANO 1,2451
[DIVADM].[NAM_SUBCIR].&[MANU 1],MANU 1,1154
[DIVADM].[NAM_SUBCIR].&[MAPASINGUE 1],MAPASINGUE 1,7642
[DIVADM].[NAM_SUBCIR].&[MAPASINGUE 2],MAPASINGUE 2,11714
[DIVADM].[NAM_SUBCIR].&[MAPASINGUE 3],MAPASINGUE 3,4345
[DIVADM].[NAM_SUBCIR].&[MAPASINGUE 4],MAPASINGUE 4,9917
[DIVADM].[NAM_SUBCIR].&[MAPASINGUE 5],MAPASINGUE 5,6454
[DIVADM].[NAM_SUBCIR].&[MAR NEGRO 1],MAR NEGRO 1,6485
[DIVADM].[NAM_SUBCIR].&[MARCABELI 1],MARCABELI 1,6562
[DIVADM].[NAM_SUBCIR].&[MARCELINO MARIDUEÑA 1],MARCELINO MARIDUEÑA 1,2010
[DIVADM].[NAM_SUBCIR].&[MARCELINO MARIDUEÑA 2],MARCELINO MARIDUEÑA 2,9259
[DIVADM].[NAM_SUBCIR].&[MARIA AUXILIADORA 1],MARIA AUXILIADORA 1,5897
[DIVADM].[NAM_SUBCIR].&[MARIA AUXILIADORA 2],MARIA AUXILIADORA 2,7093
[DIVADM].[NAM_SUBCIR].&[MARIA AUXILIADORA 3],MARIA AUXILIADORA 3,14848
[DIVADM].[NAM_SUBCIR].&[MARISCAL SUCRE 1],MARISCAL SUCRE 1,5862
[DIVADM].[NAM_SUBCIR].&[MARTHA DE ROLDOS 1],MARTHA DE ROLDOS 1,16428
[DIVADM].[NAM_SUBCIR].&[MARTHA DE ROLDOS 2],MARTHA DE ROLDOS 2,31875
[DIVADM].[NAM_SUBCIR].&[MARTHA DE ROLDOS 3],MARTHA DE ROLDOS 3,17415
[DIVADM].[NAM_SUBCIR].&[MARTHA DE ROLDOS 4],MARTHA DE ROLDOS 4,9352
[DIVADM].[NAM_SUBCIR].&[MARTHA DE ROLDOS 5],MARTHA DE ROLDOS 5,16204
[DIVADM].[NAM_SUBCIR].&[MARTHA DE ROLDOS 6],MARTHA DE ROLDOS 6,18243
[DIVADM].[NAM_SUBCIR].&[MARTHA DE ROLDOS 7],MARTHA DE ROLDOS 7,2606
[DIVADM].[NAM_SUBCIR].&[MARTHA DE ROLDOS 8],MARTHA DE ROLDOS 8,18084
[DIVADM].[NAM_SUBCIR].&[MATA DE CACAO 1],MATA DE CACAO 1,489
[DIVADM].[NAM_SUBCIR].&[MATA DE CACAO 2],MATA DE CACAO 2,2062
[DIVADM].[NAM_SUBCIR].&[MATA DE CACAO 3],MATA DE CACAO 3,4979
[DIVADM].[NAM_SUBCIR].&[MATA DE CACAO 4],MATA DE CACAO 4,7820
[DIVADM].[NAM_SUBCIR].&[MEJIA 1],MEJIA 1,3532
[DIVADM].[NAM_SUBCIR].&[MEMBRILLAL 1],MEMBRILLAL 1,839
[DIVADM].[NAM_SUBCIR].&[MEMBRILLO 1],MEMBRILLO 1,337
[DIVADM].[NAM_SUBCIR].&[MENA 1],MENA 1,32343
[DIVADM].[NAM_SUBCIR].&[MENA 2],MENA 2,16106
[DIVADM].[NAM_SUBCIR].&[MENA 3],MENA 3,16612
[DIVADM].[NAM_SUBCIR].&[MENA 4],MENA 4,12830
[DIVADM].[NAM_SUBCIR].&[MENA 5],MENA 5,14715
[DIVADM].[NAM_SUBCIR].&[MENA DEL HIERRO 1],MENA DEL HIERRO 1,19958
[DIVADM].[NAM_SUBCIR].&[MILTON REYES 1],MILTON REYES 1,301
[DIVADM].[NAM_SUBCIR].&[MINARICA 1],MINARICA 1,8288
[DIVADM].[NAM_SUBCIR].&[MINARICA 2],MINARICA 2,16308
[DIVADM].[NAM_SUBCIR].&[MIRA 1],MIRA 1,8124
[DIVADM].[NAM_SUBCIR].&[MIRAFLORES 1],MIRAFLORES 1,30232
[DIVADM].[NAM_SUBCIR].&[MIRAFLORES 2],MIRAFLORES 2,14070
[DIVADM].[NAM_SUBCIR].&[MISAHUALLI 1],MISAHUALLI 1,2408
[DIVADM].[NAM_SUBCIR].&[MISAHUALLI 2],MISAHUALLI 2,2895
[DIVADM].[NAM_SUBCIR].&[MOCACHE 1],MOCACHE 1,5083
[DIVADM].[NAM_SUBCIR].&[MOCACHE 2],MOCACHE 2,22082
[DIVADM].[NAM_SUBCIR].&[MOCHA 1],MOCHA 1,8137
[DIVADM].[NAM_SUBCIR].&[MOJANDA 1],MOJANDA 1,2497
[DIVADM].[NAM_SUBCIR].&[MOLINUCO 1],MOLINUCO 1,8303
[DIVADM].[NAM_SUBCIR].&[MOLINUCO 2],MOLINUCO 2,20980
[DIVADM].[NAM_SUBCIR].&[MOLLETURO 1],MOLLETURO 1,6146
[DIVADM].[NAM_SUBCIR].&[MOMPICHE 1],MOMPICHE 1,491
[DIVADM].[NAM_SUBCIR].&[MOMPICHE 2],MOMPICHE 2,641
[DIVADM].[NAM_SUBCIR].&[MONAY 1],MONAY 1,43091
[DIVADM].[NAM_SUBCIR].&[MONJAS COLLACOTO 1],MONJAS COLLACOTO 1,8997
[DIVADM].[NAM_SUBCIR].&[MONJAS COLLACOTO 2],MONJAS COLLACOTO 2,23259
[DIVADM].[NAM_SUBCIR].&[MONJAS COLLACOTO 3],MONJAS COLLACOTO 3,24581
[DIVADM].[NAM_SUBCIR].&[MONJAS COLLACOTO 4],MONJAS COLLACOTO 4,7899
[DIVADM].[NAM_SUBCIR].&[MONTALVO 1],MONTALVO 1,31355
[DIVADM].[NAM_SUBCIR].&[MONTALVO 2],MONTALVO 2,1818
[DIVADM].[NAM_SUBCIR].&[MONTALVO 3],MONTALVO 3,2636
[DIVADM].[NAM_SUBCIR].&[MONTAÑITA 1],MONTAÑITA 1,20065
[DIVADM].[NAM_SUBCIR].&[MONTE BELLO 1],MONTE BELLO 1,6719
[DIVADM].[NAM_SUBCIR].&[MONTE BELLO 2],MONTE BELLO 2,9401
[DIVADM].[NAM_SUBCIR].&[MONTE BELLO 3],MONTE BELLO 3,12736
[DIVADM].[NAM_SUBCIR].&[MONTE BELLO 4],MONTE BELLO 4,14106
[DIVADM].[NAM_SUBCIR].&[MONTE SINAI 1],MONTE SINAI 1,6805
[DIVADM].[NAM_SUBCIR].&[MONTE SINAI 2],MONTE SINAI 2,8303
[DIVADM].[NAM_SUBCIR].&[MONTE SINAI 3],MONTE SINAI 3,11327
[DIVADM].[NAM_SUBCIR].&[MONTE SINAI 4],MONTE SINAI 4,4589
[DIVADM].[NAM_SUBCIR].&[MONTE SINAI 5],MONTE SINAI 5,6230
[DIVADM].[NAM_SUBCIR].&[MONTE SINAI 6],MONTE SINAI 6,28381
[DIVADM].[NAM_SUBCIR].&[MONTE SINAI 7],MONTE SINAI 7,5852
[DIVADM].[NAM_SUBCIR].&[MONTE SINAI 8],MONTE SINAI 8,7048
[DIVADM].[NAM_SUBCIR].&[MONTECRISTI 1],MONTECRISTI 1,10461
[DIVADM].[NAM_SUBCIR].&[MONTECRISTI 2],MONTECRISTI 2,17753
[DIVADM].[NAM_SUBCIR].&[MONTERREY 1],MONTERREY 1,5264
[DIVADM].[NAM_SUBCIR].&[MONTERREY 2],MONTERREY 2,2687
[DIVADM].[NAM_SUBCIR].&[MONUMENTOS 1],MONUMENTOS 1,6590
[DIVADM].[NAM_SUBCIR].&[MORALES 1],MORALES 1,441
[DIVADM].[NAM_SUBCIR].&[MORASPUNGO 1],MORASPUNGO 1,6246
[DIVADM].[NAM_SUBCIR].&[MOROMORO 1],MOROMORO 1,1067
[DIVADM].[NAM_SUBCIR].&[MORRO 1],MORRO 1,5153
[DIVADM].[NAM_SUBCIR].&[MUCHO LOTE 1],MUCHO LOTE 1,27651
[DIVADM].[NAM_SUBCIR].&[MUCHO LOTE 2],MUCHO LOTE 2,33992
[DIVADM].[NAM_SUBCIR].&[MUISNE 1],MUISNE 1,10611
[DIVADM].[NAM_SUBCIR].&[MUISNE 2],MUISNE 2,1642
[DIVADM].[NAM_SUBCIR].&[MUISNE 3],MUISNE 3,3461
[DIVADM].[NAM_SUBCIR].&[MULALILLO 1],MULALILLO 1,3749
[DIVADM].[NAM_SUBCIR].&[MULALILLO 2],MULALILLO 2,9640
[DIVADM].[NAM_SUBCIR].&[MULALO 1],MULALO 1,9513
[DIVADM].[NAM_SUBCIR].&[MURCIELAGO 1],MURCIELAGO 1,18181
[DIVADM].[NAM_SUBCIR].&[MURCIELAGO 2],MURCIELAGO 2,11881
[DIVADM].[NAM_SUBCIR].&[NABON 1],NABON 1,7977
[DIVADM].[NAM_SUBCIR].&[NAMBACOLA 1],NAMBACOLA 1,1981
[DIVADM].[NAM_SUBCIR].&[NAMBACOLA 2],NAMBACOLA 2,606
[DIVADM].[NAM_SUBCIR].&[NAMBIJA 1],NAMBIJA 1,4856
[DIVADM].[NAM_SUBCIR].&[NAMBIJA 2],NAMBIJA 2,2754
[DIVADM].[NAM_SUBCIR].&[NANEGAL 1],NANEGAL 1,1374
[DIVADM].[NAM_SUBCIR].&[NANEGALITO 1],NANEGALITO 1,8135
[DIVADM].[NAM_SUBCIR].&[NARANCAY 1],NARANCAY 1,40797
[DIVADM].[NAM_SUBCIR].&[NARANJAL CENTRO 1],NARANJAL CENTRO 1,21228
[DIVADM].[NAM_SUBCIR].&[NARANJAL SUR 1],NARANJAL SUR 1,35035
[DIVADM].[NAM_SUBCIR].&[NARANJAL SUR 2],NARANJAL SUR 2,998
[DIVADM].[NAM_SUBCIR].&[NARANJITO CENTRO 1],NARANJITO CENTRO 1,9159
[DIVADM].[NAM_SUBCIR].&[NARANJITO ESTE 1],NARANJITO ESTE 1,3468
[DIVADM].[NAM_SUBCIR].&[NARANJITO ESTE 2],NARANJITO ESTE 2,15092
[DIVADM].[NAM_SUBCIR].&[NARANJITO SUR 1],NARANJITO SUR 1,19030
[DIVADM].[NAM_SUBCIR].&[NAYON 1],NAYON 1,14234
[DIVADM].[NAM_SUBCIR].&[NAYON 2],NAYON 2,7354
[DIVADM].[NAM_SUBCIR].&[NAZON 1],NAZON 1,1025
[DIVADM].[NAM_SUBCIR].&[NOBOA 1],NOBOA 1,727
[DIVADM].[NAM_SUBCIR].&[NOBOL 1],NOBOL 1,11591
[DIVADM].[NAM_SUBCIR].&[NOBOL 2],NOBOL 2,18188
[DIVADM].[NAM_SUBCIR].&[NONO 1],NONO 1,3825
[DIVADM].[NAM_SUBCIR].&[NUEVA AMBATO 1],NUEVA AMBATO 1,25161
[DIVADM].[NAM_SUBCIR].&[NUEVA AMBATO 2],NUEVA AMBATO 2,33447
[DIVADM].[NAM_SUBCIR].&[NUEVA PROSPERINA 1],NUEVA PROSPERINA 1,18918
[DIVADM].[NAM_SUBCIR].&[NUEVA PROSPERINA 2],NUEVA PROSPERINA 2,29182
[DIVADM].[NAM_SUBCIR].&[NUEVA PROSPERINA 3],NUEVA PROSPERINA 3,27294
[DIVADM].[NAM_SUBCIR].&[NUEVA VIDA 1],NUEVA VIDA 1,35499
[DIVADM].[NAM_SUBCIR].&[NUEVO GUAYAQUIL 1],NUEVO GUAYAQUIL 1,6228
[DIVADM].[NAM_SUBCIR].&[NUEVO GUAYAQUIL 2],NUEVO GUAYAQUIL 2,5467
[DIVADM].[NAM_SUBCIR].&[NUEVO GUAYAQUIL 3],NUEVO GUAYAQUIL 3,5322
[DIVADM].[NAM_SUBCIR].&[NUEVO GUAYAQUIL 4],NUEVO GUAYAQUIL 4,2331
[DIVADM].[NAM_SUBCIR].&[NUEVO ISRAEL 1],NUEVO ISRAEL 1,10923
[DIVADM].[NAM_SUBCIR].&[NUEVO PARAISO 1],NUEVO PARAISO 1,1152
[DIVADM].[NAM_SUBCIR].&[NUEVO PARAISO 2],NUEVO PARAISO 2,2058
[DIVADM].[NAM_SUBCIR].&[NUEVO PASAISO 1],NUEVO PASAISO 1,196
[DIVADM].[NAM_SUBCIR].&[NUEVO PILO 1],NUEVO PILO 1,23733
[DIVADM].[NAM_SUBCIR].&[NUEVO PORTOVIEJO 1],NUEVO PORTOVIEJO 1,14707
[DIVADM].[NAM_SUBCIR].&[NUEVO PORTOVIEJO 2],NUEVO PORTOVIEJO 2,8823
[DIVADM].[NAM_SUBCIR].&[NUEVO QUITO 1],NUEVO QUITO 1,178
[DIVADM].[NAM_SUBCIR].&[NUEVO ROCAFUERTE 1],NUEVO ROCAFUERTE 1,500
[DIVADM].[NAM_SUBCIR].&[NUEVO SUCUMBIOS 1],NUEVO SUCUMBIOS 1,48575
[DIVADM].[NAM_SUBCIR].&[NUEVO SUCUMBIOS 2],NUEVO SUCUMBIOS 2,2204
[DIVADM].[NAM_SUBCIR].&[OCHOA LEON 1],OCHOA LEON 1,29578
[DIVADM].[NAM_SUBCIR].&[OCHOA LEON 2],OCHOA LEON 2,8248
[DIVADM].[NAM_SUBCIR].&[OCTAVIO CORDERO 1],OCTAVIO CORDERO 1,3796
[DIVADM].[NAM_SUBCIR].&[OLIMPICO 1],OLIMPICO 1,29439
[DIVADM].[NAM_SUBCIR].&[OLMEDO 1],OLMEDO 1,5618
[DIVADM].[NAM_SUBCIR].&[OLON 1],OLON 1,7990
[DIVADM].[NAM_SUBCIR].&[ONA 1],ONA 1,3269
[DIVADM].[NAM_SUBCIR].&[ORIANGA 1],ORIANGA 1,354
[DIVADM].[NAM_SUBCIR].&[ORQUIDEAS 1],ORQUIDEAS 1,15382
[DIVADM].[NAM_SUBCIR].&[ORQUIDEAS 2],ORQUIDEAS 2,20501
[DIVADM].[NAM_SUBCIR].&[ORQUIDEAS 3],ORQUIDEAS 3,14326
[DIVADM].[NAM_SUBCIR].&[ORQUIDEAS 4],ORQUIDEAS 4,5869
[DIVADM].[NAM_SUBCIR].&[ORQUIDEAS 5],ORQUIDEAS 5,18589
[DIVADM].[NAM_SUBCIR].&[ORQUIDEAS 6],ORQUIDEAS 6,8722
[DIVADM].[NAM_SUBCIR].&[ORQUIDEAS 7],ORQUIDEAS 7,12937
[DIVADM].[NAM_SUBCIR].&[OYACACHI 1],OYACACHI 1,62
[DIVADM].[NAM_SUBCIR].&[OYACOTO 1],OYACOTO 1,10933
[DIVADM].[NAM_SUBCIR].&[PABLO SEXTO 1],PABLO SEXTO 1,4527
[DIVADM].[NAM_SUBCIR].&[PACAYACU 1],PACAYACU 1,2555
[DIVADM].[NAM_SUBCIR].&[PACAYACU 2],PACAYACU 2,5228
[DIVADM].[NAM_SUBCIR].&[PACCHA Y NULTI 1],PACCHA Y NULTI 1,15845
[DIVADM].[NAM_SUBCIR].&[PACHA 1],PACHA 1,3611
[DIVADM].[NAM_SUBCIR].&[PACHA 2],PACHA 2,1278
[DIVADM].[NAM_SUBCIR].&[PACTO 1],PACTO 1,2143
[DIVADM].[NAM_SUBCIR].&[PACTO 2],PACTO 2,38
[DIVADM].[NAM_SUBCIR].&[PAEZ 1],PAEZ 1,38505
[DIVADM].[NAM_SUBCIR].&[PALALACHE 1],PALALACHE 1,1603
[DIVADM].[NAM_SUBCIR].&[PALANDA 1],PALANDA 1,6088
[DIVADM].[NAM_SUBCIR].&[PALANDACOCHA 1],PALANDACOCHA 1,21942
[DIVADM].[NAM_SUBCIR].&[PALANDACOCHA 2],PALANDACOCHA 2,15221
[DIVADM].[NAM_SUBCIR].&[PALANQUITA 1],PALANQUITA 1,834
[DIVADM].[NAM_SUBCIR].&[PALENQUE 1],PALENQUE 1,7731
[DIVADM].[NAM_SUBCIR].&[PALESTINA 1],PALESTINA 1,8874
[DIVADM].[NAM_SUBCIR].&[PALESTINA 2],PALESTINA 2,12035
[DIVADM].[NAM_SUBCIR].&[PALESTINA 3],PALESTINA 3,175
[DIVADM].[NAM_SUBCIR].&[PALESTINA RURAL 1],PALESTINA RURAL 1,233
[DIVADM].[NAM_SUBCIR].&[PALETILLAS 1],PALETILLAS 1,596
[DIVADM].[NAM_SUBCIR].&[PALLATANGA 1],PALLATANGA 1,11062
[DIVADM].[NAM_SUBCIR].&[PALMA LOMA 1],PALMA LOMA 1,1198
[DIVADM].[NAM_SUBCIR].&[PALMA ROJA 1],PALMA ROJA 1,4792
[DIVADM].[NAM_SUBCIR].&[PALMALES 1],PALMALES 1,1937
[DIVADM].[NAM_SUBCIR].&[PALMAR 1],PALMAR 1,4956
[DIVADM].[NAM_SUBCIR].&[PALMIRA 1],PALMIRA 1,2920
[DIVADM].[NAM_SUBCIR].&[PALORA 1],PALORA 1,12751
[DIVADM].[NAM_SUBCIR].&[PANANZA 1],PANANZA 1,360
[DIVADM].[NAM_SUBCIR].&[PANECILLO 1],PANECILLO 1,35327
[DIVADM].[NAM_SUBCIR].&[PANECILLO 2],PANECILLO 2,16533
[DIVADM].[NAM_SUBCIR].&[PANECILLO 3],PANECILLO 3,20742
[DIVADM].[NAM_SUBCIR].&[PANECILLO 4],PANECILLO 4,6422
[DIVADM].[NAM_SUBCIR].&[PANECILLO 5],PANECILLO 5,13376
