[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[PANGOR 1],PANGOR 1,950
[DIVADM].[NAM_SUBCIR].&[PANGUI 1],PANGUI 1,13659
[DIVADM].[NAM_SUBCIR].&[PANGUI 2],PANGUI 2,1200
[DIVADM].[NAM_SUBCIR].&[PANORAMA 1],PANORAMA 1,30569
[DIVADM].[NAM_SUBCIR].&[PANORAMA 2],PANORAMA 2,23162
[DIVADM].[NAM_SUBCIR].&[PAÑACOCHA 1],PAÑACOCHA 1,76
[DIVADM].[NAM_SUBCIR].&[PAPALLACTA 1],PAPALLACTA 1,3548
[DIVADM].[NAM_SUBCIR].&[PAQUISHA 1],PAQUISHA 1,5326
[DIVADM].[NAM_SUBCIR].&[PARAISO LA FLOR 1],PARAISO LA FLOR 1,12596
[DIVADM].[NAM_SUBCIR].&[PARAISO LA FLOR 2],PARAISO LA FLOR 2,6049
[DIVADM].[NAM_SUBCIR].&[PARAISO LA FLOR 3],PARAISO LA FLOR 3,11413
[DIVADM].[NAM_SUBCIR].&[PARAISO LA FLOR 4],PARAISO LA FLOR 4,7542
[DIVADM].[NAM_SUBCIR].&[PARQUE CENTRAL 1],PARQUE CENTRAL 1,9031
[DIVADM].[NAM_SUBCIR].&[PARQUE DEL 8 1],PARQUE DEL 8 1,16411
[DIVADM].[NAM_SUBCIR].&[PARQUE ECOLOGICO 1],PARQUE ECOLOGICO 1,41927
[DIVADM].[NAM_SUBCIR].&[PARQUE ECOLOGICO 2],PARQUE ECOLOGICO 2,16168
[DIVADM].[NAM_SUBCIR].&[PARQUE LINEAL 1],PARQUE LINEAL 1,13387
[DIVADM].[NAM_SUBCIR].&[PASA 1],PASA 1,4555
[DIVADM].[NAM_SUBCIR].&[PASCUALES 1],PASCUALES 1,10124
[DIVADM].[NAM_SUBCIR].&[PASCUALES 2],PASCUALES 2,16944
[DIVADM].[NAM_SUBCIR].&[PASCUALES 3],PASCUALES 3,12933
[DIVADM].[NAM_SUBCIR].&[PASCUALES 4],PASCUALES 4,15003
[DIVADM].[NAM_SUBCIR].&[PASOCHOA 1],PASOCHOA 1,23277
[DIVADM].[NAM_SUBCIR].&[PASOCHOA 2],PASOCHOA 2,8100
[DIVADM].[NAM_SUBCIR].&[PASTO CALLE 1],PASTO CALLE 1,10425
[DIVADM].[NAM_SUBCIR].&[PATAQUI 1],PATAQUI 1,78
[DIVADM].[NAM_SUBCIR].&[PATATE 1],PATATE 1,10515
[DIVADM].[NAM_SUBCIR].&[PATATE 2],PATATE 2,368
[DIVADM].[NAM_SUBCIR].&[PATATE 3],PATATE 3,1459
[DIVADM].[NAM_SUBCIR].&[PATRICIA PILAR 1],PATRICIA PILAR 1,12283
[DIVADM].[NAM_SUBCIR].&[PATRICIA PILAR 2],PATRICIA PILAR 2,3503
[DIVADM].[NAM_SUBCIR].&[PATUCA 1],PATUCA 1,2755
[DIVADM].[NAM_SUBCIR].&[PAUTE 1],PAUTE 1,15953
[DIVADM].[NAM_SUBCIR].&[PAUTE 2],PAUTE 2,7919
[DIVADM].[NAM_SUBCIR].&[PAYAMINO 1],PAYAMINO 1,403
[DIVADM].[NAM_SUBCIR].&[PEDERNALES NORTE 1],PEDERNALES NORTE 1,14234
[DIVADM].[NAM_SUBCIR].&[PEDERNALES SUR 1],PEDERNALES SUR 1,22843
[DIVADM].[NAM_SUBCIR].&[PEDRO CARBO 1],PEDRO CARBO 1,12545
[DIVADM].[NAM_SUBCIR].&[PEDRO CARBO 2],PEDRO CARBO 2,4646
[DIVADM].[NAM_SUBCIR].&[PEDRO PABLO GOMEZ 1],PEDRO PABLO GOMEZ 1,738
[DIVADM].[NAM_SUBCIR].&[PELILEO GRANDE 1],PELILEO GRANDE 1,11472
[DIVADM].[NAM_SUBCIR].&[PELILEO SUR 1],PELILEO SUR 1,18135
[DIVADM].[NAM_SUBCIR].&[PENIPE 1],PENIPE 1,6142
[DIVADM].[NAM_SUBCIR].&[PERUCHO 1],PERUCHO 1,307
[DIVADM].[NAM_SUBCIR].&[PERUCHO 2],PERUCHO 2,218
[DIVADM].[NAM_SUBCIR].&[PERUCHO 3],PERUCHO 3,1048
[DIVADM].[NAM_SUBCIR].&[PICAIHUA 1],PICAIHUA 1,13345
[DIVADM].[NAM_SUBCIR].&[PICAIHUA 2],PICAIHUA 2,11599
[DIVADM].[NAM_SUBCIR].&[PICHINCHA 1],PICHINCHA 1,4357
[DIVADM].[NAM_SUBCIR].&[PICHINCHA 2],PICHINCHA 2,457
[DIVADM].[NAM_SUBCIR].&[PICOAZA 1],PICOAZA 1,370
[DIVADM].[NAM_SUBCIR].&[PICOAZA 2],PICOAZA 2,15350
[DIVADM].[NAM_SUBCIR].&[PIFO 1],PIFO 1,878
[DIVADM].[NAM_SUBCIR].&[PIFO 2],PIFO 2,33854
[DIVADM].[NAM_SUBCIR].&[PIJULLO 1],PIJULLO 1,2633
[DIVADM].[NAM_SUBCIR].&[PILAHUIN 1],PILAHUIN 1,4715
[DIVADM].[NAM_SUBCIR].&[PILAHUIN 2],PILAHUIN 2,4165
[DIVADM].[NAM_SUBCIR].&[PILALO 1],PILALO 1,947
[DIVADM].[NAM_SUBCIR].&[PILLARO 1],PILLARO 1,6742
[DIVADM].[NAM_SUBCIR].&[PILLARO 2],PILLARO 2,20047
[DIVADM].[NAM_SUBCIR].&[PILLONPATA 1],PILLONPATA 1,87
[DIVADM].[NAM_SUBCIR].&[PIMAMPIRO 1],PIMAMPIRO 1,16934
[DIVADM].[NAM_SUBCIR].&[PIMOCHA 1],PIMOCHA 1,7841
[DIVADM].[NAM_SUBCIR].&[PIMOCHA 2],PIMOCHA 2,5913
[DIVADM].[NAM_SUBCIR].&[PINDAL 1],PINDAL 1,4489
[DIVADM].[NAM_SUBCIR].&[PINTAG 1],PINTAG 1,2003
[DIVADM].[NAM_SUBCIR].&[PINTAG 2],PINTAG 2,15123
[DIVADM].[NAM_SUBCIR].&[PINZON 1],PINZON 1,3104
[DIVADM].[NAM_SUBCIR].&[PISHIDATA 1],PISHIDATA 1,8793
[DIVADM].[NAM_SUBCIR].&[PLAN DE VIVIENDA 1],PLAN DE VIVIENDA 1,12946
[DIVADM].[NAM_SUBCIR].&[PLAN DE VIVIENDA 2],PLAN DE VIVIENDA 2,23413
[DIVADM].[NAM_SUBCIR].&[PLAN DE VIVIENDA 3],PLAN DE VIVIENDA 3,133
[DIVADM].[NAM_SUBCIR].&[PLAN PILOTO 1],PLAN PILOTO 1,3227
[DIVADM].[NAM_SUBCIR].&[PLAYAS 1],PLAYAS 1,33153
[DIVADM].[NAM_SUBCIR].&[PLAYAS 2],PLAYAS 2,9403
[DIVADM].[NAM_SUBCIR].&[POALO 1],POALO 1,7010
[DIVADM].[NAM_SUBCIR].&[POLITECNICA 1],POLITECNICA 1,47124
[DIVADM].[NAM_SUBCIR].&[POLITECNICA 2],POLITECNICA 2,37386
[DIVADM].[NAM_SUBCIR].&[POLITECNICA 3],POLITECNICA 3,30806
[DIVADM].[NAM_SUBCIR].&[POMASQUI 1],POMASQUI 1,33211
[DIVADM].[NAM_SUBCIR].&[POMASQUI 2],POMASQUI 2,3983
[DIVADM].[NAM_SUBCIR].&[POMASQUI 3],POMASQUI 3,9619
[DIVADM].[NAM_SUBCIR].&[POMPEYA 1],POMPEYA 1,902
[DIVADM].[NAM_SUBCIR].&[PONCIANO 1],PONCIANO 1,38560
[DIVADM].[NAM_SUBCIR].&[PONCIANO 2],PONCIANO 2,11804
[DIVADM].[NAM_SUBCIR].&[PONCIANO 3],PONCIANO 3,15980
[DIVADM].[NAM_SUBCIR].&[PORTETE 1],PORTETE 1,21760
[DIVADM].[NAM_SUBCIR].&[PORTETE 2],PORTETE 2,32587
[DIVADM].[NAM_SUBCIR].&[PORTETE 3],PORTETE 3,33121
[DIVADM].[NAM_SUBCIR].&[PORTETE 4],PORTETE 4,59195
[DIVADM].[NAM_SUBCIR].&[PORTOVELO 1],PORTOVELO 1,18245
[DIVADM].[NAM_SUBCIR].&[PORTOVIEJO 1],PORTOVIEJO 1,20650
[DIVADM].[NAM_SUBCIR].&[PORTOVIEJO 2],PORTOVIEJO 2,30694
[DIVADM].[NAM_SUBCIR].&[PORTOVIEJO 3],PORTOVIEJO 3,53396
[DIVADM].[NAM_SUBCIR].&[PORVENIR 1],PORVENIR 1,1861
[DIVADM].[NAM_SUBCIR].&[PORVENIR DEL CARMEN 1],PORVENIR DEL CARMEN 1,253
[DIVADM].[NAM_SUBCIR].&[POSA DE MATE 1],POSA DE MATE 1,5301
[DIVADM].[NAM_SUBCIR].&[POSORJA 1],POSORJA 1,22215
[DIVADM].[NAM_SUBCIR].&[PRIVILEGIO 1],PRIVILEGIO 1,15774
[DIVADM].[NAM_SUBCIR].&[PROGRESO 1],PROGRESO 1,64809
[DIVADM].[NAM_SUBCIR].&[PROPICIA 1],PROPICIA 1,17935
[DIVADM].[NAM_SUBCIR].&[PUCARA 1],PUCARA 1,25592
[DIVADM].[NAM_SUBCIR].&[PUCARA 2],PUCARA 2,17663
[DIVADM].[NAM_SUBCIR].&[PUEBLO NUEVO 1],PUEBLO NUEVO 1,6345
[DIVADM].[NAM_SUBCIR].&[PUEBLO NUEVO 2],PUEBLO NUEVO 2,1150
[DIVADM].[NAM_SUBCIR].&[PUEBLO VIEJO 1],PUEBLO VIEJO 1,25046
[DIVADM].[NAM_SUBCIR].&[PUELLARO 1],PUELLARO 1,1771
[DIVADM].[NAM_SUBCIR].&[PUEMBO 1],PUEMBO 1,24450
[DIVADM].[NAM_SUBCIR].&[PUENGASI 1],PUENGASI 1,13967
[DIVADM].[NAM_SUBCIR].&[PUENGASI 2],PUENGASI 2,3926
[DIVADM].[NAM_SUBCIR].&[PUENGASI 3],PUENGASI 3,8967
[DIVADM].[NAM_SUBCIR].&[PUENGASI 4],PUENGASI 4,10732
[DIVADM].[NAM_SUBCIR].&[PUENTE LUCIA 1],PUENTE LUCIA 1,4211
[DIVADM].[NAM_SUBCIR].&[PUENTE LUCIA 2],PUENTE LUCIA 2,5491
[DIVADM].[NAM_SUBCIR].&[PUERTA NEGRA 1],PUERTA NEGRA 1,4333
[DIVADM].[NAM_SUBCIR].&[PUERTO AGUAJE 1],PUERTO AGUAJE 1,19198
[DIVADM].[NAM_SUBCIR].&[PUERTO AGUAJE 2],PUERTO AGUAJE 2,4333
[DIVADM].[NAM_SUBCIR].&[PUERTO AYORA 1],PUERTO AYORA 1,26586
[DIVADM].[NAM_SUBCIR].&[PUERTO BOLIVAR 1],PUERTO BOLIVAR 1,14357
[DIVADM].[NAM_SUBCIR].&[PUERTO BOLIVAR 2],PUERTO BOLIVAR 2,6621
[DIVADM].[NAM_SUBCIR].&[PUERTO CAYO 1],PUERTO CAYO 1,2990
[DIVADM].[NAM_SUBCIR].&[PUERTO DEL CARMEN 1],PUERTO DEL CARMEN 1,8151
[DIVADM].[NAM_SUBCIR].&[PUERTO DEL CARMEN 2],PUERTO DEL CARMEN 2,16
[DIVADM].[NAM_SUBCIR].&[PUERTO DEL MONO 1],PUERTO DEL MONO 1,2654
[DIVADM].[NAM_SUBCIR].&[PUERTO HONDO 1],PUERTO HONDO 1,7145
[DIVADM].[NAM_SUBCIR].&[PUERTO HONDO 2],PUERTO HONDO 2,10371
[DIVADM].[NAM_SUBCIR].&[PUERTO HONDO 3],PUERTO HONDO 3,6318
[DIVADM].[NAM_SUBCIR].&[PUERTO INCA 1],PUERTO INCA 1,7579
[DIVADM].[NAM_SUBCIR].&[PUERTO LAGO 1],PUERTO LAGO 1,4084
[DIVADM].[NAM_SUBCIR].&[PUERTO LIMON 1],PUERTO LIMON 1,7704
[DIVADM].[NAM_SUBCIR].&[PUERTO LOPEZ 1],PUERTO LOPEZ 1,11728
[DIVADM].[NAM_SUBCIR].&[PUERTO PECHICHE 1],PUERTO PECHICHE 1,2045
[DIVADM].[NAM_SUBCIR].&[PUERTO QUITO NORTE 1],PUERTO QUITO NORTE 1,7666
[DIVADM].[NAM_SUBCIR].&[PUERTO QUITO NORTE 2],PUERTO QUITO NORTE 2,671
[DIVADM].[NAM_SUBCIR].&[PUERTO QUITO SUR 1],PUERTO QUITO SUR 1,1883
[DIVADM].[NAM_SUBCIR].&[PUERTO QUITO SUR 2],PUERTO QUITO SUR 2,1991
[DIVADM].[NAM_SUBCIR].&[PUERTO RODRIGUEZ 1],PUERTO RODRIGUEZ 1,24
[DIVADM].[NAM_SUBCIR].&[PUJILI 1],PUJILI 1,31280
[DIVADM].[NAM_SUBCIR].&[PUMPULA 1],PUMPULA 1,1832
[DIVADM].[NAM_SUBCIR].&[PUNA 1],PUNA 1,3513
[DIVADM].[NAM_SUBCIR].&[PUNA 2],PUNA 2,145
[DIVADM].[NAM_SUBCIR].&[PUNA 3],PUNA 3,626
[DIVADM].[NAM_SUBCIR].&[PUNA 4],PUNA 4,126
[DIVADM].[NAM_SUBCIR].&[PUNIN 1],PUNIN 1,2393
[DIVADM].[NAM_SUBCIR].&[PUYO NORTE 1],PUYO NORTE 1,24918
[DIVADM].[NAM_SUBCIR].&[PUYO NORTE 2],PUYO NORTE 2,26509
[DIVADM].[NAM_SUBCIR].&[PUYO SUR 1],PUYO SUR 1,10784
[DIVADM].[NAM_SUBCIR].&[PUYO SUR 2],PUYO SUR 2,42404
[DIVADM].[NAM_SUBCIR].&[PUYO SUR 3],PUYO SUR 3,12119
[DIVADM].[NAM_SUBCIR].&[QUERO 1],QUERO 1,10821
[DIVADM].[NAM_SUBCIR].&[QUICHINCHE 1],QUICHINCHE 1,4589
[DIVADM].[NAM_SUBCIR].&[QUIMIAG 1],QUIMIAG 1,3884
[DIVADM].[NAM_SUBCIR].&[QUINCHE 1],QUINCHE 1,1009
[DIVADM].[NAM_SUBCIR].&[QUINCHE 2],QUINCHE 2,25660
[DIVADM].[NAM_SUBCIR].&[QUINDIGUA BAJO 1],QUINDIGUA BAJO 1,1808
[DIVADM].[NAM_SUBCIR].&[QUINGEO 1],QUINGEO 1,3958
[DIVADM].[NAM_SUBCIR].&[QUININDE 1],QUININDE 1,1355
[DIVADM].[NAM_SUBCIR].&[QUININDE 2],QUININDE 2,1817
[DIVADM].[NAM_SUBCIR].&[QUINSALOMA 1],QUINSALOMA 1,14313
[DIVADM].[NAM_SUBCIR].&[QUINTA CHICA 1],QUINTA CHICA 1,20497
[DIVADM].[NAM_SUBCIR].&[QUIROGA 1],QUIROGA 1,6509
[DIVADM].[NAM_SUBCIR].&[QUISAPINCHA 1],QUISAPINCHA 1,3581
[DIVADM].[NAM_SUBCIR].&[QUITUMBE 1],QUITUMBE 1,18645
[DIVADM].[NAM_SUBCIR].&[QUITUMBE 2],QUITUMBE 2,7135
[DIVADM].[NAM_SUBCIR].&[QUITUMBE 3],QUITUMBE 3,17232
[DIVADM].[NAM_SUBCIR].&[QUITUMBE 4],QUITUMBE 4,16666
[DIVADM].[NAM_SUBCIR].&[RAMON CAMPAÐA 1],RAMON CAMPAÐA 1,290
[DIVADM].[NAM_SUBCIR].&[RANCHO VIEJO 1],RANCHO VIEJO 1,7931
[DIVADM].[NAM_SUBCIR].&[RAYITO DE LUZ 1],RAYITO DE LUZ 1,12308
[DIVADM].[NAM_SUBCIR].&[RAYITO DE LUZ 2],RAYITO DE LUZ 2,12346
[DIVADM].[NAM_SUBCIR].&[RECREO 1],RECREO 1,11299
[DIVADM].[NAM_SUBCIR].&[RECREO 2],RECREO 2,14332
[DIVADM].[NAM_SUBCIR].&[RECREO 3],RECREO 3,11758
[DIVADM].[NAM_SUBCIR].&[RECREO 4],RECREO 4,11962
[DIVADM].[NAM_SUBCIR].&[RECREO 5],RECREO 5,17031
[DIVADM].[NAM_SUBCIR].&[RECREO 6],RECREO 6,12486
[DIVADM].[NAM_SUBCIR].&[RECREO 7],RECREO 7,3982
[DIVADM].[NAM_SUBCIR].&[RECREO 8],RECREO 8,13726
[DIVADM].[NAM_SUBCIR].&[REMIGIO CRESPO 1],REMIGIO CRESPO 1,4892
[DIVADM].[NAM_SUBCIR].&[RICAURTE 1],RICAURTE 1,24024
[DIVADM].[NAM_SUBCIR].&[RICAURTE 2],RICAURTE 2,29427
[DIVADM].[NAM_SUBCIR].&[RIO BLANCO 1],RIO BLANCO 1,4539
[DIVADM].[NAM_SUBCIR].&[RIO BONITO 1],RIO BONITO 1,8801
[DIVADM].[NAM_SUBCIR].&[RIO CORRIENTES 1],RIO CORRIENTES 1,15
[DIVADM].[NAM_SUBCIR].&[RIO DE CAÑA 1],RIO DE CAÑA 1,2402
[DIVADM].[NAM_SUBCIR].&[RIO NAPO 1],RIO NAPO 1,38
[DIVADM].[NAM_SUBCIR].&[RIO NEGRO 1],RIO NEGRO 1,3774
[DIVADM].[NAM_SUBCIR].&[RIO TIGRE 1],RIO TIGRE 1,75
[DIVADM].[NAM_SUBCIR].&[RIO VENDIDO 1],RIO VENDIDO 1,46
[DIVADM].[NAM_SUBCIR].&[ROBERTO ASTUDILLO 1],ROBERTO ASTUDILLO 1,6355
[DIVADM].[NAM_SUBCIR].&[ROCAFUERTE 1],ROCAFUERTE 1,54091
[DIVADM].[NAM_SUBCIR].&[ROCAFUERTE 2],ROCAFUERTE 2,17396
[DIVADM].[NAM_SUBCIR].&[ROSA PAREDES 1],ROSA PAREDES 1,10094
[DIVADM].[NAM_SUBCIR].&[ROSA ZARATE 1],ROSA ZARATE 1,44129
[DIVADM].[NAM_SUBCIR].&[ROSA ZARATE 2],ROSA ZARATE 2,1544
[DIVADM].[NAM_SUBCIR].&[RUMIÑAHUI 1],RUMIÑAHUI 1,20242
[DIVADM].[NAM_SUBCIR].&[RUMIÑAHUI 2],RUMIÑAHUI 2,9285
[DIVADM].[NAM_SUBCIR].&[RUMIPAMBA 1],RUMIPAMBA 1,2286
[DIVADM].[NAM_SUBCIR].&[RURAL 1],RURAL 1,381
[DIVADM].[NAM_SUBCIR].&[RURAL 2],RURAL 2,8528
[DIVADM].[NAM_SUBCIR].&[SABANA 1],SABANA 1,16547
[DIVADM].[NAM_SUBCIR].&[SABANA 2],SABANA 2,14308
[DIVADM].[NAM_SUBCIR].&[SABANILLA 1],SABANILLA 1,7304
[DIVADM].[NAM_SUBCIR].&[SABANILLA 2],SABANILLA 2,1069
[DIVADM].[NAM_SUBCIR].&[SACHAS 1],SACHAS 1,11639
[DIVADM].[NAM_SUBCIR].&[SACHAS 2],SACHAS 2,10650
[DIVADM].[NAM_SUBCIR].&[SAGRARIO 1],SAGRARIO 1,47694
[DIVADM].[NAM_SUBCIR].&[SALASACA 1],SALASACA 1,4940
[DIVADM].[NAM_SUBCIR].&[SALASACA 2],SALASACA 2,2441
[DIVADM].[NAM_SUBCIR].&[SALATI 1],SALATI 1,409
[DIVADM].[NAM_SUBCIR].&[SALCEDO 1],SALCEDO 1,17872
[DIVADM].[NAM_SUBCIR].&[SALCEDO 2],SALCEDO 2,27787
[DIVADM].[NAM_SUBCIR].&[SALCEDO 3],SALCEDO 3,986
[DIVADM].[NAM_SUBCIR].&[SALINAS 1],SALINAS 1,31819
[DIVADM].[NAM_SUBCIR].&[SALINAS 2],SALINAS 2,27367
[DIVADM].[NAM_SUBCIR].&[SALINAS 3],SALINAS 3,29022
[DIVADM].[NAM_SUBCIR].&[SALINAS 4],SALINAS 4,40136
[DIVADM].[NAM_SUBCIR].&[SALINAS CENTRO 1],SALINAS CENTRO 1,9593
[DIVADM].[NAM_SUBCIR].&[SALINAS CENTRO 2],SALINAS CENTRO 2,23169
[DIVADM].[NAM_SUBCIR].&[SALINAS CENTRO 3],SALINAS CENTRO 3,12264
[DIVADM].[NAM_SUBCIR].&[SALITRE NORTE 1],SALITRE NORTE 1,7384
[DIVADM].[NAM_SUBCIR].&[SALITRE SAUCES 1],SALITRE SAUCES 1,7934
[DIVADM].[NAM_SUBCIR].&[SALITRE SAUCES 2],SALITRE SAUCES 2,3431
[DIVADM].[NAM_SUBCIR].&[SAMANES 1],SAMANES 1,11605
[DIVADM].[NAM_SUBCIR].&[SAMANES 2],SAMANES 2,14090
[DIVADM].[NAM_SUBCIR].&[SAMANES 3],SAMANES 3,12977
[DIVADM].[NAM_SUBCIR].&[SAMBORONDON 1],SAMBORONDON 1,39046
[DIVADM].[NAM_SUBCIR].&[SAMBORONDON 2],SAMBORONDON 2,14932
[DIVADM].[NAM_SUBCIR].&[SAMBORONDON 3],SAMBORONDON 3,17405
[DIVADM].[NAM_SUBCIR].&[SAMBORONDON 4],SAMBORONDON 4,8293
[DIVADM].[NAM_SUBCIR].&[SAMBORONDON 5],SAMBORONDON 5,17352
[DIVADM].[NAM_SUBCIR].&[SAN ALFONSO 1],SAN ALFONSO 1,18332
[DIVADM].[NAM_SUBCIR].&[SAN ALFONSO 2],SAN ALFONSO 2,17402
[DIVADM].[NAM_SUBCIR].&[SAN ANDRES 1],SAN ANDRES 1,21972
[DIVADM].[NAM_SUBCIR].&[SAN ANDRES 2],SAN ANDRES 2,7805
[DIVADM].[NAM_SUBCIR].&[SAN ANTONIO 1],SAN ANTONIO 1,30999
[DIVADM].[NAM_SUBCIR].&[SAN ANTONIO 2],SAN ANTONIO 2,13679
[DIVADM].[NAM_SUBCIR].&[SAN ANTONIO ALTO 1],SAN ANTONIO ALTO 1,11402
[DIVADM].[NAM_SUBCIR].&[SAN ANTONIO BAJO 1],SAN ANTONIO BAJO 1,53159
[DIVADM].[NAM_SUBCIR].&[SAN ANTONIO DE LAS ARADAS 1],SAN ANTONIO DE LAS ARADAS 1,4761
[DIVADM].[NAM_SUBCIR].&[SAN BARTOLOME DE PINLLO 1],SAN BARTOLOME DE PINLLO 1,2305
[DIVADM].[NAM_SUBCIR].&[SAN BARTOLOME DE PINLLO 2],SAN BARTOLOME DE PINLLO 2,12021
[DIVADM].[NAM_SUBCIR].&[SAN BLAS 1],SAN BLAS 1,35340
[DIVADM].[NAM_SUBCIR].&[SAN CARLOS 1],SAN CARLOS 1,43269
[DIVADM].[NAM_SUBCIR].&[SAN CRISTOBAL 1],SAN CRISTOBAL 1,29444
[DIVADM].[NAM_SUBCIR].&[SAN FERNANDO 1],SAN FERNANDO 1,1417
[DIVADM].[NAM_SUBCIR].&[SAN FRANCISCO 1],SAN FRANCISCO 1,8033
[DIVADM].[NAM_SUBCIR].&[SAN FRANCISCO 2],SAN FRANCISCO 2,31545
[DIVADM].[NAM_SUBCIR].&[SAN FRANCISCO 3],SAN FRANCISCO 3,4694
[DIVADM].[NAM_SUBCIR].&[SAN FRANCISCO 4],SAN FRANCISCO 4,5355
[DIVADM].[NAM_SUBCIR].&[SAN FRANCISCO 5],SAN FRANCISCO 5,12543
[DIVADM].[NAM_SUBCIR].&[SAN FRANCISCO DE BORJA 1],SAN FRANCISCO DE BORJA 1,798
[DIVADM].[NAM_SUBCIR].&[SAN FRANCISCO DE BORJA 2],SAN FRANCISCO DE BORJA 2,5992
[DIVADM].[NAM_SUBCIR].&[SAN FRANCISCO DE NOVILLO 1],SAN FRANCISCO DE NOVILLO 1,127
[DIVADM].[NAM_SUBCIR].&[SAN FRANCISCO DEL VERGEL 1],SAN FRANCISCO DEL VERGEL 1,390
[DIVADM].[NAM_SUBCIR].&[SAN GABRIEL NORTE 1],SAN GABRIEL NORTE 1,13443
[DIVADM].[NAM_SUBCIR].&[SAN GABRIEL SUR 1],SAN GABRIEL SUR 1,14419
[DIVADM].[NAM_SUBCIR].&[SAN ISIDRO 1],SAN ISIDRO 1,3829
[DIVADM].[NAM_SUBCIR].&[SAN ISIDRO DEL INCA 1],SAN ISIDRO DEL INCA 1,12591
[DIVADM].[NAM_SUBCIR].&[SAN ISIDRO DEL INCA 2],SAN ISIDRO DEL INCA 2,18545
[DIVADM].[NAM_SUBCIR].&[SAN ISIDRO DEL INCA 3],SAN ISIDRO DEL INCA 3,5949
[DIVADM].[NAM_SUBCIR].&[SAN ISIDRO DEL INCA 4],SAN ISIDRO DEL INCA 4,22790
[DIVADM].[NAM_SUBCIR].&[SAN JACINTO 1],SAN JACINTO 1,796
[DIVADM].[NAM_SUBCIR].&[SAN JACINTO DEL BUA 1],SAN JACINTO DEL BUA 1,6241
[DIVADM].[NAM_SUBCIR].&[SAN JOAQUIN 1],SAN JOAQUIN 1,10893
[DIVADM].[NAM_SUBCIR].&[SAN JOSE 1],SAN JOSE 1,2116
[DIVADM].[NAM_SUBCIR].&[SAN JOSE DE JUJAN 1],SAN JOSE DE JUJAN 1,6149
[DIVADM].[NAM_SUBCIR].&[SAN JOSE DE MINAS OCCIDENTE 1],SAN JOSE DE MINAS OCCIDENTE 1,49
[DIVADM].[NAM_SUBCIR].&[SAN JOSE DE MINAS ORIENTE 1],SAN JOSE DE MINAS ORIENTE 1,2000
[DIVADM].[NAM_SUBCIR].&[SAN JOSE DEL TAMBO 1],SAN JOSE DEL TAMBO 1,5277
[DIVADM].[NAM_SUBCIR].&[SAN JUAN 1],SAN JUAN 1,95324
[DIVADM].[NAM_SUBCIR].&[SAN JUAN 2],SAN JUAN 2,28504
[DIVADM].[NAM_SUBCIR].&[SAN JUAN 3],SAN JUAN 3,9976
[DIVADM].[NAM_SUBCIR].&[SAN JUAN 4],SAN JUAN 4,28512
[DIVADM].[NAM_SUBCIR].&[SAN JUAN BOSCO 1],SAN JUAN BOSCO 1,1851
[DIVADM].[NAM_SUBCIR].&[SAN JUAN DE CALDERON 1],SAN JUAN DE CALDERON 1,23455
[DIVADM].[NAM_SUBCIR].&[SAN JUAN DE CALDERON 2],SAN JUAN DE CALDERON 2,78908
[DIVADM].[NAM_SUBCIR].&[SAN LORENZO 1],SAN LORENZO 1,8192
[DIVADM].[NAM_SUBCIR].&[SAN LORENZO 2],SAN LORENZO 2,6991
[DIVADM].[NAM_SUBCIR].&[SAN LUCAS 1],SAN LUCAS 1,2869
[DIVADM].[NAM_SUBCIR].&[SAN LUIS 1],SAN LUIS 1,42842
[DIVADM].[NAM_SUBCIR].&[SAN LUIS 2],SAN LUIS 2,15543
[DIVADM].[NAM_SUBCIR].&[SAN LUIS DE ARMENIA 1],SAN LUIS DE ARMENIA 1,1747
[DIVADM].[NAM_SUBCIR].&[SAN MARTIN 1],SAN MARTIN 1,19746
