[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[SAN MATEO 1],SAN MATEO 1,18266
[DIVADM].[NAM_SUBCIR].&[SAN MATEO 2],SAN MATEO 2,1165
[DIVADM].[NAM_SUBCIR].&[SAN MIGUEL 1],SAN MIGUEL 1,26711
[DIVADM].[NAM_SUBCIR].&[SAN MIGUEL 2],SAN MIGUEL 2,5906
[DIVADM].[NAM_SUBCIR].&[SAN MIGUEL DE CUYES 1],SAN MIGUEL DE CUYES 1,132
[DIVADM].[NAM_SUBCIR].&[SAN MIGUELITO 1],SAN MIGUELITO 1,587
[DIVADM].[NAM_SUBCIR].&[SAN MIGUELITO 2],SAN MIGUELITO 2,4159
[DIVADM].[NAM_SUBCIR].&[SAN PABLO 1],SAN PABLO 1,39142
[DIVADM].[NAM_SUBCIR].&[SAN PABLO 2],SAN PABLO 2,26622
[DIVADM].[NAM_SUBCIR].&[SAN PABLO DE PUEBLO NUEVO 1],SAN PABLO DE PUEBLO NUEVO 1,185
[DIVADM].[NAM_SUBCIR].&[SAN PABLO DE TENTA 1],SAN PABLO DE TENTA 1,1084
[DIVADM].[NAM_SUBCIR].&[SAN PEDRO 1],SAN PEDRO 1,21479
[DIVADM].[NAM_SUBCIR].&[SAN PEDRO 2],SAN PEDRO 2,8430
[DIVADM].[NAM_SUBCIR].&[SAN PEDRO 3],SAN PEDRO 3,1037
[DIVADM].[NAM_SUBCIR].&[SAN PEDRO 4],SAN PEDRO 4,283
[DIVADM].[NAM_SUBCIR].&[SAN PEDRO DE HUACA 1],SAN PEDRO DE HUACA 1,9087
[DIVADM].[NAM_SUBCIR].&[SAN PEDRO DE HUACA 2],SAN PEDRO DE HUACA 2,1162
[DIVADM].[NAM_SUBCIR].&[SAN PEDRO DE LA BENDITA 1],SAN PEDRO DE LA BENDITA 1,3069
[DIVADM].[NAM_SUBCIR].&[SAN PEDRO DE SUMA 1],SAN PEDRO DE SUMA 1,387
[DIVADM].[NAM_SUBCIR].&[SAN PEDRO DE SUMA 2],SAN PEDRO DE SUMA 2,951
[DIVADM].[NAM_SUBCIR].&[SAN PLACIDO 1],SAN PLACIDO 1,2970
[DIVADM].[NAM_SUBCIR].&[SAN RAFAEL 1],SAN RAFAEL 1,31893
[DIVADM].[NAM_SUBCIR].&[SAN RAFAEL 2],SAN RAFAEL 2,18628
[DIVADM].[NAM_SUBCIR].&[SAN RAFAEL SHARUG 1],SAN RAFAEL SHARUG 1,393
[DIVADM].[NAM_SUBCIR].&[SAN ROQUE 1],SAN ROQUE 1,19895
[DIVADM].[NAM_SUBCIR].&[SAN ROQUE 2],SAN ROQUE 2,11168
[DIVADM].[NAM_SUBCIR].&[SAN SEBASTIAN 1],SAN SEBASTIAN 1,26121
[DIVADM].[NAM_SUBCIR].&[SAN SEBASTIAN 2],SAN SEBASTIAN 2,827
[DIVADM].[NAM_SUBCIR].&[SAN VICENTE 1],SAN VICENTE 1,19414
[DIVADM].[NAM_SUBCIR].&[SAN VICENTE 2],SAN VICENTE 2,4132
[DIVADM].[NAM_SUBCIR].&[SAN VICENTE DE BUA 1],SAN VICENTE DE BUA 1,1047
[DIVADM].[NAM_SUBCIR].&[SANCAN 1],SANCAN 1,3566
[DIVADM].[NAM_SUBCIR].&[SANGAY CENTRO 1],SANGAY CENTRO 1,2737
[DIVADM].[NAM_SUBCIR].&[SANGOLQUI 1],SANGOLQUI 1,9964
[DIVADM].[NAM_SUBCIR].&[SANGOLQUI 2],SANGOLQUI 2,66906
[DIVADM].[NAM_SUBCIR].&[SANGOLQUI 3],SANGOLQUI 3,14972
[DIVADM].[NAM_SUBCIR].&[SANGUILLIN 1],SANGUILLIN 1,374
[DIVADM].[NAM_SUBCIR].&[SANTA ANA 1],SANTA ANA 1,13643
[DIVADM].[NAM_SUBCIR].&[SANTA ANA DE VUELTA LARGA 1],SANTA ANA DE VUELTA LARGA 1,168
[DIVADM].[NAM_SUBCIR].&[SANTA ANITA 1],SANTA ANITA 1,11919
[DIVADM].[NAM_SUBCIR].&[SANTA ANITA 2],SANTA ANITA 2,37294
[DIVADM].[NAM_SUBCIR].&[SANTA ANITA 3],SANTA ANITA 3,24035
[DIVADM].[NAM_SUBCIR].&[SANTA CECILIA 1],SANTA CECILIA 1,2205
[DIVADM].[NAM_SUBCIR].&[SANTA CECILIA 2],SANTA CECILIA 2,7246
[DIVADM].[NAM_SUBCIR].&[SANTA CLARA 1],SANTA CLARA 1,3636
[DIVADM].[NAM_SUBCIR].&[SANTA CRUZ 1],SANTA CRUZ 1,3676
[DIVADM].[NAM_SUBCIR].&[SANTA ELENA CENTRO 1],SANTA ELENA CENTRO 1,7066
[DIVADM].[NAM_SUBCIR].&[SANTA ELENA CENTRO 2],SANTA ELENA CENTRO 2,12392
[DIVADM].[NAM_SUBCIR].&[SANTA ELENA CENTRO 3],SANTA ELENA CENTRO 3,26299
[DIVADM].[NAM_SUBCIR].&[SANTA ELENA CENTRO 4],SANTA ELENA CENTRO 4,10761
[DIVADM].[NAM_SUBCIR].&[SANTA FE DE GALAN 1],SANTA FE DE GALAN 1,1261
[DIVADM].[NAM_SUBCIR].&[SANTA ISABEL 1],SANTA ISABEL 1,12330
[DIVADM].[NAM_SUBCIR].&[SANTA LUCIA 1],SANTA LUCIA 1,12209
[DIVADM].[NAM_SUBCIR].&[SANTA MARIA 1],SANTA MARIA 1,2383
[DIVADM].[NAM_SUBCIR].&[SANTA MARTHA 1],SANTA MARTHA 1,17480
[DIVADM].[NAM_SUBCIR].&[SANTA MARTHA DE CUBA 1],SANTA MARTHA DE CUBA 1,2474
[DIVADM].[NAM_SUBCIR].&[SANTA MARTHA NORTE 1],SANTA MARTHA NORTE 1,10071
[DIVADM].[NAM_SUBCIR].&[SANTA MARTHA NORTE 2],SANTA MARTHA NORTE 2,24032
[DIVADM].[NAM_SUBCIR].&[SANTA MARTHA SUR 1],SANTA MARTHA SUR 1,4454
[DIVADM].[NAM_SUBCIR].&[SANTA MARTHA SUR 2],SANTA MARTHA SUR 2,14012
[DIVADM].[NAM_SUBCIR].&[SANTA MARTHA SUR 3],SANTA MARTHA SUR 3,6374
[DIVADM].[NAM_SUBCIR].&[SANTA RITA 1],SANTA RITA 1,9473
[DIVADM].[NAM_SUBCIR].&[SANTA ROSA 1],SANTA ROSA 1,41352
[DIVADM].[NAM_SUBCIR].&[SANTA ROSA 2],SANTA ROSA 2,6992
[DIVADM].[NAM_SUBCIR].&[SANTA ROSA 3],SANTA ROSA 3,9362
[DIVADM].[NAM_SUBCIR].&[SANTA ROSA ESTE 1],SANTA ROSA ESTE 1,19468
[DIVADM].[NAM_SUBCIR].&[SANTA ROSA ESTE 2],SANTA ROSA ESTE 2,21948
[DIVADM].[NAM_SUBCIR].&[SANTA ROSA OESTE 1],SANTA ROSA OESTE 1,27801
[DIVADM].[NAM_SUBCIR].&[SANTA VAINAS 1],SANTA VAINAS 1,11395
[DIVADM].[NAM_SUBCIR].&[SANTIAGO 1],SANTIAGO 1,3006
[DIVADM].[NAM_SUBCIR].&[SANTIAGO DE MENDEZ 1],SANTIAGO DE MENDEZ 1,9011
[DIVADM].[NAM_SUBCIR].&[SANTIAGO DE QUITO 1],SANTIAGO DE QUITO 1,1424
[DIVADM].[NAM_SUBCIR].&[SAQUISILI 1],SAQUISILI 1,6494
[DIVADM].[NAM_SUBCIR].&[SAQUISILI 2],SAQUISILI 2,14724
[DIVADM].[NAM_SUBCIR].&[SARACAY 1],SARACAY 1,2759
[DIVADM].[NAM_SUBCIR].&[SARACAY 2],SARACAY 2,599
[DIVADM].[NAM_SUBCIR].&[SARAGURO 1],SARAGURO 1,9601
[DIVADM].[NAM_SUBCIR].&[SARAYACU 1],SARAYACU 1,302
[DIVADM].[NAM_SUBCIR].&[SAUCES 1],SAUCES 1,17607
[DIVADM].[NAM_SUBCIR].&[SAUCES 2],SAUCES 2,9499
[DIVADM].[NAM_SUBCIR].&[SAUCES 3],SAUCES 3,7618
[DIVADM].[NAM_SUBCIR].&[SAUCES 4],SAUCES 4,15416
[DIVADM].[NAM_SUBCIR].&[SAUCES 5],SAUCES 5,9797
[DIVADM].[NAM_SUBCIR].&[SAUCES 6],SAUCES 6,24438
[DIVADM].[NAM_SUBCIR].&[SAUCES 7],SAUCES 7,13226
[DIVADM].[NAM_SUBCIR].&[SAUCES 8],SAUCES 8,15561
[DIVADM].[NAM_SUBCIR].&[SAUCES NORTE 1],SAUCES NORTE 1,14565
[DIVADM].[NAM_SUBCIR].&[SAUCES NORTE 2],SAUCES NORTE 2,15219
[DIVADM].[NAM_SUBCIR].&[SAYAUSI 1],SAYAUSI 1,13315
[DIVADM].[NAM_SUBCIR].&[SELVA ALEGRE 1],SELVA ALEGRE 1,3593
[DIVADM].[NAM_SUBCIR].&[SELVA ALEGRE 2],SELVA ALEGRE 2,969
[DIVADM].[NAM_SUBCIR].&[SEVILLA DE ORO 1],SEVILLA DE ORO 1,752
[DIVADM].[NAM_SUBCIR].&[SEVILLA DON BOSCO 1],SEVILLA DON BOSCO 1,21657
[DIVADM].[NAM_SUBCIR].&[SEVILLA DON BOSCO 2],SEVILLA DON BOSCO 2,720
[DIVADM].[NAM_SUBCIR].&[SHELL MERA 1],SHELL MERA 1,18290
[DIVADM].[NAM_SUBCIR].&[SHELL MERA 2],SHELL MERA 2,4309
[DIVADM].[NAM_SUBCIR].&[SHOPPING 1],SHOPPING 1,15563
[DIVADM].[NAM_SUBCIR].&[SHUMIRAL 1],SHUMIRAL 1,3240
[DIVADM].[NAM_SUBCIR].&[SHUSHUFINDI CENTRO 1],SHUSHUFINDI CENTRO 1,12106
[DIVADM].[NAM_SUBCIR].&[SHUSHUFINDI CENTRO 2],SHUSHUFINDI CENTRO 2,14833
[DIVADM].[NAM_SUBCIR].&[SIGCHOS 1],SIGCHOS 1,6694
[DIVADM].[NAM_SUBCIR].&[SIGSIG 1],SIGSIG 1,1763
[DIVADM].[NAM_SUBCIR].&[SIGSIG 2],SIGSIG 2,11502
[DIVADM].[NAM_SUBCIR].&[SIMIATUG 1],SIMIATUG 1,2325
[DIVADM].[NAM_SUBCIR].&[SIMON BOLIVAR 1],SIMON BOLIVAR 1,55309
[DIVADM].[NAM_SUBCIR].&[SIMON BOLIVAR 2],SIMON BOLIVAR 2,11791
[DIVADM].[NAM_SUBCIR].&[SINAI 1],SINAI 1,1595
[DIVADM].[NAM_SUBCIR].&[SININCAY 1],SININCAY 1,15417
[DIVADM].[NAM_SUBCIR].&[SIXTO DURAN BALLEN 1],SIXTO DURAN BALLEN 1,440
[DIVADM].[NAM_SUBCIR].&[SOLANDA 1],SOLANDA 1,18905
[DIVADM].[NAM_SUBCIR].&[SOLANDA 2],SOLANDA 2,20357
[DIVADM].[NAM_SUBCIR].&[SOLANDA 3],SOLANDA 3,29129
[DIVADM].[NAM_SUBCIR].&[SOLANDA 4],SOLANDA 4,31897
[DIVADM].[NAM_SUBCIR].&[SOZORANGA 1],SOZORANGA 1,1538
[DIVADM].[NAM_SUBCIR].&[SUBURBIO 1],SUBURBIO 1,5750
[DIVADM].[NAM_SUBCIR].&[SUBURBIO 2],SUBURBIO 2,31468
[DIVADM].[NAM_SUBCIR].&[SUBURBIO 3],SUBURBIO 3,25570
[DIVADM].[NAM_SUBCIR].&[SUBURBIO 4],SUBURBIO 4,17510
[DIVADM].[NAM_SUBCIR].&[SUBURBIO 5],SUBURBIO 5,23913
[DIVADM].[NAM_SUBCIR].&[SUCRE 1],SUCRE 1,84635
[DIVADM].[NAM_SUBCIR].&[SUCUA 1],SUCUA 1,32332
[DIVADM].[NAM_SUBCIR].&[SUMAYPAMBA 1],SUMAYPAMBA 1,266
[DIVADM].[NAM_SUBCIR].&[SUSCAL 1],SUSCAL 1,3212
[DIVADM].[NAM_SUBCIR].&[TABABELA 1],TABABELA 1,13723
[DIVADM].[NAM_SUBCIR].&[TABACUNDO 1],TABACUNDO 1,21188
[DIVADM].[NAM_SUBCIR].&[TABACUNDO 2],TABACUNDO 2,5351
[DIVADM].[NAM_SUBCIR].&[TABIAZO 1],TABIAZO 1,933
[DIVADM].[NAM_SUBCIR].&[TABIAZO 2],TABIAZO 2,176
[DIVADM].[NAM_SUBCIR].&[TABLADO DEL TIGRE 1],TABLADO DEL TIGRE 1,423
[DIVADM].[NAM_SUBCIR].&[TABLON 1],TABLON 1,728
[DIVADM].[NAM_SUBCIR].&[TACAMOROS 1],TACAMOROS 1,266
[DIVADM].[NAM_SUBCIR].&[TAISHA CENTRO 1],TAISHA CENTRO 1,5967
[DIVADM].[NAM_SUBCIR].&[TALAG 1],TALAG 1,1996
[DIVADM].[NAM_SUBCIR].&[TAMBILLO 1],TAMBILLO 1,127
[DIVADM].[NAM_SUBCIR].&[TANDAPI 1],TANDAPI 1,13505
[DIVADM].[NAM_SUBCIR].&[TAQUIL 1],TAQUIL 1,2523
[DIVADM].[NAM_SUBCIR].&[TAQUIL 2],TAQUIL 2,2036
[DIVADM].[NAM_SUBCIR].&[TARAPOA 1],TARAPOA 1,7246
[DIVADM].[NAM_SUBCIR].&[TARIFA 1],TARIFA 1,19785
[DIVADM].[NAM_SUBCIR].&[TARQUI 1],TARQUI 1,41874
[DIVADM].[NAM_SUBCIR].&[TARQUI 2],TARQUI 2,7726
[DIVADM].[NAM_SUBCIR].&[TARQUI 3],TARQUI 3,11562
[DIVADM].[NAM_SUBCIR].&[TAURA 1],TAURA 1,2455
[DIVADM].[NAM_SUBCIR].&[TAURA 2],TAURA 2,6549
[DIVADM].[NAM_SUBCIR].&[TEBAIDA 1],TEBAIDA 1,20880
[DIVADM].[NAM_SUBCIR].&[TECHO PROPIO 1],TECHO PROPIO 1,52588
[DIVADM].[NAM_SUBCIR].&[TELIMBELA 1],TELIMBELA 1,425
[DIVADM].[NAM_SUBCIR].&[TENGUEL 1],TENGUEL 1,8029
[DIVADM].[NAM_SUBCIR].&[TERMINAL TERRESTRE 1],TERMINAL TERRESTRE 1,124350
[DIVADM].[NAM_SUBCIR].&[TERMINAL TERRESTRE 2],TERMINAL TERRESTRE 2,29554
[DIVADM].[NAM_SUBCIR].&[TEXTILERO 1],TEXTILERO 1,22270
[DIVADM].[NAM_SUBCIR].&[TIERRAS AMARILLAS 1],TIERRAS AMARILLAS 1,446
[DIVADM].[NAM_SUBCIR].&[TIO CAJAS 1],TIO CAJAS 1,1167
[DIVADM].[NAM_SUBCIR].&[TISALEO 1],TISALEO 1,12660
[DIVADM].[NAM_SUBCIR].&[TIXAN 1],TIXAN 1,3016
[DIVADM].[NAM_SUBCIR].&[TOACAZO 1],TOACAZO 1,4293
[DIVADM].[NAM_SUBCIR].&[TONCHIGUE 1],TONCHIGUE 1,9687
[DIVADM].[NAM_SUBCIR].&[TONCHIGUE 2],TONCHIGUE 2,4251
[DIVADM].[NAM_SUBCIR].&[TONSUPA 1],TONSUPA 1,20849
[DIVADM].[NAM_SUBCIR].&[TORATA 1],TORATA 1,1503
[DIVADM].[NAM_SUBCIR].&[TORATA 2],TORATA 2,9044
[DIVADM].[NAM_SUBCIR].&[TOTORACOCHA 1],TOTORACOCHA 1,20464
[DIVADM].[NAM_SUBCIR].&[TRES PUERTOS 1],TRES PUERTOS 1,304
[DIVADM].[NAM_SUBCIR].&[TRINITARIA NORTE 1],TRINITARIA NORTE 1,17359
[DIVADM].[NAM_SUBCIR].&[TRINITARIA NORTE 2],TRINITARIA NORTE 2,18661
[DIVADM].[NAM_SUBCIR].&[TRINITARIA NORTE 3],TRINITARIA NORTE 3,11369
[DIVADM].[NAM_SUBCIR].&[TRINITARIA NORTE 4],TRINITARIA NORTE 4,12488
[DIVADM].[NAM_SUBCIR].&[TRINITARIA SUR 1],TRINITARIA SUR 1,9580
[DIVADM].[NAM_SUBCIR].&[TRINITARIA SUR 2],TRINITARIA SUR 2,16226
[DIVADM].[NAM_SUBCIR].&[TRINITARIA SUR 3],TRINITARIA SUR 3,26633
[DIVADM].[NAM_SUBCIR].&[TRINITARIA SUR 4],TRINITARIA SUR 4,9387
[DIVADM].[NAM_SUBCIR].&[TRINITARIA SUR 5],TRINITARIA SUR 5,8529
[DIVADM].[NAM_SUBCIR].&[TRONCAL CENTRO 1],TRONCAL CENTRO 1,28447
[DIVADM].[NAM_SUBCIR].&[TRONCAL CENTRO 2],TRONCAL CENTRO 2,9983
[DIVADM].[NAM_SUBCIR].&[TRONCAL NORTE 1],TRONCAL NORTE 1,30792
[DIVADM].[NAM_SUBCIR].&[TRONCAL OESTE 1],TRONCAL OESTE 1,2764
[DIVADM].[NAM_SUBCIR].&[TRONCAL OESTE 2],TRONCAL OESTE 2,3700
[DIVADM].[NAM_SUBCIR].&[TRONCAL OESTE 3],TRONCAL OESTE 3,2048
[DIVADM].[NAM_SUBCIR].&[TUFIÑO 1],TUFIÑO 1,5177
[DIVADM].[NAM_SUBCIR].&[TUMBACO 1],TUMBACO 1,57487
[DIVADM].[NAM_SUBCIR].&[TUMBACO 2],TUMBACO 2,11467
[DIVADM].[NAM_SUBCIR].&[TUMBACO SUR 1],TUMBACO SUR 1,15808
[DIVADM].[NAM_SUBCIR].&[TUMBACO SUR 2],TUMBACO SUR 2,20591
[DIVADM].[NAM_SUBCIR].&[TUNDAYME 1],TUNDAYME 1,922
[DIVADM].[NAM_SUBCIR].&[TURI 1],TURI 1,17766
[DIVADM].[NAM_SUBCIR].&[TURUBAMBA 1],TURUBAMBA 1,12104
[DIVADM].[NAM_SUBCIR].&[TURUBAMBA 2],TURUBAMBA 2,23537
[DIVADM].[NAM_SUBCIR].&[TURUBAMBA 3],TURUBAMBA 3,40997
[DIVADM].[NAM_SUBCIR].&[TURUBAMBA 4],TURUBAMBA 4,19643
[DIVADM].[NAM_SUBCIR].&[TURUBAMBA 5],TURUBAMBA 5,3132
[DIVADM].[NAM_SUBCIR].&[TURUBAMBA 6],TURUBAMBA 6,10163
[DIVADM].[NAM_SUBCIR].&[TUTUPALI 1],TUTUPALI 1,73
[DIVADM].[NAM_SUBCIR].&[TWINTZA 1],TWINTZA 1,4315
[DIVADM].[NAM_SUBCIR].&[UCHUPUCUM 1],UCHUPUCUM 1,640
[DIVADM].[NAM_SUBCIR].&[UNIFICADOS 1],UNIFICADOS 1,19004
[DIVADM].[NAM_SUBCIR].&[UNIFICADOS 2],UNIFICADOS 2,11324
[DIVADM].[NAM_SUBCIR].&[UNION DE BANANEROS 1],UNION DE BANANEROS 1,27407
[DIVADM].[NAM_SUBCIR].&[UNION DE BANANEROS 2],UNION DE BANANEROS 2,5440
[DIVADM].[NAM_SUBCIR].&[UNION DE BANANEROS 3],UNION DE BANANEROS 3,25648
[DIVADM].[NAM_SUBCIR].&[UNION LOJANA 1],UNION LOJANA 1,17508
[DIVADM].[NAM_SUBCIR].&[UNION LOJANA 2],UNION LOJANA 2,22915
[DIVADM].[NAM_SUBCIR].&[UNIVERSIDAD 1],UNIVERSIDAD 1,28678
[DIVADM].[NAM_SUBCIR].&[UNIVERSIDAD 2],UNIVERSIDAD 2,45411
[DIVADM].[NAM_SUBCIR].&[UNIVERSIDAD 3],UNIVERSIDAD 3,7256
[DIVADM].[NAM_SUBCIR].&[UNIVERSITARIO 1],UNIVERSITARIO 1,37271
[DIVADM].[NAM_SUBCIR].&[UNIVERSITARIO 2],UNIVERSITARIO 2,39419
[DIVADM].[NAM_SUBCIR].&[UNIVERSITARIO 3],UNIVERSITARIO 3,22801
[DIVADM].[NAM_SUBCIR].&[URBINA 1],URBINA 1,5336
[DIVADM].[NAM_SUBCIR].&[URBINA 2],URBINA 2,540
[DIVADM].[NAM_SUBCIR].&[URDANETA 1],URDANETA 1,2200
[DIVADM].[NAM_SUBCIR].&[URDESA 1],URDESA 1,21257
[DIVADM].[NAM_SUBCIR].&[URDESA 2],URDESA 2,5828
[DIVADM].[NAM_SUBCIR].&[URDESA 3],URDESA 3,4850
[DIVADM].[NAM_SUBCIR].&[URDESA 4],URDESA 4,7152
[DIVADM].[NAM_SUBCIR].&[URDESA 5],URDESA 5,7538
[DIVADM].[NAM_SUBCIR].&[URDESA 6],URDESA 6,14681
[DIVADM].[NAM_SUBCIR].&[URDESA 7],URDESA 7,9437
[DIVADM].[NAM_SUBCIR].&[UZCURRUMI 1],UZCURRUMI 1,448
[DIVADM].[NAM_SUBCIR].&[VALDEZ 1],VALDEZ 1,32900
[DIVADM].[NAM_SUBCIR].&[VALENCIA 1],VALENCIA 1,21304
[DIVADM].[NAM_SUBCIR].&[VALLE DE LA VIRGEN 1],VALLE DE LA VIRGEN 1,2189
[DIVADM].[NAM_SUBCIR].&[VALLE HERMOSO 1],VALLE HERMOSO 1,11106
[DIVADM].[NAM_SUBCIR].&[VALLE HERMOSO 2],VALLE HERMOSO 2,26368
[DIVADM].[NAM_SUBCIR].&[VALLE HERMOSO 3],VALLE HERMOSO 3,15946
[DIVADM].[NAM_SUBCIR].&[VEGA RIVERA 1],VEGA RIVERA 1,2673
[DIVADM].[NAM_SUBCIR].&[VELASCO IBARRA 1],VELASCO IBARRA 1,13662
[DIVADM].[NAM_SUBCIR].&[VELASCO IBARRA 2],VELASCO IBARRA 2,9697
[DIVADM].[NAM_SUBCIR].&[VENEZUELA 1],VENEZUELA 1,23344
[DIVADM].[NAM_SUBCIR].&[VENEZUELA 2],VENEZUELA 2,37260
[DIVADM].[NAM_SUBCIR].&[VENEZUELA 3],VENEZUELA 3,31438
[DIVADM].[NAM_SUBCIR].&[VENTANAS CENTRO 1],VENTANAS CENTRO 1,34747
[DIVADM].[NAM_SUBCIR].&[VENTANAS NORTE 1],VENTANAS NORTE 1,22764
[DIVADM].[NAM_SUBCIR].&[VENTANAS SUR 1],VENTANAS SUR 1,21594
[DIVADM].[NAM_SUBCIR].&[VERDE LOMA 1],VERDE LOMA 1,23946
[DIVADM].[NAM_SUBCIR].&[VERNAZA 1],VERNAZA 1,2684
[DIVADM].[NAM_SUBCIR].&[VIA LACTEA 1],VIA LACTEA 1,49894
[DIVADM].[NAM_SUBCIR].&[VICHE 1],VICHE 1,5901
[DIVADM].[NAM_SUBCIR].&[VICTORIA 1],VICTORIA 1,17306
[DIVADM].[NAM_SUBCIR].&[VICTORIA 2],VICTORIA 2,8498
[DIVADM].[NAM_SUBCIR].&[VICTORIA 3],VICTORIA 3,12415
[DIVADM].[NAM_SUBCIR].&[VICTORIA 4],VICTORIA 4,22324
[DIVADM].[NAM_SUBCIR].&[VICTORIA 5],VICTORIA 5,24517
[DIVADM].[NAM_SUBCIR].&[VILCABAMBA 1],VILCABAMBA 1,9866
[DIVADM].[NAM_SUBCIR].&[VILLA NUEVA 1],VILLA NUEVA 1,14010
[DIVADM].[NAM_SUBCIR].&[VINCES CENTRO 1],VINCES CENTRO 1,11736
[DIVADM].[NAM_SUBCIR].&[VINCES NORTE 1],VINCES NORTE 1,1120
[DIVADM].[NAM_SUBCIR].&[VINCES SUR 1],VINCES SUR 1,14101
[DIVADM].[NAM_SUBCIR].&[VIRGEN DE FATIMA 1],VIRGEN DE FATIMA 1,30306
[DIVADM].[NAM_SUBCIR].&[VIRGEN DEL CARMEN 1],VIRGEN DEL CARMEN 1,6811
[DIVADM].[NAM_SUBCIR].&[VIRGEN DEL CARMEN 2],VIRGEN DEL CARMEN 2,15465
[DIVADM].[NAM_SUBCIR].&[VISALTUR 1],VISALTUR 1,6686
[DIVADM].[NAM_SUBCIR].&[VISALTUR 2],VISALTUR 2,4677
[DIVADM].[NAM_SUBCIR].&[VUELTA LARGA NORTE 1],VUELTA LARGA NORTE 1,137
[DIVADM].[NAM_SUBCIR].&[VUELTA LARGA SUR 1],VUELTA LARGA SUR 1,1397
[DIVADM].[NAM_SUBCIR].&[WILFRIDO LOOR MOREIRA 1],WILFRIDO LOOR MOREIRA 1,1363
[DIVADM].[NAM_SUBCIR].&[WILSON FRANCO 1],WILSON FRANCO 1,10178
[DIVADM].[NAM_SUBCIR].&[YACUAMBI 1],YACUAMBI 1,2569
[DIVADM].[NAM_SUBCIR].&[YAGUACHI NORTE 1],YAGUACHI NORTE 1,16602
[DIVADM].[NAM_SUBCIR].&[YAGUACHI SUR 1],YAGUACHI SUR 1,17448
[DIVADM].[NAM_SUBCIR].&[YAMANA 1],YAMANA 1,1186
[DIVADM].[NAM_SUBCIR].&[YANGANA 1],YANGANA 1,1276
[DIVADM].[NAM_SUBCIR].&[YANTZAZA 1],YANTZAZA 1,19728
[DIVADM].[NAM_SUBCIR].&[YANTZAZA 2],YANTZAZA 2,1183
[DIVADM].[NAM_SUBCIR].&[YANUNCAY 1],YANUNCAY 1,48587
[DIVADM].[NAM_SUBCIR].&[YARUQUI 1],YARUQUI 1,25091
[DIVADM].[NAM_SUBCIR].&[YARUQUI 2],YARUQUI 2,12913
[DIVADM].[NAM_SUBCIR].&[YARUQUIES 1],YARUQUIES 1,3140
[DIVADM].[NAM_SUBCIR].&[YAUPI 1],YAUPI 1,236
[DIVADM].[NAM_SUBCIR].&[YUNGANZA 1],YUNGANZA 1,1436
[DIVADM].[NAM_SUBCIR].&[YURALPA 1],YURALPA 1,1262
[DIVADM].[NAM_SUBCIR].&[ZAMBIZA 1],ZAMBIZA 1,6677
[DIVADM].[NAM_SUBCIR].&[ZAMORA HUAYCO 1],ZAMORA HUAYCO 1,21760
[DIVADM].[NAM_SUBCIR].&[ZAPALLO 1],ZAPALLO 1,977
[DIVADM].[NAM_SUBCIR].&[ZAPOTAL 1],ZAPOTAL 1,11748
[DIVADM].[NAM_SUBCIR].&[ZAPOTAL NUEVO 1],ZAPOTAL NUEVO 1,3301
[DIVADM].[NAM_SUBCIR].&[ZAPOTILLO 1],ZAPOTILLO 1,6744
[DIVADM].[NAM_SUBCIR].&[ZARUMA 1],ZARUMA 1,13915
[DIVADM].[NAM_SUBCIR].&[ZHIMAD 1],ZHIMAD 1,897
[DIVADM].[NAM_SUBCIR].&[ZHUD 1],ZHUD 1,2177
[DIVADM].[NAM_SUBCIR].&[ZUMBA 1],ZUMBA 1,7229
[DIVADM].[NAM_SUBCIR].&[ZUMBAGUA 1],ZUMBAGUA 1,3489
[DIVADM].[NAM_SUBCIR].&[ZUMBI 1],ZUMBI 1,7252
[DIVADM].[NAM_SUBCIR].&[ZURMI 1],ZURMI 1,544
[DIVADM].[NAM_SUBCIR].&,,4347
