[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[NOMPARROQ].&[10 DE AGOSTO],10 DE AGOSTO,5174
[DIVPOL].[NOMPARROQ].&[11 DE NOVIEMBRE (ILINCHISI)],11 DE NOVIEMBRE (ILINCHISI),3079
[DIVPOL].[NOMPARROQ].&[12 DE DICIEMBRE (CAB.EN ACHIOTES)],12 DE DICIEMBRE (CAB.EN ACHIOTES),533
[DIVPOL].[NOMPARROQ].&[16 DE AGOSTO],16 DE AGOSTO,1239
[DIVPOL].[NOMPARROQ].&[27 DE ABRIL (CAB. EN LA NARANJA)],27 DE ABRIL (CAB. EN LA NARANJA),788
"[DIVPOL].[NOMPARROQ].&[28 DE MAYO (SAN JOSÉ DE YACUAMBI), CABECERA CANTO]","28 DE MAYO (SAN JOSÉ DE YACUAMBI), CABECERA CANTO",2569
[DIVPOL].[NOMPARROQ].&[5 DE JUNIO (CAB. EN UIMBI)],5 DE JUNIO (CAB. EN UIMBI),23
[DIVPOL].[NOMPARROQ].&[6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE)],6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE),300
[DIVPOL].[NOMPARROQ].&[ABAÑÍN],ABAÑÍN,184
[DIVPOL].[NOMPARROQ].&[ABDÓN CALDERÓN  (LA UNIÓN)],ABDÓN CALDERÓN  (LA UNIÓN),4539
[DIVPOL].[NOMPARROQ].&[ABDÓN CALDERÓN (SAN FRANCISCO)],ABDÓN CALDERÓN (SAN FRANCISCO),7608
[DIVPOL].[NOMPARROQ].&[ACHUPALLAS],ACHUPALLAS,1730
[DIVPOL].[NOMPARROQ].&[AGUAS NEGRAS],AGUAS NEGRAS,635
[DIVPOL].[NOMPARROQ].&[AHUANO],AHUANO,2118
"[DIVPOL].[NOMPARROQ].&[ALAMOR, CABECERA CANTONAL]","ALAMOR, CABECERA CANTONAL",9489
[DIVPOL].[NOMPARROQ].&[ALANGASÍ],ALANGASÍ,43887
[DIVPOL].[NOMPARROQ].&[ALAQUES (ALÁQUEZ)],ALAQUES (ALÁQUEZ),4357
"[DIVPOL].[NOMPARROQ].&[ALAUSÍ, CABECERA CANTONAL]","ALAUSÍ, CABECERA CANTONAL",12142
[DIVPOL].[NOMPARROQ].&[ALEJANDRO LABAKA],ALEJANDRO LABAKA,140
"[DIVPOL].[NOMPARROQ].&[ALFREDO BAQUERIZO MORENO (JUJÁN), CABECERA CANTON]","ALFREDO BAQUERIZO MORENO (JUJÁN), CABECERA CANTON",27014
[DIVPOL].[NOMPARROQ].&[ALHAJUELA (BAJO GRANDE)],ALHAJUELA (BAJO GRANDE),2049
[DIVPOL].[NOMPARROQ].&[ALLURIQUÍN],ALLURIQUÍN,12754
[DIVPOL].[NOMPARROQ].&[ALÓAG],ALÓAG,28499
[DIVPOL].[NOMPARROQ].&[ALOASÍ],ALOASÍ,22121
[DIVPOL].[NOMPARROQ].&[ALSHI (CAB. EN 9 DE OCTUBRE)],ALSHI (CAB. EN 9 DE OCTUBRE),213
[DIVPOL].[NOMPARROQ].&[ALTO TAMBO (CAB. EN GUADUAL)],ALTO TAMBO (CAB. EN GUADUAL),540
[DIVPOL].[NOMPARROQ].&[AMAGUAÑA],AMAGUAÑA,45644
[DIVPOL].[NOMPARROQ].&[AMALUZA],AMALUZA,242
"[DIVPOL].[NOMPARROQ].&[AMALUZA, CABECERA CANTONAL]","AMALUZA, CABECERA CANTONAL",4068
[DIVPOL].[NOMPARROQ].&[AMARILLOS],AMARILLOS,196
[DIVPOL].[NOMPARROQ].&[AMAZONAS (ROSARIO DE CUYES)],AMAZONAS (ROSARIO DE CUYES),121
[DIVPOL].[NOMPARROQ].&[AMBATILLO],AMBATILLO,2567
"[DIVPOL].[NOMPARROQ].&[AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL",598475
[DIVPOL].[NOMPARROQ].&[AMBUQUÍ],AMBUQUÍ,12436
[DIVPOL].[NOMPARROQ].&[AMÉRICA],AMÉRICA,402
[DIVPOL].[NOMPARROQ].&[ANCHAYACU],ANCHAYACU,261
[DIVPOL].[NOMPARROQ].&[ANCÓN (PICHANGAL) (CAB. EN PALMA REAL)],ANCÓN (PICHANGAL) (CAB. EN PALMA REAL),36
[DIVPOL].[NOMPARROQ].&[ANCONCITO],ANCONCITO,11694
[DIVPOL].[NOMPARROQ].&[ANGAMARCA],ANGAMARCA,456
[DIVPOL].[NOMPARROQ].&[ÁNGEL PEDRO GILER (LA ESTANCILLA)],ÁNGEL PEDRO GILER (LA ESTANCILLA),1860
[DIVPOL].[NOMPARROQ].&[ANGOCHAGUA],ANGOCHAGUA,1490
[DIVPOL].[NOMPARROQ].&[ANTONIO JOSÉ HOLGUÍN  (SANTA LUCÍA)],ANTONIO JOSÉ HOLGUÍN  (SANTA LUCÍA),1618
[DIVPOL].[NOMPARROQ].&[ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES)],ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),4452
[DIVPOL].[NOMPARROQ].&[APUELA],APUELA,993
"[DIVPOL].[NOMPARROQ].&[ARAJUNO, CABECERA CANTONAL]","ARAJUNO, CABECERA CANTONAL",4475
[DIVPOL].[NOMPARROQ].&[ARAPICOS],ARAPICOS,812
[DIVPOL].[NOMPARROQ].&[ARCAPAMBA],ARCAPAMBA,430
"[DIVPOL].[NOMPARROQ].&[ARCHIDONA, CABECERA CANTONAL]","ARCHIDONA, CABECERA CANTONAL",11330
"[DIVPOL].[NOMPARROQ].&[ARENILLAS, CABECERA CANTONAL]","ARENILLAS, CABECERA CANTONAL",29427
[DIVPOL].[NOMPARROQ].&[ARQUITECTO SIXTO DURÁN BALLÉN],ARQUITECTO SIXTO DURÁN BALLÉN,440
[DIVPOL].[NOMPARROQ].&[ASCÁZUBI],ASCÁZUBI,6002
[DIVPOL].[NOMPARROQ].&[ASUNCIÓN],ASUNCIÓN,4219
[DIVPOL].[NOMPARROQ].&[ASUNCIÓN (ASANCOTO)],ASUNCIÓN (ASANCOTO),1508
"[DIVPOL].[NOMPARROQ].&[ATACAMES, CABECERA CANTONAL]","ATACAMES, CABECERA CANTONAL",34922
[DIVPOL].[NOMPARROQ].&[ATAHUALPA],ATAHUALPA,5219
[DIVPOL].[NOMPARROQ].&[ATAHUALPA (CAB. EN CAMARONES)],ATAHUALPA (CAB. EN CAMARONES),29
[DIVPOL].[NOMPARROQ].&[ATAHUALPA (CHISALATA)],ATAHUALPA (CHISALATA),16092
[DIVPOL].[NOMPARROQ].&[ATAHUALPA (HABASPAMBA)],ATAHUALPA (HABASPAMBA),307
"[DIVPOL].[NOMPARROQ].&[ATUNTAQUI, CABECERA CANTONAL]","ATUNTAQUI, CABECERA CANTONAL",41257
[DIVPOL].[NOMPARROQ].&[AUGUSTO N. MARTÍNEZ (MUNDUGLEO)],AUGUSTO N. MARTÍNEZ (MUNDUGLEO),6514
[DIVPOL].[NOMPARROQ].&[ÁVILA (CAB. EN HUIRUNO)],ÁVILA (CAB. EN HUIRUNO),6571
[DIVPOL].[NOMPARROQ].&[AYACUCHO],AYACUCHO,1991
[DIVPOL].[NOMPARROQ].&[AYAPAMBA],AYAPAMBA,778
"[DIVPOL].[NOMPARROQ].&[AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",78448
"[DIVPOL].[NOMPARROQ].&[BABA, CABECERA CANTONAL]","BABA, CABECERA CANTONAL",15328
"[DIVPOL].[NOMPARROQ].&[BABAHOYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","BABAHOYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL",240839
[DIVPOL].[NOMPARROQ].&[BACHILLERO],BACHILLERO,1624
"[DIVPOL].[NOMPARROQ].&[BAEZA, CABECERA CANTONAL]","BAEZA, CABECERA CANTONAL",5740
"[DIVPOL].[NOMPARROQ].&[BAHÍA DE CARÁQUEZ, CABECERA CANTONAL]","BAHÍA DE CARÁQUEZ, CABECERA CANTONAL",23230
"[DIVPOL].[NOMPARROQ].&[BALAO, CABECERA CANTONAL]","BALAO, CABECERA CANTONAL",18079
[DIVPOL].[NOMPARROQ].&[BALSAPAMBA],BALSAPAMBA,6404
"[DIVPOL].[NOMPARROQ].&[BALSAS, CABECERA CANTONAL]","BALSAS, CABECERA CANTONAL",7393
"[DIVPOL].[NOMPARROQ].&[BALZAR, CABECERA CANTONAL]","BALZAR, CABECERA CANTONAL",58942
[DIVPOL].[NOMPARROQ].&[BAÑOS],BAÑOS,19993
"[DIVPOL].[NOMPARROQ].&[BAÑOS DE AGUA SANTA, CABECERA CANTONAL]","BAÑOS DE AGUA SANTA, CABECERA CANTONAL",40750
[DIVPOL].[NOMPARROQ].&[BAQUERIZO MORENO],BAQUERIZO MORENO,146
[DIVPOL].[NOMPARROQ].&[BARBONES (SUCRE)],BARBONES (SUCRE),7672
[DIVPOL].[NOMPARROQ].&[BARRAGANETE],BARRAGANETE,456
[DIVPOL].[NOMPARROQ].&[BELISARIO QUEVEDO (GUANAILÍN)],BELISARIO QUEVEDO (GUANAILÍN),5071
[DIVPOL].[NOMPARROQ].&[BELLAMARÍA],BELLAMARÍA,3229
[DIVPOL].[NOMPARROQ].&[BELLAVISTA],BELLAVISTA,9972
[DIVPOL].[NOMPARROQ].&[BENÍTEZ (PACHANLICA)],BENÍTEZ (PACHANLICA),2386
[DIVPOL].[NOMPARROQ].&[BERMEJOS],BERMEJOS,52
"[DIVPOL].[NOMPARROQ].&[BIBLIÁN, CABECERA CANTONAL]","BIBLIÁN, CABECERA CANTONAL",13911
[DIVPOL].[NOMPARROQ].&[BILBAO (CAB.EN QUILLUYACU)],BILBAO (CAB.EN QUILLUYACU),221
[DIVPOL].[NOMPARROQ].&[BILOVÁN],BILOVÁN,1756
[DIVPOL].[NOMPARROQ].&[BOLASPAMBA],BOLASPAMBA,99
[DIVPOL].[NOMPARROQ].&[BOLÍVAR],BOLÍVAR,1214
"[DIVPOL].[NOMPARROQ].&[BOLÍVAR, CABECERA CANTONAL]","BOLÍVAR, CABECERA CANTONAL",5802
[DIVPOL].[NOMPARROQ].&[BOMBOIZA],BOMBOIZA,4341
[DIVPOL].[NOMPARROQ].&[BORBÓN],BORBÓN,9971
[DIVPOL].[NOMPARROQ].&[BOYACÁ],BOYACÁ,583
[DIVPOL].[NOMPARROQ].&[BUENAVISTA],BUENAVISTA,10039
[DIVPOL].[NOMPARROQ].&[BULÁN (JOSÉ VÍCTOR IZQUIERDO)],BULÁN (JOSÉ VÍCTOR IZQUIERDO),665
[DIVPOL].[NOMPARROQ].&[CACHA (CAB. EN MACHÁNGARA)],CACHA (CAB. EN MACHÁNGARA),589
[DIVPOL].[NOMPARROQ].&[CAHUASQUÍ],CAHUASQUÍ,924
[DIVPOL].[NOMPARROQ].&[CALACALÍ],CALACALÍ,14347
"[DIVPOL].[NOMPARROQ].&[CALCETA, CABECERA CANTONAL]","CALCETA, CABECERA CANTONAL",22240
[DIVPOL].[NOMPARROQ].&[CALDERÓN],CALDERÓN,826
[DIVPOL].[NOMPARROQ].&[CALDERÓN (CARAPUNGO)],CALDERÓN (CARAPUNGO),335428
[DIVPOL].[NOMPARROQ].&[CALPI],CALPI,5864
"[DIVPOL].[NOMPARROQ].&[CALUMA, CABECERA CANTONAL]","CALUMA, CABECERA CANTONAL",25736
[DIVPOL].[NOMPARROQ].&[CAMARONES (CAB. EN SAN VICENTE)],CAMARONES (CAB. EN SAN VICENTE),2374
"[DIVPOL].[NOMPARROQ].&[CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL]","CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL",22066
[DIVPOL].[NOMPARROQ].&[CAMPOZANO (LA PALMA DE PAJÁN)],CAMPOZANO (LA PALMA DE PAJÁN),1218
[DIVPOL].[NOMPARROQ].&[CANCHAGUA],CANCHAGUA,576
[DIVPOL].[NOMPARROQ].&[CANELOS],CANELOS,1228
[DIVPOL].[NOMPARROQ].&[CANGAHUA],CANGAHUA,4973
[DIVPOL].[NOMPARROQ].&[CANGONAMÁ],CANGONAMÁ,296
[DIVPOL].[NOMPARROQ].&[CANOA],CANOA,3589
[DIVPOL].[NOMPARROQ].&[CANUTO],CANUTO,4034
[DIVPOL].[NOMPARROQ].&[CAÑAQUEMADA],CAÑAQUEMADA,1888
"[DIVPOL].[NOMPARROQ].&[CAÑAR, CABECERA CANTONAL]","CAÑAR, CABECERA CANTONAL",18362
[DIVPOL].[NOMPARROQ].&[CAÑI],CAÑI,130
[DIVPOL].[NOMPARROQ].&[CAPIRO (CAB. EN LA CAPILLA DE CAPIRO)],CAPIRO (CAB. EN LA CAPILLA DE CAPIRO),772
[DIVPOL].[NOMPARROQ].&[CAPITÁN AUGUSTO RIVADENEYRA],CAPITÁN AUGUSTO RIVADENEYRA,34
[DIVPOL].[NOMPARROQ].&[CAPZOL],CAPZOL,567
[DIVPOL].[NOMPARROQ].&[CARACOL],CARACOL,5820
[DIVPOL].[NOMPARROQ].&[CARCABÓN],CARCABÓN,1051
"[DIVPOL].[NOMPARROQ].&[CARIAMANGA, CABECERA CANTONAL]","CARIAMANGA, CABECERA CANTONAL",20181
"[DIVPOL].[NOMPARROQ].&[CARLOS JULIO AROSEMENA TOLA, CABECERA CANTONAL]","CARLOS JULIO AROSEMENA TOLA, CABECERA CANTONAL",2416
[DIVPOL].[NOMPARROQ].&[CAROLINA],CAROLINA,2953
[DIVPOL].[NOMPARROQ].&[CARONDELET],CARONDELET,586
[DIVPOL].[NOMPARROQ].&[CASACAY],CASACAY,3726
[DIVPOL].[NOMPARROQ].&[CASANGA],CASANGA,691
[DIVPOL].[NOMPARROQ].&[CASCOL],CASCOL,3747
"[DIVPOL].[NOMPARROQ].&[CATACOCHA, CABECERA CANTONAL]","CATACOCHA, CABECERA CANTONAL",9223
"[DIVPOL].[NOMPARROQ].&[CATAMAYO (LA TOMA), CABECERA CANTONAL]","CATAMAYO (LA TOMA), CABECERA CANTONAL",45855
"[DIVPOL].[NOMPARROQ].&[CATARAMA, CABECERA CANTONAL]","CATARAMA, CABECERA CANTONAL",9345
"[DIVPOL].[NOMPARROQ].&[CAYAMBE, CABECERA CANTONAL]","CAYAMBE, CABECERA CANTONAL",63052
[DIVPOL].[NOMPARROQ].&[CAZADEROS],CAZADEROS,48
[DIVPOL].[NOMPARROQ].&[CEBADAS],CEBADAS,2864
"[DIVPOL].[NOMPARROQ].&[CELICA, CABECERA CANTONAL]","CELICA, CABECERA CANTONAL",9647
"[DIVPOL].[NOMPARROQ].&[CEVALLOS, CABECERA CANTONAL]","CEVALLOS, CABECERA CANTONAL",12040
[DIVPOL].[NOMPARROQ].&[CHACARITA],CHACARITA,2523
[DIVPOL].[NOMPARROQ].&[CHACRAS],CHACRAS,4171
"[DIVPOL].[NOMPARROQ].&[CHAGUARPAMBA, CABECERA CANTONAL]","CHAGUARPAMBA, CABECERA CANTONAL",2543
"[DIVPOL].[NOMPARROQ].&[CHAMBO, CABECERA CANTONAL]","CHAMBO, CABECERA CANTONAL",9743
[DIVPOL].[NOMPARROQ].&[CHANDUY],CHANDUY,8109
[DIVPOL].[NOMPARROQ].&[CHANGAIMINA (LA LIBERTAD)],CHANGAIMINA (LA LIBERTAD),1233
[DIVPOL].[NOMPARROQ].&[CHANTACO],CHANTACO,648
[DIVPOL].[NOMPARROQ].&[CHANTILÍN],CHANTILÍN,1087
[DIVPOL].[NOMPARROQ].&[CHAQUINAL],CHAQUINAL,276
[DIVPOL].[NOMPARROQ].&[CHARAPOTÓ],CHARAPOTÓ,13586
[DIVPOL].[NOMPARROQ].&[CHAUCHA],CHAUCHA,239
[DIVPOL].[NOMPARROQ].&[CHAVEZPAMBA],CHAVEZPAMBA,218
[DIVPOL].[NOMPARROQ].&[CHECA (CHILPA)],CHECA (CHILPA),6504
[DIVPOL].[NOMPARROQ].&[CHECA (JIDCAY)],CHECA (JIDCAY),2636
[DIVPOL].[NOMPARROQ].&[CHIBUNGA],CHIBUNGA,954
[DIVPOL].[NOMPARROQ].&[CHICÁN (GUILLERMO ORTEGA)],CHICÁN (GUILLERMO ORTEGA),1726
[DIVPOL].[NOMPARROQ].&[CHICAÑA],CHICAÑA,1183
[DIVPOL].[NOMPARROQ].&[CHIGUAZA],CHIGUAZA,9598
[DIVPOL].[NOMPARROQ].&[CHIGÜINDA],CHIGÜINDA,117
"[DIVPOL].[NOMPARROQ].&[CHILLA, CABECERA CANTONAL]","CHILLA, CABECERA CANTONAL",1515
"[DIVPOL].[NOMPARROQ].&[CHILLANES, CABECERA CANTONAL]","CHILLANES, CABECERA CANTONAL",9025
[DIVPOL].[NOMPARROQ].&[CHINCA],CHINCA,3842
[DIVPOL].[NOMPARROQ].&[CHIQUICHA (CAB. EN CHIQUICHA GRANDE)],CHIQUICHA (CAB. EN CHIQUICHA GRANDE),1066
[DIVPOL].[NOMPARROQ].&[CHIQUINTAD],CHIQUINTAD,4633
[DIVPOL].[NOMPARROQ].&[CHIRIJOS],CHIRIJOS,482
[DIVPOL].[NOMPARROQ].&[CHITÁN DE NAVARRETE],CHITÁN DE NAVARRETE,422
[DIVPOL].[NOMPARROQ].&[CHITO],CHITO,497
[DIVPOL].[NOMPARROQ].&[CHOBO],CHOBO,7682
"[DIVPOL].[NOMPARROQ].&[CHONE, CABECERA CANTONAL]","CHONE, CABECERA CANTONAL",68382
[DIVPOL].[NOMPARROQ].&[CHONTADURO],CHONTADURO,887
[DIVPOL].[NOMPARROQ].&[CHONTAMARCA],CHONTAMARCA,827
[DIVPOL].[NOMPARROQ].&[CHONTAPUNTA],CHONTAPUNTA,1262
"[DIVPOL].[NOMPARROQ].&[CHORDELEG, CABECERA CANTONAL]","CHORDELEG, CABECERA CANTONAL",5380
[DIVPOL].[NOMPARROQ].&[CHOROCOPTE],CHOROCOPTE,645
[DIVPOL].[NOMPARROQ].&[CHUGÁ],CHUGÁ,319
[DIVPOL].[NOMPARROQ].&[CHUGCHILLÁN],CHUGCHILLÁN,1283
[DIVPOL].[NOMPARROQ].&[CHUMBLÍN],CHUMBLÍN,210
[DIVPOL].[NOMPARROQ].&[CHUMUNDÉ],CHUMUNDÉ,175
"[DIVPOL].[NOMPARROQ].&[CHUNCHI, CABECERA CANTONAL]","CHUNCHI, CABECERA CANTONAL",7849
[DIVPOL].[NOMPARROQ].&[CHUPIANZA],CHUPIANZA,480
[DIVPOL].[NOMPARROQ].&[CHUQUIRIBAMBA],CHUQUIRIBAMBA,1875
[DIVPOL].[NOMPARROQ].&[CHURA (CHANCAMA) (CAB. EN EL YERBERO)],CHURA (CHANCAMA) (CAB. EN EL YERBERO),1290
[DIVPOL].[NOMPARROQ].&[CIANO],CIANO,360
[DIVPOL].[NOMPARROQ].&[COCHAPAMBA],COCHAPAMBA,411
[DIVPOL].[NOMPARROQ].&[COCHAPATA],COCHAPATA,879
[DIVPOL].[NOMPARROQ].&[COJIMÍES],COJIMÍES,6603
[DIVPOL].[NOMPARROQ].&[COJITAMBO],COJITAMBO,2843
[DIVPOL].[NOMPARROQ].&[COLAISACA],COLAISACA,765
"[DIVPOL].[NOMPARROQ].&[COLIMES, CABECERA CANTONAL]","COLIMES, CABECERA CANTONAL",9998
[DIVPOL].[NOMPARROQ].&[COLÓN ELOY DEL MARÍA],COLÓN ELOY DEL MARÍA,850
[DIVPOL].[NOMPARROQ].&[COLONCHE],COLONCHE,12941
[DIVPOL].[NOMPARROQ].&[COLUMBE],COLUMBE,2201
[DIVPOL].[NOMPARROQ].&[COMPUD],COMPUD,251
[DIVPOL].[NOMPARROQ].&[CONCEPCIÓN],CONCEPCIÓN,2778
[DIVPOL].[NOMPARROQ].&[CONOCOTO],CONOCOTO,156923
[DIVPOL].[NOMPARROQ].&[CONONACO],CONONACO,297
[DIVPOL].[NOMPARROQ].&[CONSTANTINO FERNÁNDEZ (CAB. EN CULLITAHUA)],CONSTANTINO FERNÁNDEZ (CAB. EN CULLITAHUA),1443
[DIVPOL].[NOMPARROQ].&[CONVENTO],CONVENTO,1597
[DIVPOL].[NOMPARROQ].&[COPAL],COPAL,192
[DIVPOL].[NOMPARROQ].&[CORDONCILLO],CORDONCILLO,654
[DIVPOL].[NOMPARROQ].&[CORONEL CARLOS CONCHA TORRES (CAB.EN HUELE)],CORONEL CARLOS CONCHA TORRES (CAB.EN HUELE),176
[DIVPOL].[NOMPARROQ].&[CORONEL LORENZO DE GARAICOA (PEDREGAL)],CORONEL LORENZO DE GARAICOA (PEDREGAL),4804
"[DIVPOL].[NOMPARROQ].&[CORONEL MARCELINO MARIDUEÑA (SAN CARLOS), CABECER]","CORONEL MARCELINO MARIDUEÑA (SAN CARLOS), CABECER",11269
[DIVPOL].[NOMPARROQ].&[COSANGA],COSANGA,250
"[DIVPOL].[NOMPARROQ].&[COTACACHI, CABECERA CANTONAL]","COTACACHI, CABECERA CANTONAL",22092
[DIVPOL].[NOMPARROQ].&[COTALÓ],COTALÓ,798
[DIVPOL].[NOMPARROQ].&[COTOGCHOA],COTOGCHOA,8528
[DIVPOL].[NOMPARROQ].&[COTUNDO],COTUNDO,8114
[DIVPOL].[NOMPARROQ].&[CRISTÓBAL COLÓN],CRISTÓBAL COLÓN,2229
[DIVPOL].[NOMPARROQ].&[CRUCITA],CRUCITA,14763
[DIVPOL].[NOMPARROQ].&[CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE)],CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE),382
[DIVPOL].[NOMPARROQ].&[CUBE],CUBE,2317
[DIVPOL].[NOMPARROQ].&[CUBIJÍES],CUBIJÍES,1983
[DIVPOL].[NOMPARROQ].&[CUCHAENTZA],CUCHAENTZA,1579
[DIVPOL].[NOMPARROQ].&[CUCHIL (CUTCHIL)],CUCHIL (CUTCHIL),1095
"[DIVPOL].[NOMPARROQ].&[CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.]","CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",882926
[DIVPOL].[NOMPARROQ].&[CUMANDÁ (CAB. EN COLONIA AGRÍCOLA SEVILLA DEL OR],CUMANDÁ (CAB. EN COLONIA AGRÍCOLA SEVILLA DEL OR,600
"[DIVPOL].[NOMPARROQ].&[CUMANDÁ, CABECERA CANTONAL]","CUMANDÁ, CABECERA CANTONAL",14362
[DIVPOL].[NOMPARROQ].&[CUMBARATZA],CUMBARATZA,3857
[DIVPOL].[NOMPARROQ].&[CUMBAYÁ],CUMBAYÁ,69271
[DIVPOL].[NOMPARROQ].&[CUMBE],CUMBE,5850
[DIVPOL].[NOMPARROQ].&[CUNCHIBAMBA],CUNCHIBAMBA,5128
[DIVPOL].[NOMPARROQ].&[CURARAY],CURARAY,570
[DIVPOL].[NOMPARROQ].&[CURTINCAPA],CURTINCAPA,220
[DIVPOL].[NOMPARROQ].&[CUSUBAMBA],CUSUBAMBA,1836
[DIVPOL].[NOMPARROQ].&[CUTUGLAHUA],CUTUGLAHUA,30566
[DIVPOL].[NOMPARROQ].&[CUYABENO],CUYABENO,396
[DIVPOL].[NOMPARROQ].&[CUYUJA],CUYUJA,725
[DIVPOL].[NOMPARROQ].&[DANIEL CÓRDOVA TORAL (EL ORIENTE)],DANIEL CÓRDOVA TORAL (EL ORIENTE),868
[DIVPOL].[NOMPARROQ].&[DAULE],DAULE,641
"[DIVPOL].[NOMPARROQ].&[DAULE, CABECERA CANTONAL]","DAULE, CABECERA CANTONAL",156729
[DIVPOL].[NOMPARROQ].&[DAYUMA],DAYUMA,3803
"[DIVPOL].[NOMPARROQ].&[DÉLEG, CABECERA CANTONAL]","DÉLEG, CABECERA CANTONAL",5132
[DIVPOL].[NOMPARROQ].&[DIEZ  DE AGOSTO],DIEZ  DE AGOSTO,1410
[DIVPOL].[NOMPARROQ].&[DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE)],DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE),2712
[DIVPOL].[NOMPARROQ].&[DUCUR],DUCUR,2265
[DIVPOL].[NOMPARROQ].&[DUG DUG],DUG DUG,697
[DIVPOL].[NOMPARROQ].&[DURENO],DURENO,2555
"[DIVPOL].[NOMPARROQ].&[ECHEANDÍA, CABECERA CANTONAL]","ECHEANDÍA, CABECERA CANTONAL",25600
[DIVPOL].[NOMPARROQ].&[EL AIRO],EL AIRO,237
[DIVPOL].[NOMPARROQ].&[EL ALTAR],EL ALTAR,582
[DIVPOL].[NOMPARROQ].&[EL ANEGADO (CAB. EN ELOY ALFARO)],EL ANEGADO (CAB. EN ELOY ALFARO),1890
"[DIVPOL].[NOMPARROQ].&[EL ÁNGEL, CABECERA CANTONAL]","EL ÁNGEL, CABECERA CANTONAL",9166
[DIVPOL].[NOMPARROQ].&[EL ARENAL],EL ARENAL,250
[DIVPOL].[NOMPARROQ].&[EL CABO],EL CABO,3377
[DIVPOL].[NOMPARROQ].&[EL CARMELO (EL PUN)],EL CARMELO (EL PUN),3224
[DIVPOL].[NOMPARROQ].&[EL CARMEN DE PIJILÍ],EL CARMEN DE PIJILÍ,460
"[DIVPOL].[NOMPARROQ].&[EL CARMEN, CABECERA CANTONAL]","EL CARMEN, CABECERA CANTONAL",54017
"[DIVPOL].[NOMPARROQ].&[EL CHACO, CABECERA CANTONAL]","EL CHACO, CABECERA CANTONAL",4427
[DIVPOL].[NOMPARROQ].&[EL CHAUPI],EL CHAUPI,1794
[DIVPOL].[NOMPARROQ].&[EL CHICAL],EL CHICAL,1194
[DIVPOL].[NOMPARROQ].&[EL CHORRO],EL CHORRO,53
[DIVPOL].[NOMPARROQ].&[EL CISNE],EL CISNE,2439
"[DIVPOL].[NOMPARROQ].&[EL CORAZÓN, CABECERA CANTONAL]","EL CORAZÓN, CABECERA CANTONAL",3815
[DIVPOL].[NOMPARROQ].&[EL DORADO],EL DORADO,2189
