[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE CHAMANGA (CAB.EN CHAMANGA)],SAN JOSÉ DE CHAMANGA (CAB.EN CHAMANGA),2920
"[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE CHIMBO, CABECERA CANTONAL]","SAN JOSÉ DE CHIMBO, CABECERA CANTONAL",10294
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE DAHUANO],SAN JOSÉ DE DAHUANO,746
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE GUAYUSA],SAN JOSÉ DE GUAYUSA,1152
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE MINAS],SAN JOSÉ DE MINAS,2049
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE MORONA],SAN JOSÉ DE MORONA,1300
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE PAYAMINO],SAN JOSÉ DE PAYAMINO,403
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE POALÓ],SAN JOSÉ DE POALÓ,551
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE QUICHINCHE],SAN JOSÉ DE QUICHINCHE,4589
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE RARANGA],SAN JOSÉ DE RARANGA,707
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DEL CHAZO],SAN JOSÉ DEL CHAZO,345
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DEL TAMBO (TAMBOPAMBA)],SAN JOSÉ DEL TAMBO (TAMBOPAMBA),5277
[DIVPOL].[NOMPARROQ].&[SAN JUAN],SAN JUAN,26444
"[DIVPOL].[NOMPARROQ].&[SAN JUAN BOSCO, CABECERA CANTONAL]","SAN JUAN BOSCO, CABECERA CANTONAL",1701
[DIVPOL].[NOMPARROQ].&[SAN JUAN DE CERRO AZUL],SAN JUAN DE CERRO AZUL,107
[DIVPOL].[NOMPARROQ].&[SAN JUAN DE ILUMÁN],SAN JUAN DE ILUMÁN,7875
[DIVPOL].[NOMPARROQ].&[SAN JUAN DE MUYUNA],SAN JUAN DE MUYUNA,2391
[DIVPOL].[NOMPARROQ].&[SAN JUAN DE PASTOCALLE],SAN JUAN DE PASTOCALLE,10425
[DIVPOL].[NOMPARROQ].&[SAN LORENZO],SAN LORENZO,3740
"[DIVPOL].[NOMPARROQ].&[SAN LORENZO, CABECERA CANTONAL]","SAN LORENZO, CABECERA CANTONAL",31984
[DIVPOL].[NOMPARROQ].&[SAN LUCAS],SAN LUCAS,1850
[DIVPOL].[NOMPARROQ].&[SAN LUIS],SAN LUIS,15543
[DIVPOL].[NOMPARROQ].&[SAN LUIS DE ARMENIA],SAN LUIS DE ARMENIA,1747
[DIVPOL].[NOMPARROQ].&[SAN LUIS DE EL ACHO (CAB. EN EL ACHO)],SAN LUIS DE EL ACHO (CAB. EN EL ACHO),420
[DIVPOL].[NOMPARROQ].&[SAN LUIS DE PAMBIL],SAN LUIS DE PAMBIL,12172
[DIVPOL].[NOMPARROQ].&[SAN MARTÍN DE PUZHIO],SAN MARTÍN DE PUZHIO,514
[DIVPOL].[NOMPARROQ].&[SAN MATEO],SAN MATEO,9767
[DIVPOL].[NOMPARROQ].&[SAN MIGUEL],SAN MIGUEL,2197
[DIVPOL].[NOMPARROQ].&[SAN MIGUEL DE CONCHAY],SAN MIGUEL DE CONCHAY,134
[DIVPOL].[NOMPARROQ].&[SAN MIGUEL DE CUYES],SAN MIGUEL DE CUYES,132
"[DIVPOL].[NOMPARROQ].&[SAN MIGUEL DE IBARRA, CABECERA CANTONAL Y CAPITAL*]","SAN MIGUEL DE IBARRA, CABECERA CANTONAL Y CAPITAL*",475461
"[DIVPOL].[NOMPARROQ].&[SAN MIGUEL DE LOS BANCOS , CABECERA CANTONAL]","SAN MIGUEL DE LOS BANCOS , CABECERA CANTONAL",9474
"[DIVPOL].[NOMPARROQ].&[SAN MIGUEL, CABECERA CANTONAL]","SAN MIGUEL, CABECERA CANTONAL",62066
[DIVPOL].[NOMPARROQ].&[SAN MIGUELITO],SAN MIGUELITO,3033
[DIVPOL].[NOMPARROQ].&[SAN PABLO],SAN PABLO,10031
[DIVPOL].[NOMPARROQ].&[SAN PABLO  (SAN PABLO DE ATENAS)],SAN PABLO  (SAN PABLO DE ATENAS),4008
[DIVPOL].[NOMPARROQ].&[SAN PABLO (CAB. EN PUEBLO NUEVO)],SAN PABLO (CAB. EN PUEBLO NUEVO),185
[DIVPOL].[NOMPARROQ].&[SAN PABLO DE TENTA],SAN PABLO DE TENTA,606
[DIVPOL].[NOMPARROQ].&[SAN PABLO DE USHPAYACU],SAN PABLO DE USHPAYACU,1140
[DIVPOL].[NOMPARROQ].&[SAN PEDRO DE LA BENDITA],SAN PEDRO DE LA BENDITA,3069
[DIVPOL].[NOMPARROQ].&[SAN PEDRO DE LOS COFANES],SAN PEDRO DE LOS COFANES,4408
[DIVPOL].[NOMPARROQ].&[SAN PEDRO DE SUMA],SAN PEDRO DE SUMA,1338
[DIVPOL].[NOMPARROQ].&[SAN PEDRO DE VILCABAMBA],SAN PEDRO DE VILCABAMBA,2587
[DIVPOL].[NOMPARROQ].&[SAN PLÁCIDO],SAN PLÁCIDO,2970
[DIVPOL].[NOMPARROQ].&[SAN RAFAEL],SAN RAFAEL,2106
[DIVPOL].[NOMPARROQ].&[SAN RAFAEL DE SHARUG],SAN RAFAEL DE SHARUG,393
[DIVPOL].[NOMPARROQ].&[SAN ROQUE],SAN ROQUE,8830
[DIVPOL].[NOMPARROQ].&[SAN ROQUE (AMBROSIO MALDONADO)],SAN ROQUE (AMBROSIO MALDONADO),306
[DIVPOL].[NOMPARROQ].&[SAN ROQUE (CAB. EN SAN VICENTE)],SAN ROQUE (CAB. EN SAN VICENTE),1795
[DIVPOL].[NOMPARROQ].&[SAN SALVADOR DE CAÑARIBAMBA],SAN SALVADOR DE CAÑARIBAMBA,839
[DIVPOL].[NOMPARROQ].&[SAN SEBASTIÁN],SAN SEBASTIÁN,2362
[DIVPOL].[NOMPARROQ].&[SAN SEBASTIÁN DE YÚLUC],SAN SEBASTIÁN DE YÚLUC,404
[DIVPOL].[NOMPARROQ].&[SAN SEBASTIÁN DEL COCA],SAN SEBASTIÁN DEL COCA,2620
[DIVPOL].[NOMPARROQ].&[SAN SIMÓN (YACOTO)],SAN SIMÓN (YACOTO),4614
[DIVPOL].[NOMPARROQ].&[SAN VICENTE],SAN VICENTE,1836
[DIVPOL].[NOMPARROQ].&[SAN VICENTE DE HUATICOCHA],SAN VICENTE DE HUATICOCHA,397
[DIVPOL].[NOMPARROQ].&[SAN VICENTE DE PUSIR],SAN VICENTE DE PUSIR,1214
"[DIVPOL].[NOMPARROQ].&[SAN VICENTE, CABECERA CANTONAL]","SAN VICENTE, CABECERA CANTONAL",14217
[DIVPOL].[NOMPARROQ].&[SANGAY (CAB. EN NAYAMANACA)],SANGAY (CAB. EN NAYAMANACA),1925
"[DIVPOL].[NOMPARROQ].&[SANGOLQUI, CABECERA CANTONAL]","SANGOLQUI, CABECERA CANTONAL",249814
[DIVPOL].[NOMPARROQ].&[SANGUILLÍN],SANGUILLÍN,374
[DIVPOL].[NOMPARROQ].&[SANTA ANA],SANTA ANA,4210
"[DIVPOL].[NOMPARROQ].&[SANTA ANA DE VUELTA LARGA, CABECERA CANTONAL]","SANTA ANA DE VUELTA LARGA, CABECERA CANTONAL",10494
[DIVPOL].[NOMPARROQ].&[SANTA BÁRBARA],SANTA BÁRBARA,47
[DIVPOL].[NOMPARROQ].&[SANTA CECILIA],SANTA CECILIA,7246
"[DIVPOL].[NOMPARROQ].&[SANTA CLARA, CABECERA CANTONAL]","SANTA CLARA, CABECERA CANTONAL",2917
[DIVPOL].[NOMPARROQ].&[SANTA ELENA],SANTA ELENA,46
"[DIVPOL].[NOMPARROQ].&[SANTA ELENA, CABECERA CANTONAL Y CAPITAL PROVINCI*]","SANTA ELENA, CABECERA CANTONAL Y CAPITAL PROVINCI*",75244
[DIVPOL].[NOMPARROQ].&[SANTA FÉ (SANTA FÉ)],SANTA FÉ (SANTA FÉ),3065
[DIVPOL].[NOMPARROQ].&[SANTA FÉ DE GALÁN],SANTA FÉ DE GALÁN,311
"[DIVPOL].[NOMPARROQ].&[SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL]","SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL",14398
[DIVPOL].[NOMPARROQ].&[SANTA LUCÍA DE LAS PEÑAS],SANTA LUCÍA DE LAS PEÑAS,2087
"[DIVPOL].[NOMPARROQ].&[SANTA LUCÍA, CABECERA CANTONAL]","SANTA LUCÍA, CABECERA CANTONAL",21309
[DIVPOL].[NOMPARROQ].&[SANTA MARÍA DE HUIRIRIMA],SANTA MARÍA DE HUIRIRIMA,4
[DIVPOL].[NOMPARROQ].&[SANTA MARÍA DEL TOACHI],SANTA MARÍA DEL TOACHI,2383
[DIVPOL].[NOMPARROQ].&[SANTA MARIANITA (BOCA DE PACOCHE)],SANTA MARIANITA (BOCA DE PACOCHE),1648
[DIVPOL].[NOMPARROQ].&[SANTA MARIANITA DE JESÚS],SANTA MARIANITA DE JESÚS,1265
[DIVPOL].[NOMPARROQ].&[SANTA MARTHA DE CUBA],SANTA MARTHA DE CUBA,2023
[DIVPOL].[NOMPARROQ].&[SANTA RITA],SANTA RITA,412
[DIVPOL].[NOMPARROQ].&[SANTA ROSA],SANTA ROSA,28974
[DIVPOL].[NOMPARROQ].&[SANTA ROSA (INCLUYE LA ISLA BALTRA)],SANTA ROSA (INCLUYE LA ISLA BALTRA),3104
[DIVPOL].[NOMPARROQ].&[SANTA ROSA DE CUZUBAMBA],SANTA ROSA DE CUZUBAMBA,4001
[DIVPOL].[NOMPARROQ].&[SANTA ROSA DE FLANDES],SANTA ROSA DE FLANDES,7482
[DIVPOL].[NOMPARROQ].&[SANTA ROSA DE SUCUMBÍOS],SANTA ROSA DE SUCUMBÍOS,140
"[DIVPOL].[NOMPARROQ].&[SANTA ROSA, CABECERA CANTONAL]","SANTA ROSA, CABECERA CANTONAL",100263
[DIVPOL].[NOMPARROQ].&[SANTA RUFINA],SANTA RUFINA,420
[DIVPOL].[NOMPARROQ].&[SANTA SUSANA DE CHIVIAZA (CAB. EN CHIVIAZA)],SANTA SUSANA DE CHIVIAZA (CAB. EN CHIVIAZA),332
[DIVPOL].[NOMPARROQ].&[SANTA TERESITA],SANTA TERESITA,770
[DIVPOL].[NOMPARROQ].&[SANTIAGO],SANTIAGO,2809
"[DIVPOL].[NOMPARROQ].&[SANTIAGO DE MÉNDEZ, CABECERA CANTONAL]","SANTIAGO DE MÉNDEZ, CABECERA CANTONAL",7919
[DIVPOL].[NOMPARROQ].&[SANTIAGO DE PANANZA],SANTIAGO DE PANANZA,217
[DIVPOL].[NOMPARROQ].&[SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO)],SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO),1424
"[DIVPOL].[NOMPARROQ].&[SANTIAGO, CABECERA CANTONAL]","SANTIAGO, CABECERA CANTONAL",3015
"[DIVPOL].[NOMPARROQ].&[SANTO DOMINGO DE LOS COLORADOS, CABECERA CANTONAL*]","SANTO DOMINGO DE LOS COLORADOS, CABECERA CANTONAL*",677633
[DIVPOL].[NOMPARROQ].&[SANTO DOMINGO DE ONZOLE],SANTO DOMINGO DE ONZOLE,16
"[DIVPOL].[NOMPARROQ].&[SAQUISILÍ, CABECERA CANTONAL]","SAQUISILÍ, CABECERA CANTONAL",20131
[DIVPOL].[NOMPARROQ].&[SARACAY],SARACAY,2759
"[DIVPOL].[NOMPARROQ].&[SARAGURO, CABECERA CANTONAL]","SARAGURO, CABECERA CANTONAL",9601
[DIVPOL].[NOMPARROQ].&[SARAYACU],SARAYACU,302
[DIVPOL].[NOMPARROQ].&[SARDINAS],SARDINAS,258
[DIVPOL].[NOMPARROQ].&[SAYAUSÍ],SAYAUSÍ,13315
[DIVPOL].[NOMPARROQ].&[SELVA ALEGRE],SELVA ALEGRE,863
[DIVPOL].[NOMPARROQ].&[SELVA ALEGRE (CAB.EN SAN MIGUEL DE PAMPLONA)],SELVA ALEGRE (CAB.EN SAN MIGUEL DE PAMPLONA),238
[DIVPOL].[NOMPARROQ].&[SEVILLA],SEVILLA,2653
"[DIVPOL].[NOMPARROQ].&[SEVILLA DE ORO, CABECERA CANTONAL]","SEVILLA DE ORO, CABECERA CANTONAL",752
[DIVPOL].[NOMPARROQ].&[SEVILLA DON BOSCO],SEVILLA DON BOSCO,22377
[DIVPOL].[NOMPARROQ].&[SHELL],SHELL,15603
[DIVPOL].[NOMPARROQ].&[SHIMPIS],SHIMPIS,1644
"[DIVPOL].[NOMPARROQ].&[SHUSHUFINDI, CABECERA CANTONAL]","SHUSHUFINDI, CABECERA CANTONAL",42652
[DIVPOL].[NOMPARROQ].&[SIBAMBE],SIBAMBE,1461
[DIVPOL].[NOMPARROQ].&[SIDCAY],SIDCAY,2473
[DIVPOL].[NOMPARROQ].&[SIETE DE JULIO],SIETE DE JULIO,2709
"[DIVPOL].[NOMPARROQ].&[SIGCHOS, CABECERA CANTONAL]","SIGCHOS, CABECERA CANTONAL",6694
"[DIVPOL].[NOMPARROQ].&[SIGSIG, CABECERA CANTONAL]","SIGSIG, CABECERA CANTONAL",9970
[DIVPOL].[NOMPARROQ].&[SIMIÁTUG],SIMIÁTUG,2325
[DIVPOL].[NOMPARROQ].&[SIMÓN BOLÍVAR  (CAB. EN MUSHULLACTA)],SIMÓN BOLÍVAR  (CAB. EN MUSHULLACTA),6643
[DIVPOL].[NOMPARROQ].&[SIMÓN BOLÍVAR (CAB. EN GAÑANZOL)],SIMÓN BOLÍVAR (CAB. EN GAÑANZOL),635
[DIVPOL].[NOMPARROQ].&[SIMÓN BOLÍVAR (JULIO MORENO)],SIMÓN BOLÍVAR (JULIO MORENO),688
"[DIVPOL].[NOMPARROQ].&[SIMÓN BOLÍVAR, CABECERA CANTONAL]","SIMÓN BOLÍVAR, CABECERA CANTONAL",13089
[DIVPOL].[NOMPARROQ].&[SINAÍ],SINAÍ,1595
[DIVPOL].[NOMPARROQ].&[SININCAY],SININCAY,15417
[DIVPOL].[NOMPARROQ].&[SINSAO],SINSAO,485
[DIVPOL].[NOMPARROQ].&[SOLANO],SOLANO,1645
"[DIVPOL].[NOMPARROQ].&[SOZORANGA, CABECERA CANTONAL]","SOZORANGA, CABECERA CANTONAL",1418
[DIVPOL].[NOMPARROQ].&[SÚA  (CAB. EN LA BOCANA)],SÚA  (CAB. EN LA BOCANA),4251
[DIVPOL].[NOMPARROQ].&[SUCRE (CAB. EN SUCRE-PATATE URCU)],SUCRE (CAB. EN SUCRE-PATATE URCU),732
"[DIVPOL].[NOMPARROQ].&[SUCRE, CABECERA CANTONAL]","SUCRE, CABECERA CANTONAL",4483
"[DIVPOL].[NOMPARROQ].&[SUCÚA, CABECERA CANTONAL]","SUCÚA, CABECERA CANTONAL",29107
[DIVPOL].[NOMPARROQ].&[SUMACO],SUMACO,21
[DIVPOL].[NOMPARROQ].&[SUMAYPAMBA],SUMAYPAMBA,266
"[DIVPOL].[NOMPARROQ].&[SUSCAL, CABECERA CANTONAL]","SUSCAL, CABECERA CANTONAL",3212
[DIVPOL].[NOMPARROQ].&[SUSUDEL],SUSUDEL,999
[DIVPOL].[NOMPARROQ].&[TABABELA],TABABELA,13723
"[DIVPOL].[NOMPARROQ].&[TABACUNDO, CABECERA CANTONAL]","TABACUNDO, CABECERA CANTONAL",24630
[DIVPOL].[NOMPARROQ].&[TABIAZO],TABIAZO,933
[DIVPOL].[NOMPARROQ].&[TACAMOROS],TACAMOROS,266
[DIVPOL].[NOMPARROQ].&[TACHINA],TACHINA,9311
[DIVPOL].[NOMPARROQ].&[TADAY],TADAY,273
"[DIVPOL].[NOMPARROQ].&[TAISHA, CABECERA CANTONAL]","TAISHA, CABECERA CANTONAL",5967
[DIVPOL].[NOMPARROQ].&[TÁLAG],TÁLAG,1451
[DIVPOL].[NOMPARROQ].&[TAMBILLO],TAMBILLO,23457
[DIVPOL].[NOMPARROQ].&[TANICUCHÍ],TANICUCHÍ,16051
[DIVPOL].[NOMPARROQ].&[TAQUIL (MIGUEL RIOFRÍO)],TAQUIL (MIGUEL RIOFRÍO),2036
[DIVPOL].[NOMPARROQ].&[TARACOA (NUEVA ESPERANZA: YUCA)],TARACOA (NUEVA ESPERANZA: YUCA),16709
"[DIVPOL].[NOMPARROQ].&[TARAPOA , CABECERA CANTONAL]","TARAPOA , CABECERA CANTONAL",6611
[DIVPOL].[NOMPARROQ].&[TARIFA],TARIFA,19785
[DIVPOL].[NOMPARROQ].&[TARQUI],TARQUI,20966
[DIVPOL].[NOMPARROQ].&[TAURA],TAURA,9004
[DIVPOL].[NOMPARROQ].&[TAYUZA],TAYUZA,691
[DIVPOL].[NOMPARROQ].&[TELEMBÍ],TELEMBÍ,244
[DIVPOL].[NOMPARROQ].&[TELIMBELA],TELIMBELA,425
"[DIVPOL].[NOMPARROQ].&[TENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","TENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",71846
[DIVPOL].[NOMPARROQ].&[TENDALES (CAB.EN PUERTO TENDALES)],TENDALES (CAB.EN PUERTO TENDALES),4307
[DIVPOL].[NOMPARROQ].&[TENGUEL],TENGUEL,8029
[DIVPOL].[NOMPARROQ].&[TENIENTE HUGO ORTIZ],TENIENTE HUGO ORTIZ,1030
[DIVPOL].[NOMPARROQ].&[TENINETE MAXIMILIANO RODRÍGUEZ LOAIZA],TENINETE MAXIMILIANO RODRÍGUEZ LOAIZA,169
[DIVPOL].[NOMPARROQ].&[TIMBARA],TIMBARA,2186
[DIVPOL].[NOMPARROQ].&[TIMBIRÉ],TIMBIRÉ,744
[DIVPOL].[NOMPARROQ].&[TINGO],TINGO,1416
[DIVPOL].[NOMPARROQ].&[TIPUTINI],TIPUTINI,339
"[DIVPOL].[NOMPARROQ].&[TISALEO, CABECERA CANTONAL]","TISALEO, CABECERA CANTONAL",11914
[DIVPOL].[NOMPARROQ].&[TIXÁN],TIXÁN,3016
[DIVPOL].[NOMPARROQ].&[TOACASO],TOACASO,4293
[DIVPOL].[NOMPARROQ].&[TOBAR DONOSO (LA BOCANA DE CAMUMBÍ)],TOBAR DONOSO (LA BOCANA DE CAMUMBÍ),22
[DIVPOL].[NOMPARROQ].&[TOCACHI],TOCACHI,2598
[DIVPOL].[NOMPARROQ].&[TOMÁS DE BERLANGA (SANTO TOMÁS)],TOMÁS DE BERLANGA (SANTO TOMÁS),300
[DIVPOL].[NOMPARROQ].&[TOMEBAMBA],TOMEBAMBA,511
[DIVPOL].[NOMPARROQ].&[TONCHIGÜE],TONCHIGÜE,9687
[DIVPOL].[NOMPARROQ].&[TONSUPA],TONSUPA,20849
[DIVPOL].[NOMPARROQ].&[TORATA],TORATA,1503
"[DIVPOL].[NOMPARROQ].&[TOSAGUA, CABECERA CANTONAL]","TOSAGUA, CABECERA CANTONAL",19763
[DIVPOL].[NOMPARROQ].&[TOTORAS],TOTORAS,16034
[DIVPOL].[NOMPARROQ].&[TRES DE NOVIEMBRE],TRES DE NOVIEMBRE,1037
[DIVPOL].[NOMPARROQ].&[TRIUNFO-DORADO],TRIUNFO-DORADO,1014
[DIVPOL].[NOMPARROQ].&[TUFIÑO],TUFIÑO,5177
"[DIVPOL].[NOMPARROQ].&[TULCÁN, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","TULCÁN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",160009
[DIVPOL].[NOMPARROQ].&[TULULBÍ (CAB. EN RICAURTE)],TULULBÍ (CAB. EN RICAURTE),605
[DIVPOL].[NOMPARROQ].&[TUMBABIRO],TUMBABIRO,2982
[DIVPOL].[NOMPARROQ].&[TUMBACO],TUMBACO,105353
[DIVPOL].[NOMPARROQ].&[TUNDAYME],TUNDAYME,922
[DIVPOL].[NOMPARROQ].&[TUPIGACHI],TUPIGACHI,1909
[DIVPOL].[NOMPARROQ].&[TURI],TURI,17766
[DIVPOL].[NOMPARROQ].&[TURUPAMBA],TURUPAMBA,536
[DIVPOL].[NOMPARROQ].&[TUTUPALI],TUTUPALI,73
[DIVPOL].[NOMPARROQ].&[TUUTINENTZA],TUUTINENTZA,393
[DIVPOL].[NOMPARROQ].&[ULBA],ULBA,5201
[DIVPOL].[NOMPARROQ].&[UNAMUNCHO],UNAMUNCHO,4182
[DIVPOL].[NOMPARROQ].&[UNIÓN MILAGREÑA],UNIÓN MILAGREÑA,589
[DIVPOL].[NOMPARROQ].&[URBINA],URBINA,784
[DIVPOL].[NOMPARROQ].&[URBINA (TAYA)],URBINA (TAYA),3612
[DIVPOL].[NOMPARROQ].&[URCUQUÍ CABECERA CANTONAL],URCUQUÍ CABECERA CANTONAL,9422
[DIVPOL].[NOMPARROQ].&[URDANETA (PAQUISHAPA)],URDANETA (PAQUISHAPA),1567
[DIVPOL].[NOMPARROQ].&[UTUANA],UTUANA,405
[DIVPOL].[NOMPARROQ].&[UYUMBICHO],UYUMBICHO,8047
[DIVPOL].[NOMPARROQ].&[UZHCURRUMI],UZHCURRUMI,448
[DIVPOL].[NOMPARROQ].&[VACAS GALINDO (EL CHURO) (CAB.EN SAN MIGUEL ALTO)],VACAS GALINDO (EL CHURO) (CAB.EN SAN MIGUEL ALTO),62
"[DIVPOL].[NOMPARROQ].&[VALDEZ (LIMONES), CABECERA CANTONAL]","VALDEZ (LIMONES), CABECERA CANTONAL",3384
"[DIVPOL].[NOMPARROQ].&[VALENCIA, CABECERA CANTONAL]","VALENCIA, CABECERA CANTONAL",38943
[DIVPOL].[NOMPARROQ].&[VALLADOLID],VALLADOLID,758
[DIVPOL].[NOMPARROQ].&[VALLE],VALLE,25000
[DIVPOL].[NOMPARROQ].&[VALLE DE LA VIRGEN],VALLE DE LA VIRGEN,2189
[DIVPOL].[NOMPARROQ].&[VALLE HERMOSO],VALLE HERMOSO,9531
[DIVPOL].[NOMPARROQ].&[VALPARAÍSO],VALPARAÍSO,93
"[DIVPOL].[NOMPARROQ].&[VELASCO IBARRA (EL EMPALME), CABECERA CANTONAL]","VELASCO IBARRA (EL EMPALME), CABECERA CANTONAL",61243
"[DIVPOL].[NOMPARROQ].&[VENTANAS, CABECERA CANTONAL]","VENTANAS, CABECERA CANTONAL",79105
[DIVPOL].[NOMPARROQ].&[VENTURA],VENTURA,427
[DIVPOL].[NOMPARROQ].&[VERACRUZ  (CAB. EN INDILLAMA)],VERACRUZ  (CAB. EN INDILLAMA),2423
[DIVPOL].[NOMPARROQ].&[VICENTINO],VICENTINO,367
[DIVPOL].[NOMPARROQ].&[VICHE],VICHE,4611
[DIVPOL].[NOMPARROQ].&[VICTORIA],VICTORIA,2673
[DIVPOL].[NOMPARROQ].&[VICTORIA DEL PORTETE (IRQUIS)],VICTORIA DEL PORTETE (IRQUIS),4730
[DIVPOL].[NOMPARROQ].&[VILCABAMBA  (VICTORIA)],VILCABAMBA  (VICTORIA),7279
"[DIVPOL].[NOMPARROQ].&[VILLA LA UNIÓN (CAJABAMBA), CABECERA CANTONAL]","VILLA LA UNIÓN (CAJABAMBA), CABECERA CANTONAL",10426
"[DIVPOL].[NOMPARROQ].&[VINCES, CABECERA CANTONAL]","VINCES, CABECERA CANTONAL",58183
[DIVPOL].[NOMPARROQ].&[VIRGEN DE FÁTIMA],VIRGEN DE FÁTIMA,30306
[DIVPOL].[NOMPARROQ].&[VUELTA LARGA],VUELTA LARGA,3366
[DIVPOL].[NOMPARROQ].&[WILFRIDO LOOR MOREIRA (MAICITO)],WILFRIDO LOOR MOREIRA (MAICITO),1363
[DIVPOL].[NOMPARROQ].&[YAGUACHI VIEJO (CONE)],YAGUACHI VIEJO (CONE),7128
[DIVPOL].[NOMPARROQ].&[YAMANA],YAMANA,635
[DIVPOL].[NOMPARROQ].&[YANAYACU - MOCHAPATA (CAB. EN YANAYACU)],YANAYACU - MOCHAPATA (CAB. EN YANAYACU),1034
[DIVPOL].[NOMPARROQ].&[YANGANA (ARSENIO CASTILLO)],YANGANA (ARSENIO CASTILLO),671
"[DIVPOL].[NOMPARROQ].&[YANTZAZA (YANZATZA), CABECERA CANTONAL]","YANTZAZA (YANZATZA), CABECERA CANTONAL",19728
[DIVPOL].[NOMPARROQ].&[YARUQUÍ],YARUQUÍ,38004
[DIVPOL].[NOMPARROQ].&[YASUNÍ],YASUNÍ,16
[DIVPOL].[NOMPARROQ].&[YAUPI],YAUPI,236
[DIVPOL].[NOMPARROQ].&[YUNGANZA (CAB. EN EL ROSARIO)],YUNGANZA (CAB. EN EL ROSARIO),1066
[DIVPOL].[NOMPARROQ].&[ZAMBI],ZAMBI,130
[DIVPOL].[NOMPARROQ].&[ZÁMBIZA],ZÁMBIZA,6677
"[DIVPOL].[NOMPARROQ].&[ZAMORA, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","ZAMORA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",25127
[DIVPOL].[NOMPARROQ].&[ZAPALLO],ZAPALLO,977
[DIVPOL].[NOMPARROQ].&[ZAPOTAL],ZAPOTAL,16192
"[DIVPOL].[NOMPARROQ].&[ZAPOTILLO, CABECERA CANTONAL]","ZAPOTILLO, CABECERA CANTONAL",6744
"[DIVPOL].[NOMPARROQ].&[ZARUMA, CABECERA CANTONAL]","ZARUMA, CABECERA CANTONAL",13915
[DIVPOL].[NOMPARROQ].&[ZHAGLLI (SHAGLLI)],ZHAGLLI (SHAGLLI),249
[DIVPOL].[NOMPARROQ].&[ZHIDMAD],ZHIDMAD,897
[DIVPOL].[NOMPARROQ].&[ZHUD],ZHUD,1478
"[DIVPOL].[NOMPARROQ].&[ZUMBA, CABECERA CANTONAL]","ZUMBA, CABECERA CANTONAL",7229
[DIVPOL].[NOMPARROQ].&[ZUMBAHUA],ZUMBAHUA,3489
"[DIVPOL].[NOMPARROQ].&[ZUMBI, CABECERA CANTONAL]","ZUMBI, CABECERA CANTONAL",5005
[DIVPOL].[NOMPARROQ].&[ZUÑA (ZÚÑAC)],ZUÑA (ZÚÑAC),278
[DIVPOL].[NOMPARROQ].&[ZURMI],ZURMI,544
[DIVPOL].[NOMPARROQ].&,,4343
